# File: GCAMDATA_FAOSTAT_NFertilizerProdDemand_175Regs_1Item_1973to2020.csv
# Title: FAO fertilizer production by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2022-06-10T00:00:00)
# Date of CSV last update: 2022-09-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Armenia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,15000,15000,7000,7000,8000,8000,9620,6158,7000,5000,15700,10450,13187,10251,57900,26808,24331,39541.9,29587.4,35946.9,57446.8,58593.9,48635.7,63282,146292.2,90106.3,90106.3,90106.3,90106.3
1,Armenia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2727.272727272727,2454.5454545454545,2181.818181818182,1909.090909090909,1636.3636363636365,1363.6363636363637,1090.909090909091,818.181818181818,545.4545454545455,272.727272727273,0,0,0,0,0,0,0,0
2,Afghanistan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,17700,24200,27668,30646,37014,35497,33227,37846,28740,38843,36800,52820,53182,50720,52800,49830,50000,44100,42800,38900,40000,28333.333333333336,16666.666666666668,5000,5000,6000,5000,5000,18400,24523.53,20407.02,22339.69,20466.15,20463.22,16377.29,14432.03,14155.88,12929.01,22970.63,17065.25,34903.79,73872.84,92515.97,96670.85,140775.85,46613.5,59702.92,43141.63
2,Afghanistan,3102,Nutrient nitrogen N (total),5510,Production,tonnes,19117,19117,14774,26203,37689,48300,48300,48900,48300,48300,48300,48760,55200,56100,56700,55200,55200,57500,48800,42000,40000,14000,10000,5000,5000,5000,5000,5000,18400,23414,16206,19458,15631,17636,16973,15324,13606,12022,17555,15776,15694,14416,14416,14416,14416,14416,14416,14416
3,Albania,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,36100,36300,36000,45300,50000,71900,70900,68800,72500,70800,73000,75000,75000,75000,66100,69300,79900,73500,22300,14800,15220,12680,10000,5500,4200,18000,5800,12100,10700,38216.98,37378.31,36119.72,37210.64,30333.88,31483.82,28744.8,33940.18,31292.44,36892.7,34944.13,30711.91,30711.76,36803.92,42896.08,39184.92,24769.07,38329.56,32578.7
3,Albania,3102,Nutrient nitrogen N (total),5510,Production,tonnes,36000,36000,36000,45000,50000,71900,72700,73000,73000,70800,73000,75000,75000,75000,66100,69300,79900,72400,22300,5700,9200,3650,3193.75,2737.5,2281.25,1825,1368.75,912.5,456.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Algeria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,76000,66000,40000,51000,52138,57616,60269,84000,57700,48738,59300,87724,98173,112680,80000,52600,46300,63000,41000,46700,73800,58200,18400,14000,36000,44000,47000,44300,45300,28036,17076,104717,4086,43847,36626,23102,37100,60100,56300,72600,64000,76500,74400,70200,70200,70200,70200,70200
4,Algeria,3102,Nutrient nitrogen N (total),5510,Production,tonnes,52000,78700,31000,33003,41831,42200,20700,23800,23700,50990,47000,101788,105828,112490,117000,105500,88000,80000,87900,64500,104500,82900,12000,8300,28400,40700,54400,90700,118200,72600,99660,153790,83100,27440,137780,11040,13400,20800,19500,24500,68000,438300,777600,1043200,1043200,1043200,1043200,1043200
7,Angola,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,9100,6500,2100,1000,13100,10000,9400,9200,4600,2800,3800,3715,12794,5000,4000,5221,9176,2500,2300,3100,2000,2000,2000,2000,2000,2300,2300,1400,2078.5,2757,1787,7187,3682,6641,5584,8172,10468,17369,16381,19423.09,20439.57,27612.52,25494.28,20776.77,26714.79,21942.48,17106.87,23881.07
7,Angola,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Antigua and Barbuda,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,33,0,17,9,2,9,23,4,4,26.7,32.41,20.62,7.68,61.16,8.98,8.59,27.02,1.63
8,Antigua and Barbuda,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Argentina,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,43843,42000,28000,39200,41700,47718,58915,62652,51173,53300,62200,103800,104600,93000,94500,99100,99400,101400,95700,146600,167700,281800,318800,510300,476400,422700,457300,498223,496500,534592,740659,796423,640406,787677,981351,761959,477061,771245,857190,734890,788154,784091.52,603481.31,923361.84,975843.08,1160519.5,1278498.82,1400381.43
9,Argentina,3102,Nutrient nitrogen N (total),5510,Production,tonnes,28577,25000,18000,20700,27160,27943,25360,30437,25124,46900,50100,49300,52000,35983,43800,51100,49500,52500,42130,32688,47838,58186,58300,80700,97100,98600,119600,147000,433300,523700,607492,627693,574741,659115,468938,405948,514223,433113,533256,542503,630491.64,470858.26,431740,542945.76,617126.54,436101.01,510238.18,559953.7
10,Australia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,172259,177594,167000,207800,177000,215000,245000,248000,250000,258000,305000,344000,340000,332500,363100,392600,440300,439400,462300,488200,565400,583200,671300,824600,839400,979000,1082000,951000,1034000,972266,932911,1056527,952174,858103,848006,835018,849785,981787,1098921,1124607,1222075,1404588,1302762,1474114,1493809,1411216,1337593,1337593
10,Australia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,197200,198000,180000,220000,215000,206000,209966,214000,206000,212000,232200,235000,215700,226200,249700,235900,230000,224500,229500,224100,232300,228900,281000,278700,250800,299000,316000,383000,379500,354464,314751,326123,338588,337240,392912,330489,543309,285633,317961,237495,716831.6,342300,413300,423400,423400,423400,423400,423400
11,Austria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,132103,125553,121444,143269,134519,154000,158000,159700,161544,149673,154126,161100,165083,136800,131500,141800,125100,135700,132000,124000,120000,121000,125000,125309,131819,127537,119492,121644,117093,127585,94435,100789,99702,103692,103262,134382,86254,90639,116751,97721,112005,111615,130252.24,122622.76,117703.82,113135.88,98234.09,106482.81
11,Austria,3102,Nutrient nitrogen N (total),5510,Production,tonnes,230450,226190,256000,239000,285000,295000,275000,300000,238100,254800,209000,253000,222000,193000,247000,234500,230000,229500,265000,184000,220000,223000,222000,240000,227000,254000,236000,186000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000
12,Bahamas,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,786,524,463,529,600,400,400,500,500,400,300,300,200,200,200,200,200,200,200,200,100,100,100,200,100,100,100,100,400,426.96363636363634,453.92727272727274,480.8909090909091,507.8545454545455,534.8181818181818,561.7818181818182,588.7454545454545,615.709090909091,642.6727272727273,669.6363636363636,696.6,489.05,555.72,662.04,1279.47,1628.05,1989.14,1989.14,1105.69
12,Bahamas,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bahrain,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,16,20,23,23,23,23,13,156.5,300,62,190,280,190,940,160,195,232,270,300,300,200,200,200,200,200,675,143,114,100,1778.79,1778.79,1778.79,1778.79,1778.79,1065.32,2281.84,1222.73,2545.27,1778.79,1778.79,1778.79,1778.79,1778.79,1778.79,1778.79,1778.79,1778.79,1778.79
13,Bahrain,3102,Nutrient nitrogen N (total),5510,Production,tonnes,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,223376,246974,281800,290260,260820,234600,258086.68,287353.72,268990.98,304060,300840,289340,310040,288420,316480,319240,320840.96,373899.26,307988.97,355656.96,355656.96,389526.98
14,Barbados,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,2190,1500,1200,1917,1470,1900,1700,1800,2000,2000,1595,1633,1261,1400,1500,1500,1500,1500,1500,1500,1500,1500,2000,2000,2000,1800,1800,1800,1800,587,673,2756,1232,1200,1127,1523,423,435,791,1178.18,1220.1,670.35,406.84,281.15,541.96,230.18,147.72,175.18
14,Barbados,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium-Luxembourg,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,179225,185100,182485,189039,191795,196657,197758,194279,195420,197500,204700,199100,199100,199500,198900,196000,190000,186000,182000,173000,169000,168000,167000,172000,171000,171000,171000,,,,,,,,,,,,,,,,,,,,,
15,Belgium-Luxembourg,3102,Nutrient nitrogen N (total),5510,Production,tonnes,653812,641386,609956,645234,608961,752900,756100,743000,739000,731000,757000,730000,723000,665000,728000,666000,678000,770000,762000,606000,588000,612000,699000,660000,835000,899000,930000,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,126953,82811,146618,167750,225191,227785,260215,267908,251628,304879,344928,384651,367785,422956,474614,528608,629795,609163,705600,713300,733562,803540,943000,996070,876600,882500,1014700,995852,1054245,1079064,951340,954039,993327,1098892,1048507,1287000,1156139,1166810,1274820,1129780,1111740,1230260,1320940,1172300,1240440,1330580,1327760,1361860
16,Bangladesh,3102,Nutrient nitrogen N (total),5510,Production,tonnes,129700,32680,130983,128058,107674,134851,168125,160508,193428,236579,335316,343096,386182,391327,592734,666108,677340,659300,759100,925200,995760,909840,981640,965739,868247,1010100,1048800,1099800,1116680,1155433,952070,923410,880646,815701,855556,692900,594020,491520,425340,437820,477460,394580,415220,482040,435200,361160,379840,379840
17,Bermuda,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,11,11,11,11,11,11,11,11,11,11,11,11,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.10583333333334,92.21166666666667,88.3175,84.42333333333333,80.52916666666667,76.635,72.74083333333334,68.84666666666666,64.9525,61.05833333333334,57.164166666666674,53.27,44.21,41.13,22.26,40,77,46,36.86
17,Bermuda,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bhutan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,74,74,100,100,100,100,100,100,100,100,121,118,100,100,100,100,100,100,100,100,100,100,100,100,100,236.6,373.2,509.8,646.4,783,787,818,887,768,800,774,1608,686,845,776.16,758.2,888.72,920.35,853.68,790.31,1508.01,801.61,801.61
18,Bhutan,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bolivia (Plurinational State of),3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,2769,3800,1600,1300,1900,1523,1614,1448,2717,1300,3126,2533,2700,2800,4706,3058,4645,2326,3551,5503,2555,4314,2810,4029,4872,1332,901,3218,5369,6040,6198,6260,12192,8709,11883,13473,13825,17962,20426,19266.6,24037.58,23819.71,23119.81,19915.76,20426.96,18413.03,14593.93,22573
19,Bolivia (Plurinational State of),3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87011.76,133065.84,0
20,Botswana,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1200,1161,1500,1000,1000,1000,500,600,600,600,500,400,139,216,300,300,300,300,300,300,400,500,2132,3190,3500,3748,4100,4100,4100,5291.375,6482.75,7674.125,8865.5,10056.875,11248.25,12439.625,13631,19939,8460,15152,21983,21156,13124.18,10698.94,5589.49,12644.5,9996.86,9996.86
20,Botswana,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,347591,389183,406234,498272,700480,702243,778653,905460,667840,642300,568049,812880,834100,980900,957900,814952,802500,796600,830800,841300,1085500,1220800,1140100,1250900,1438100,1545500,1660767,1668000,1640000,1977904.69,2279335.63,2607760.06,2200284.46,2345762.85,3094425.28,2821756.15,2430181.22,3091463.31,3822966.67,3456071.73,4067449.33,4529776.68,3502211.88,3632034.56,4556517.85,4593940.12,4911743.83,5910866.03
21,Brazil,3102,Nutrient nitrogen N (total),5510,Production,tonnes,114338,150171,160760,200272,231367,266868,284216,384305,349579,396759,533295,669237,696187,714174,746069,705089,748499,737221,704320,664628,709188,768253,795645,779003,808425,728048,847608,772211,657750,894759.25,841991.98,909389.14,916965.66,919394.59,824270.52,837947.44,724633.53,927493.1,888308.36,797713.89,848885.74,813012.06,831223.85,708327.87,510760.96,541930.88,356784.6,415795
23,Belize,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,647,600,800,300,252,723,718,829,501,447,716,824,1126,1444,1502,1822,1900,1500,1500,1500,1500,1200,1300,1000,1300,1938,2295,2840,1900,12140,20694,2594,4109,2861,2594,1668,5858,2280,5701,6095.85,13685.78,17786.06,17603.87,16811.64,13578.74,10704.38,16541.86,16635.19
23,Belize,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brunei Darussalam,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,3,3,3,3,3,3,3,3,68,183,94,177,73,247,300,300,100,93.76923076923077,87.53846153846153,81.3076923076923,75.07692307692308,68.84615384615384,62.61538461538461,56.38461538461539,50.15384615384615,43.92307692307693,37.692307692307686,31.461538461538467,25.230769230769226,19,78,101,299,82,442,126,172,604,263,293,70,243,243,243,243,243,243,243
26,Brunei Darussalam,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bulgaria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,328057,329536,379972,348400,362574,376334,420551,450000,518000,535600,550300,479400,499000,478000,469400,548000,495000,452900,377268,189175,166139,207700,112000,152000,157800,135000,110594,144900,172302,283556,315624,240614,189946,146882,200117,213562,278360,270129,371015,245000,292381,296591,329546,365913,351120,339329,352486,364335
27,Bulgaria,3102,Nutrient nitrogen N (total),5510,Production,tonnes,518604,592863,672462,663047,704979,685343,676710,730400,752864,758067,831304,836103,837776,817929,935626,956270,926046,911147,760387,681479,648900,698400,833000,835186,694900,362900,277500,403600,326776,270353,288200,331300,348700,237540,262130,281953,190288,264177,368944,258000,185988.78,210008.67,319561.8,318761.79,818442,677167,645921,639897
28,Myanmar,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,36471,38142,42470,42931,49901,67942,69700,66800,92900,114700,115000,127400,132453,115041,92029,66800,64100,57800,63074,55000,60000,110600,115247,130893,135463,135000,125000,165000,74000,32292,68839,102012,53794,67020,80495,62235,57701,51300,116065,131001.52,185009.25,236030.75,116874.34,149662.64,256266.76,271304.03,353343.97,381695.83
28,Myanmar,3102,Nutrient nitrogen N (total),5510,Production,tonnes,36800,43328,47354,55490,53000,57524,61600,59800,60000,51200,60000,86500,115000,140300,136200,98600,88300,70300,69000,44600,50000,68800,65500,73600,56100,51600,65500,77100,27600,20400,30000,40000,46058,52925,50614,48823,32097,16235,76273,95963,77034.82,78269.92,66539.46,36228.22,23023,23023,57678.94,90843.76
29,Burundi,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,228,601,329,467,442,411,500,900,300,500,1247,639,1617,1100,1000,1000,2000,1000,1000,1799,1366,1000,1000,1000,1000,1391,1822,1500,1500,514,282,429,1098,1488,809,997,1049,1942,2673,3167.75,3938.82,5613.82,4617.71,8086.77,10147.51,13456.65,6888.5,6888.5
29,Burundi,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cameroon,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,9326,9763,6100,4000,14600,15400,14200,16086,16590,16900,24500,26000,26900,20700,24600,22075,18200,9000,6000,9400,10204,15000,15000,18000,18900,16525,25985,21858,25576,20791,19370,33167,22773,25383,22299,22895,25297,25457,36977,28128.81,37118.28,26009.73,42633.41,39758.69,46470.08,46509.16,46509.16,42024.56
32,Cameroon,3102,Nutrient nitrogen N (total),5510,Production,tonnes,1400,1400,1400,1400,1400,3175,4950,6725,8500,8095.238095238095,7690.476190476191,7285.714285714286,6880.952380952381,6476.190476190476,6071.428571428572,5666.666666666667,5261.9047619047615,4857.142857142857,4452.380952380952,4047.6190476190477,3642.857142857143,3238.0952380952376,2833.333333333334,2428.5714285714284,2023.8095238095239,1619.0476190476193,1214.2857142857147,809.5238095238092,404.7619047619055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
