# File: FAO_Fert_Cons_tN_RESOURCESTAT.csv
# Title: FAO fertilizer consumption by country, year
# Units: tons N
# Column types: ciciciiiiiiiiiiiiiiiii
# ----------
countries,country codes,item,item codes,element,element codes,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armenia,1,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,15700,10450,13187,10251,57900,26808,24331,39541,29587,35946,57446,58593,48635,63282,146292,90106
Afghanistan,2,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,24523,20407,22339,20466,20463,16377,14432,14155,12929,22970,17065,34903,73872,21075,96670,140775
Albania,3,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,38216,37378,36119,37210,30333,31483,28744,33940,31292,36892,34944,30711,30711,36803,42896,39184
Algeria,4,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,28036,17076,104717,4086,43847,36626,23102,37100,60100,56300,72600,64000,76500,74400,70200,70200
Angola,7,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2757,1787,7187,3682,6641,5584,8172,10468,17369,16381,19423,20439,27612,25494,20776,26714
Antigua and Barbuda,8,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,10,33,0,17,9,2,9,23,4,4,26,32,20,8,61,8
Argentina,9,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,534592,740659,796423,640406,787677,981351,761959,477061,771245,857190,734890,788154,784091,603481,929563,975843
Australia,10,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,980100,932900,1056200,952300,858000,848800,835000,849800,981800,1098900,1124600,1222100,1253496,1171515,1054102,1090472
Austria,11,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,170974,298844,96091,101756,97220,82632,84110,79667,86153,86173,106000,108558,115715,120426,117840,114347
Bahamas,12,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,,,,,,,,,,,696,489,555,662,662,662
