# File: FAO_For_Exp_m3_USD_FORESTAT.csv
# Title: FAO historical forests export qunatity and export value
# Units: Export Quantity in m3; Export Value in 1000 US$
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2022-07-18
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2,Sawnwood,1872,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,57,18,345,345,33,33,33,10,469,452,452,178,2111,1073,317,49,49,49,294,294,982,43,65,452,66
Afghanistan,2,Sawnwood,1872,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,8,58,58,8,8,8,2,158,148,148,75,1740,1393,475,49,49,49,164,164,239,21,52,172,18
Afghanistan,2,Veneer sheets,1634,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,2,100,59,10,10,0,0,16,16,115,115,115,15,3,3,3,3,3,0,0,0,0,0
Afghanistan,2,Veneer sheets,1634,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,1,31,58,9,9,0,0,12,12,190,190,190,54,8,8,8,8,8,0,0,0,0,0
Afghanistan,2,Wood pulp,1875,Export Quantity,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,19,19,19,19,35,35,35,35,35,35,35,35,35,35,35,38,38
Afghanistan,2,Wood pulp,1875,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17
Afghanistan,2,Wood-based panels,1873,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,20,20,54,54,54,54,54,54,0,440,440,440,106,106,442,746,265,32,36,36,53,55,55,6,57,11
Afghanistan,2,Wood-based panels,1873,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,11,11,20,20,20,20,20,20,0,52,52,52,15,15,443,767,368,102,107,107,34,39,38,6,30,8
Albania,3,Sawnwood,1872,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,744,2110,3720,4098,4098,414,8651,8900,8900,607,13499,9000,9050,9050,242700,7671,21409,21409,21409,21409,21409,21409,21409,21409,5862,6546,6550,1050,850,850,0,0,0
Albania,3,Sawnwood,1872,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,111,309,524,762,762,139,6351,5799,5799,265,3535,2694,5535,3156,24784,1089,4304,4304,4304,4304,4304,4304,4304,4304,1227,1952,1952,1952,1952,1952,0,0,0
Albania,3,Veneer sheets,1634,Export Quantity,5916,3600,1100,,200,200,400,1400,1600,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,,,,,153,115,200,200,200,149,40,10,10,10,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,3,Veneer sheets,1634,Export Value,5922,850,300,,50,70,100,350,400,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,,,,,167,68,120,120,120,66,120,0,0,6,45,0,0,0,0,0,0,0,0,45,50,50,50,50,50,0,0,0
Albania,3,Wood pulp,1875,Export Quantity,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,29,29,16,16,16,16,16,16,16,16,16,16,16,15,25,25,25,25,25,0,0,0
Albania,3,Wood pulp,1875,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,6,2,2,2,2,2,2,2,2,2,2,2,9,19,19,19,19,19,0,0,0
Albania,3,Wood-based panels,1873,Export Quantity,5916,,600,2000,2300,4400,3100,3100,2800,2500,,,,,,,,,,,,,,,,,,0,,,,,31,19,60,60,60,2957,401,308,1409,11880,150,0,0,0,0,0,0,0,0,0,1200,1200,1200,1200,1200,0,0,126
Albania,3,Wood-based panels,1873,Export Value,5922,,90,300,345,660,465,465,420,375,,,,,,,,,,,,,,,,,,0,,,,,22,10,45,45,45,760,399,174,610,778,127,0,0,0,0,0,0,0,0,147,245,245,245,245,245,0,0,325
Algeria,4,Sawnwood,1872,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,0,0,0,0,0,0,0,0,0,448,561,561,140,140,163,67,56,210,292,225,561,133,33,0,0,463
Algeria,4,Sawnwood,1872,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,0,0,0,0,0,0,0,0,0,52,132,132,40,40,39,7,8,192,232,29,259,33,3,0,0,242
Algeria,4,Veneer sheets,1634,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,0,0,0,0,0,0,0,0,0,0,0,154,154,154,154,154,154,154,154,154,154,154,0,0,0,0,14
Algeria,4,Veneer sheets,1634,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640,0,0,0,0,0,0,0,0,0,0,0,121,121,121,121,121,121,121,121,121,121,121,0,0,0,0,3
Algeria,4,Wood pulp,1875,Export Quantity,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24
Algeria,4,Wood pulp,1875,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16
Algeria,4,Wood-based panels,1873,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,400,0,0,0,0,0,0,0,0,0,173,173,173,173,173,241,947,1365,1365,360,360,360,78,76,2,2,265
Algeria,4,Wood-based panels,1873,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,223,0,0,0,0,0,0,0,0,0,26,26,26,26,26,74,1192,4374,4374,156,156,156,35,34,2,2,197
Andorra,6,Sawnwood,1872,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096,144,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,0,7,19,30,37
Andorra,6,Sawnwood,1872,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,14,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,4,5,22,10
Andorra,6,Veneer sheets,1634,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Andorra,6,Veneer sheets,1634,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Andorra,6,Wood-based panels,1873,Export Quantity,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,39,25,25
Andorra,6,Wood-based panels,1873,Export Value,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,19,7,7
Angola,7,Sawnwood,1872,Export Quantity,5916,13700,20200,20200,19500,21400,34400,20400,15100,13000,16900,22500,26300,36600,36600,,,,,,,,,,,0,212,114,0,0,0,0,0,,114,114,100,175,277,1092,62,62,62,62,70,70,485,68,313,125,126,167,891,1501,2435,3527,21685,20129,12308,62538
Angola,7,Sawnwood,1872,Export Value,5922,507,483,483,445,619,1034,780,753,867,1020,940,1266,1953,1953,,,,,,,,,,,0,64,28,0,0,0,0,0,,50,50,33,48,129,26,20,20,20,20,20,20,163,114,394,100,70,136,954,1077,1809,2069,9599,11004,7900,19785
Angola,7,Veneer sheets,1634,Export Quantity,5916,,,,,,400,500,200,200,200,300,800,2900,2900,2900,,,,,,,,,,,,0,,,,,100,110,181,181,0,462,259,155,122,122,67,97,280,280,46,77,77,77,77,77,77,77,77,65,759,2435,27,0
Angola,7,Veneer sheets,1634,Export Value,5922,,,,,0,47,59,17,23,12,40,104,359,359,359,,,,,,,,,,,,0,,,,,99,94,143,143,0,454,270,130,118,118,120,171,221,221,187,188,188,188,188,188,188,188,188,129,120,315,12,0
Angola,7,Wood pulp,1875,Export Quantity,5910,,,,,,,,27100,31700,33900,31900,30900,33300,18600,,,,,,,,,,,,,0,,,,,,,0,0,0,255,255,433,433,433,433,433,433,433,433,433,961,961,961,961,961,961,706,706,706,706,706,706
Angola,7,Wood pulp,1875,Export Value,5922,,,,,,,,2607,3213,3877,3987,4085,4768,3259,,,,,,,,,,,,,0,,,,,,,0,0,0,128,128,211,211,211,211,211,211,211,211,211,755,755,755,755,755,755,627,627,627,627,627,627
Angola,7,Wood-based panels,1873,Export Quantity,5916,,,,,500,700,1100,1400,1400,1700,1000,700,500,500,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,90,92,92,92,92,92,92,97,99,57,75,75,77,77,77,52,53,52,66,629,55
Angola,7,Wood-based panels,1873,Export Value,5922,,,,,125,136,248,184,173,247,234,194,154,154,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,17,18,18,18,18,18,18,21,26,48,68,68,70,70,70,46,47,46,40,519,25
