# File: Mapping_SUA_PrimaryEquivalent.csv
# Title: Mapping of SUA items to primary products by level of nestings
# Units: NA
# Description: The mapping is constructed for aggregating items across supply chain in primary equivalent.
# There are 21 GCAM_commodity but 71 APE_comm (aggregated primary equivalent for 2010 onwards). 
# For each APE_comm nest levels souce and sink items are specified. 
# The mapping or processing is not one to one. For each level source and sink items shoud be viewed as an aggregate.
# Primary product (land based or primary meat) is indicated by source_primary. 
# In few cases output_specific_extraction_rate is specifies to prescale the data as the extraction rate for coproducts are not fixed.
# Sink item mapping to FAO FBS FBSH and CB items is provided in sink_FBS_item.
# GCAM_FBSH_CB_item is the mapping between GCAM_commodity and FBSH and CB
# GCAM_FBSH_CB_item is a unique set of sink_FBS_item and these items will be directly aggregated to GCAM_commodity for data before 2010
# To add in new GCAM commodity simply change GCAM_commodity
# However it requires that the new GCAM commodity should be independent in APE_comm and GCAM_FBSH_CB_item Eg Tomato Barley etc.
# extraction_rate_Q25 is 25 percent quantile value across regions and years
# When Q25asMin is TRUE (minimium is smaller than 0.5) extraction_rate_Q25 is used as min to avoid unrealistic scale of processed balance to primary equivalent. It is used in Get_GROSS_EXTRACTION_RATE.
# Need to make sure that when nest_level is not 0 Q25asMin extraction_rate_Q25 and extraction_rate_world2019 have values
# Jojoba seed Poppy seed and Oil castor beans did not have quality extraction rate so 1 was used here.
# Last update: 8-15-2022 (XZ)
# Column types: ccilccncnnl
# ----------
GCAM_commodity,APE_comm,nest_level,source_primary,source_item,sink_item,output_specific_extraction_rate,sink_FBS_item,extraction_rate_Q25,extraction_rate_world2019,Q25asMin
Wheat,Wheat,1,TRUE,Wheat,"Food preparations, flour, malt extract",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat,Wheat,1,TRUE,Wheat,Bulgur,,Wheat and products,0.942971612,0.985277283,FALSE
Wheat,Wheat,1,TRUE,Wheat,"Cereals, breakfast",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat,Wheat,1,TRUE,Wheat,"Bran, wheat",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat,Wheat,1,TRUE,Wheat,"Germ, wheat",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat,Wheat,1,TRUE,Wheat,"Flour, wheat",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat","Gluten, wheat",,Wheat and products,0.931353174,0.955290621,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat","Starch, wheat",,Wheat and products,0.931353174,0.955290621,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat",Bread,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat",Pastry,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat",Macaroni,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat",Wafers,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat,Wheat,2,FALSE,"Flour, wheat",Mixes and doughs,,Wheat and products,0.931353174,0.955290621,FALSE
Rice,Rice,1,TRUE,"Rice, paddy","Rice, milled",,Rice and products,0.729998701,0.745755411,FALSE
