# File: GCAMDATA_FAOSTAT_LandCover_229Regs_3Covers_1973to2020.csv
# Title: FAO cropland, Temporary Crop (harvested cropland), and fallow area by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2022-06-20T00:00:00)
# Date of CSV last update: 2022-09-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Armenia,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,423,433,435,435,450,455,455,450,450,455,455,455,455,455,452.9,452.1,450.4,449.4,448.5,449.2,448.4,448.2,447.5,446.7,446.4,446,445.6,444.8,444
1,Armenia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,318.5,318.5,318.5,318.5,318.5,317.03,316.2,314.9,316,292.6,297.7,318.9,318.2,324.3,337.5,353.5,294.5,242.3,228,223
1,Armenia,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,136.5,136.5,136.5,136.5,136.5,135.87,135.9,135.5,133.4,155.9,151.5,129.5,130,123.2,109.2,92.9,151.5,203.3,216.8,221
2,Afghanistan,6621,Arable land,5110,Area,1000 ha,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7824,7703,7653,7647,7685,7757,7653,7683,7683,7678,7772,7816,7805,7794,7794,7794,7793,7793,7791,7790,7785,7771,7765,7729,7699,7794,7788,7829
2,Afghanistan,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,2111,3761,2934,3385,3529,3531,3224,3469,3481,3081,3454,3491,3485,3355,3419,2872,2300,3338,3834
2,Afghanistan,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5181,5567,4011,4882,4420,4265,4263,4570,4324,4312,4710,4336,4294,4286,4410,4310,4827,5494,4450,3995
3,Albania,6621,Arable land,5110,Area,1000 ha,548,557,563,575,580,583,583,585,588,589,589,589,589,589,590,590,582,579,578,578,577,577,577,577,578,577,577,578,578,578,578,578,538,584,578,610,609,626,622,619.1,617.1,615.6,615.1,620.3,612,611.346,610,599.6
3,Albania,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292,292,292,272,295,251,206,202,202,205,200.9,198,204.7,205.8,209.7,208.5,202.9,196.9,196.6
3,Albania,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,95,84,92,65,187,117,210,207,222,213,209.3,203.8,206.7,202,202,187.8,191.046,193,178
4,Algeria,6621,Arable land,5110,Area,1000 ha,6512,6544,6845,7092,6904,6892,6846,6875,6885,6881,6592,6915,6910,6967,7069,7101,7129,7081,7260,7562,7533,7477,7519,7521,7650,7661,7673,7662,7583,7547,7503.7,7493,7511,7470,7469,7489,7493,7502,7502,7506.5,7496.2,7469.4,7462.1,7404.2,7470.8071,7505.017,7505.017,7505.017
4,Algeria,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,3813,3802.2,4110,3921,4065,3896,3926,4069,4226,4255,4354.2,4453.2,4403.9,4368.4,4373.7,4561.3883,4474.527,4474.527,4474.527
4,Algeria,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3743,3734,3701.5,3383,3590,3405,3573,3563,3424,3276,3247,3152.3,3043,3065.5,3093.7,3030.5,2909.4188,3030.49,3030.49,3030.49
5,American Samoa,6621,Arable land,5110,Area,1000 ha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.2,1.27,1.34,1.41,1.48,1.55,1.64,2.09,2.54,2.99,3.44,3.89,3.85,3.81,3.77,3.73,3.71,3.66,3.61,3.56,3.51,3.46,3.41,3.36,3.31,3.26,3.19,3.19,3.19
5,American Samoa,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1098,2.4327,2.7379,2.738,2.7169,2.7102,2.6859,2.7009,2.6862,2.664,2.6536,2.6286,2.612,2.5811,2.5361,2.4998,2.4656,2.4066,2.4175,2.4224
5,American Samoa,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4372,0.5031,0.5948,0.5661,0.5586,0.5514,0.5397,0.512,0.4903,0.4873,0.465,0.461,0.4417,0.4275,0.4316,0.4275,0.4211,0.4168,0.4036,0.3961
6,Andorra,6621,Arable land,5110,Area,1000 ha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.85,0.86,0.81,0.8,0.78,0.77,0.76,0.77,0.77,0.77,0.76,0.81,0.8,0.81,0.82,0.82,0.83,0.8,0.72
6,Andorra,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.16
6,Andorra,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.06,0.06,0.06
7,Angola,6621,Arable land,5110,Area,1000 ha,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2950,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3300,3300,3300,3300,3400,3400,4000,4100,4700,4700,4900,4900,4900,4900,4900,4900,4900,4900
7,Angola,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116.9009,2192.2184,2322.6525,2346.8931,2353.2468,2372.3085,2448.3033,2475.2468,2935.7234,3025.6168,3503.4126,3519.751,3699.1086,3708.9587,3698.4329,3700.6704,3706.0216,3696.5842,3713.3417,3720.8712
7,Angola,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.6496,453.3643,504.6257,485.1926,483.8021,482.6411,491.9835,469.2433,535.8919,553.479,613.9702,617.2832,625.5744,614.2943,629.4292,632.8414,632.9237,640.1908,619.9203,608.4584
8,Antigua and Barbuda,6621,Arable land,5110,Area,1000 ha,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,Antigua and Barbuda,6630,Land under temporary crops,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8225,2.8287,2.8153,2.8447,2.8524,2.8755,2.8804,2.9121,2.9357,2.9518,2.9816,2.9955,3.0197,3.0277,3.0191,3.021,3.0253,3.0176,3.0313,3.0374
8,Antigua and Barbuda,6640,Land with temporary fallow,5110,Area,1000 ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5849,0.585,0.6117,0.5881,0.5864,0.585,0.5788,0.5521,0.5359,0.54,0.5225,0.5253,0.5107,0.5015,0.5138,0.5166,0.5167,0.5226,0.5061,0.4967
