# File: A44.dens_state_flsp_usa.csv
# Title: Population density per GCAM-USA state and period
# Units: pop/km2
# Column types: cin
# ----------
region,year,tot_dens
AL,1970,26
AK,1970,0
AZ,1970,6
AR,1970,14
CA,1970,49
CO,1970,8
CT,1970,242
DE,1970,109
DC,1970,4789
FL,1970,49
GA,1970,31
HI,1970,46
ID,1970,3
IL,1970,77
IN,1970,56
IA,1970,20
KS,1970,11
KY,1970,31
LA,1970,33
ME,1970,12
MD,1970,156
MA,1970,282
MI,1970,61
MN,1970,18
MS,1970,18
MO,1970,26
MT,1970,2
NE,1970,7
NV,1970,2
NH,1970,32
NJ,1970,376
NM,1970,3
NY,1970,149
NC,1970,40
ND,1970,3
OH,1970,101
OK,1970,14
OR,1970,8
PA,1970,102
RI,1970,355
SC,1970,33
SD,1970,3
TN,1970,37
TX,1970,17
UT,1970,5
VT,1970,19
VA,1970,45
WA,1970,20
WV,1970,28
WI,1970,31
WY,1970,1
AL,1971,27
AK,1971,0
AZ,1971,6
AR,1971,15
CA,1971,50
CO,1971,9
CT,1971,244
DE,1971,112
DC,1971,4745
FL,1971,52
GA,1971,32
HI,1971,48
ID,1971,3
IL,1971,78
IN,1971,57
IA,1971,20
KS,1971,11
KY,1971,32
LA,1971,33
ME,1971,13
MD,1971,160
MA,1971,284
MI,1971,61
MN,1971,19
MS,1971,19
MO,1971,27
MT,1971,2
NE,1971,8
NV,1971,2
NH,1971,33
NJ,1971,382
NM,1971,3
NY,1971,150
NC,1971,41
ND,1971,4
OH,1971,101
OK,1971,15
OR,1971,9
PA,1971,103
RI,1971,360
SC,1971,34
SD,1971,3
TN,1971,38
TX,1971,17
UT,1971,5
VT,1971,19
VA,1971,46
WA,1971,20
WV,1971,28
WI,1971,32
WY,1971,1
AL,1972,27
AK,1972,0
AZ,1972,7
AR,1972,15
CA,1972,51
CO,1972,9
CT,1972,245
DE,1972,114
DC,1972,4698
FL,1972,54
GA,1972,32
HI,1972,50
ID,1972,4
IL,1972,78
IN,1972,57
IA,1972,20
KS,1972,11
KY,1972,33
LA,1972,34
ME,1972,13
MD,1972,162
MA,1972,285
MI,1972,62
MN,1972,19
MS,1972,19
MO,1972,27
MT,1972,2
NE,1972,8
NV,1972,2
NH,1972,34
NJ,1972,385
NM,1972,3
NY,1972,150
NC,1972,42
ND,1972,4
OH,1972,102
OK,1972,15
OR,1972,9
PA,1972,103
RI,1972,364
SC,1972,35
SD,1972,3
TN,1972,38
TX,1972,17
UT,1972,5
VT,1972,19
VA,1972,47
WA,1972,20
WV,1972,29
WI,1972,32
WY,1972,1
AL,1973,27
AK,1973,0
AZ,1973,7
AR,1973,15
CA,1973,52
CO,1973,9
CT,1973,245
DE,1973,114
DC,1973,4630
FL,1973,57
GA,1973,33
HI,1973,51
ID,1973,4
IL,1973,78
IN,1973,58
IA,1973,20
KS,1973,11
KY,1973,33
LA,1973,34
ME,1973,13
MD,1973,163
MA,1973,286
MI,1973,62
MN,1973,19
MS,1973,19
MO,1973,27
MT,1973,2
NE,1973,8
NV,1973,2
NH,1973,35
NJ,1973,385
NM,1973,4
NY,1973,149
NC,1973,43
ND,1973,4
OH,1973,102
OK,1973,15
OR,1973,9
PA,1973,103
RI,1973,364
SC,1973,36
SD,1973,3
TN,1973,39
TX,1973,18
UT,1973,5
VT,1973,20
VA,1973,48
WA,1973,20
WV,1973,29
WI,1973,32
WY,1973,1
AL,1974,28
AK,1974,0
AZ,1974,8
AR,1974,16
CA,1974,52
CO,1974,9
CT,1974,245
DE,1974,115
DC,1974,4544
FL,1974,60
GA,1974,34
HI,1974,52
ID,1974,4
IL,1974,78
IN,1974,58
IA,1974,20
KS,1974,11
KY,1974,33
LA,1974,34
ME,1974,13
MD,1974,164
MA,1974,286
MI,1974,62
MN,1974,19
MS,1974,20
MO,1974,27
MT,1974,2
NE,1974,8
NV,1974,2
NH,1974,35
NJ,1974,385
NM,1974,4
NY,1974,148
NC,1974,43
ND,1974,4
OH,1974,102
OK,1974,15
OR,1974,9
PA,1974,102
RI,1974,355
SC,1974,37
SD,1974,3
TN,1974,39
TX,1974,18
UT,1974,6
VT,1974,20
VA,1974,49
WA,1974,21
WV,1974,29
WI,1974,32
WY,1974,1
AL,1975,28
AK,1975,0
AZ,1975,8
AR,1975,16
CA,1975,53
CO,1975,10
CT,1975,246
DE,1975,116
DC,1975,4474
FL,1975,61
GA,1975,34
HI,1975,53
ID,1975,4
IL,1975,79
IN,1975,58
IA,1975,20
KS,1975,11
KY,1975,34
LA,1975,35
ME,1975,13
MD,1975,165
MA,1975,285
MI,1975,62
MN,1975,19
MS,1975,20
MO,1975,27
MT,1975,2
NE,1975,8
NV,1975,2
NH,1975,36
NJ,1975,385
NM,1975,4
NY,1975,148
NC,1975,44
ND,1975,4
OH,1975,102
OK,1975,16
OR,1975,9
PA,1975,103
RI,1975,352
SC,1975,37
SD,1975,3
TN,1975,40
TX,1975,19
UT,1975,6
VT,1975,20
VA,1975,49
WA,1975,21
WV,1975,30
WI,1975,33
WY,1975,2
AL,1976,28
AK,1976,0
AZ,1976,8
AR,1976,16
CA,1976,54
CO,1976,10
CT,1976,246
DE,1976,117
DC,1976,4382
FL,1976,62
GA,1976,34
HI,1976,54
ID,1976,4
IL,1976,79
IN,1976,58
IA,1976,20
KS,1976,11
KY,1976,35
LA,1976,35
ME,1976,14
MD,1976,165
MA,1976,284
MI,1976,62
MN,1976,19
MS,1976,20
MO,1976,27
MT,1976,2
NE,1976,8
NV,1976,2
NH,1976,36
NJ,1976,385
NM,1976,4
NY,1976,147
NC,1976,45
ND,1976,4
OH,1976,102
OK,1976,16
OR,1976,10
PA,1976,103
RI,1976,353
SC,1976,38
SD,1976,3
TN,1976,41
TX,1976,19
UT,1976,6
VT,1976,20
VA,1976,50
WA,1976,21
WV,1976,30
WI,1976,33
WY,1976,2
AL,1977,29
AK,1977,0
AZ,1977,8
AR,1977,16
CA,1977,55
CO,1977,10
CT,1977,246
DE,1977,117
DC,1977,4286
FL,1977,64
GA,1977,35
HI,1977,55
ID,1977,4
IL,1977,79
IN,1977,58
IA,1977,20
KS,1977,11
KY,1977,35
LA,1977,36
ME,1977,14
MD,1977,166
MA,1977,284
MI,1977,63
MN,1977,19
MS,1977,20
MO,1977,27
MT,1977,2
NE,1977,8
NV,1977,2
NH,1977,38
NJ,1977,385
NM,1977,4
NY,1977,146
NC,1977,45
ND,1977,4
OH,1977,102
OK,1977,16
OR,1977,10
PA,1977,103
RI,1977,355
SC,1977,38
SD,1977,4
TN,1977,41
TX,1977,19
UT,1977,6
VT,1977,21
VA,1977,51
WA,1977,22
WV,1977,31
WI,1977,33
WY,1977,2
AL,1978,29
AK,1978,0
AZ,1978,9
AR,1978,17
CA,1978,57
CO,1978,10
CT,1978,247
DE,1978,118
DC,1978,4209
FL,1978,66
GA,1978,36
HI,1978,56
ID,1978,4
IL,1978,79
IN,1978,59
IA,1978,20
KS,1978,11
KY,1978,35
LA,1978,36
ME,1978,14
MD,1978,166
MA,1978,284
MI,1978,63
MN,1978,19
MS,1978,20
MO,1978,27
MT,1978,2
NE,1978,8
NV,1978,3
NH,1978,38
NJ,1978,386
NM,1978,4
NY,1978,145
NC,1978,46
ND,1978,4
OH,1978,102
OK,1978,16
OR,1978,10
PA,1978,103
RI,1978,355
SC,1978,39
SD,1978,4
TN,1978,42
TX,1978,20
UT,1978,6
VT,1978,21
VA,1978,52
WA,1978,23
WV,1978,31
WI,1978,33
WY,1978,2
AL,1979,29
AK,1979,0
AZ,1979,9
AR,1979,17
CA,1979,58
CO,1979,11
CT,1979,247
DE,1979,118
DC,1979,4114
FL,1979,68
GA,1979,36
HI,1979,57
ID,1979,4
IL,1979,79
IN,1979,59
IA,1979,20
KS,1979,11
KY,1979,36
LA,1979,37
ME,1979,14
MD,1979,167
MA,1979,284
MI,1979,63
MN,1979,20
MS,1979,21
MO,1979,28
MT,1979,2
NE,1979,8
NV,1979,3
NH,1979,39
NJ,1979,387
NM,1979,4
NY,1979,144
NC,1979,46
ND,1979,4
OH,1979,102
OK,1979,17
OR,1979,10
PA,1979,103
RI,1979,355
SC,1979,40
SD,1979,4
TN,1979,43
TX,1979,21
UT,1979,7
VT,1979,21
VA,1979,52
WA,1979,23
WV,1979,31
WI,1979,33
WY,1979,2
AL,1980,30
AK,1980,0
AZ,1980,9
AR,1980,17
