# File: EIA_coal_generation_2023.csv
# Title: Net generation for electric power annual - coal
# Unit: thousand megawatthours (GWh)
# Comments: Selected columns from original form
# Source: U.S. Energy Information Administration Electricity Data Browser - https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=8&geo=00fvvvvvvvvvo&sec=008&freq=A&start=2001&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnn
# ----------
fuel,state,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Coal,Connecticut,thousand megawatthours,ELEC.GEN.COW-CT-98.A,3735.782,3227.202,4200.297,4255.07189,3996.49166,4281.5158,3738.72254,4386.60777,2453.49746,2604.39889,525.80654,652.88613,680.65253,824.94789,600.46879,177.37048,197.50874,329.70082,53.05173,-19.08163,244.64713,0,0
Coal,Maine,thousand megawatthours,ELEC.GEN.COW-ME-98.A,188.878,241.781,222.974,202.83424,163.20769,157.40907,146.75283,154.69601,32.65725,55.72333,37.55665,30.39188,35.18251,48.80734,64.87203,60.31171,58.31639,56.28436,60.52519,46.92568,49.99624,42.44227,43.20506
Coal,Massachusetts,thousand megawatthours,ELEC.GEN.COW-MA-98.A,11005.14,11470.817,10854.741,10487.297,11985.65,11086.492,11977.87018,10582.37074,9005.81839,8276.88885,4028.9733,2109.99611,3934.29227,2772.225,2235.61615,1874.93165,1136.31798,0,,,,,
Coal,New Hampshire,thousand megawatthours,ELEC.GEN.COW-NH-98.A,3706.399,3722.386,3923.303,4076.075,4072.987,3885.433,3927.41526,3450.7696,2885.66841,3082.6427,2208.20336,1267.71713,1463.53125,1310.99873,936.66215,422.01704,287.28107,660.30727,343.01544,128.48213,284.16345,305.45556,160.14027
Coal,Rhode Island,thousand megawatthours,ELEC.GEN.COW-RI-98.A,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Coal,Vermont,thousand megawatthours,ELEC.GEN.COW-VT-98.A,,,,,,,,,,,,,,,,,,,,,,,
Coal,New Jersey,thousand megawatthours,ELEC.GEN.COW-NJ-98.A,9319.04,9605.054,9789.563,10322.48357,11625.4189,10861.92527,10210.67009,9028.49124,5099.86841,6417.891,4155.09701,1897.4749,2021.61838,2519.10621,1759.09567,1314.54106,1216.09111,1193.28794,1041.5285,916.71816,1026.29418,497.78334,0
Coal,New York,thousand megawatthours,ELEC.GEN.COW-NY-98.A,22587.025,22497.498,22918.51,22152.25103,19839.3584,20320.93182,20854.9852,18654.06009,12437.63068,13211.90565,9062.09236,4235.70781,4389.96656,4282.53177,2075.35446,1437.21682,561.53507,679.44224,421.95139,143.69153,0,0,0
Coal,Pennsylvania,thousand megawatthours,ELEC.GEN.COW-PA-98.A,110209.329,112423.531,114647.846,115920.4802,119722.8603,121263.144,121541.0849,116424.3823,104335.8142,109320.1679,99760.94739,86769.10585,87958.87776,78442.13753,64155.7591,54293.7532,47457.56228,43970.37011,37840.91021,23394.7237,29219.37162,23840.3992,12744.7557
Coal,Illinois,thousand megawatthours,ELEC.GEN.COW-IL-98.A,77698.13,84716.005,85898.87,92220.473,89966.44551,89140.52263,92815.9076,94452.63083,88193.51075,91712.91381,88113.52854,79040.73722,86200.65477,85491.02022,72119.41325,57816.07877,56404.74167,57862.29101,47253.64769,29513.31683,42026.36696,39422.5613,26249.94425
Coal,Indiana,thousand megawatthours,ELEC.GEN.COW-IN-98.A,115843.907,117426.945,117536.883,120418.1521,122572.2377,123416.0054,122589.3699,121846.8167,108148.7646,112133.0852,103973.945,92279.44863,92537.83185,97467.73852,78193.3828,72480.58176,72351.12668,77417.32634,60717.17072,47752.00637,54417.10844,51337.79857,40906.23177
Coal,Michigan,thousand megawatthours,ELEC.GEN.COW-MI-98.A,67342.565,65648.502,66869.117,67749.33793,69633.88577,67104.33549,69944.03227,68837.93607,66251.43515,65137.44528,58500.52662,52814.17786,55950.59678,52645.77171,52689.38166,40433.07723,41974.41218,42257.42042,37323.6711,27959.37175,37051.61067,34476.86892,23554.06709
Coal,Ohio,thousand megawatthours,ELEC.GEN.COW-OH-98.A,123687.194,132705.717,134256.607,127712.072,136334.323,132944.925,132781.1672,130326.1009,113383.2894,117484.3593,105020.8202,85346.17361,94340.7745,89638.93419,71497.40959,68662.37354,68334.36725,58720.99171,46761.67891,45008.5961,45662.04797,42992.71249,31436.34147
Coal,Wisconsin,thousand megawatthours,ELEC.GEN.COW-WI-98.A,40218.957,38598.167,40588.527,41007.677,40571.13,38904.558,38774.12088,40537.08509,36268.30923,39185.56534,38984.25251,31908.65582,39824.09639,36597.13728,36498.78014,32927.16465,35436.6997,32933.49378,26002.50171,23490.18947,27233.27777,21737.62778,20972.39157
Coal,Iowa,thousand megawatthours,ELEC.GEN.COW-IA-98.A,33589.39,34145.032,34288.694,33757.265,32807.567,32855.636,36470.44991,39231.63529,35964.15462,39367.62992,36121.64433,33179.27688,31194.48894,31756.14603,27879.77619,23480.02904,23786.72427,26969.24933,20550.66061,12785.71844,20640.59695,16633.82829,15120.97887
Coal,Kansas,thousand megawatthours,ELEC.GEN.COW-KS-98.A,31768.001,35369.189,35109.616,34593.346,34480.731,33281.38,36250.26313,34003.26216,32243.04346,32505.05312,31655.84885,27982.5311,29767.26204,28752.2822,24593.33425,23096.06386,19389.77097,20473.98303,17314.60051,16959.83904,19396.16871,20229.35991,16290.68363
Coal,Minnesota,thousand megawatthours,ELEC.GEN.COW-MN-98.A,31064.294,32200.713,34668.347,32981.36185,31957.00291,32104.95224,31228.81741,30806.27374,28617.4027,27176.47765,27429.10222,22106.84061,22789.79285,27247.76481,24110.57113,22805.56237,22269.579,23067.54507,17604.70456,13915.16047,15621.21964,16008.00707,12640.93758
Coal,Missouri,thousand megawatthours,ELEC.GEN.COW-MO-98.A,65445.161,67147.996,73904.272,74711.159,77123.58,77113.165,74745.71228,73246.59855,71401.5814,74829.02924,78164.1168,72660.78984,75963.67609,72288.11582,65246.74286,60269.38369,67496.55179,63345.01209,55677.64129,51751.2605,57848.14103,52821.57973,40345.1729
