# File: A44.CalPrice_service_gcamusa.csv
# Title: Prices by service in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM-USA output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
CT,carbon-storage,1.53666,1.53666,1.53666,1.53666
DC,carbon-storage,1,1,1,1
DE,carbon-storage,1.53666,1.53666,1.53666,1.53666
FL,carbon-storage,1.53666,1.53666,1.53666,1.53666
GA,carbon-storage,1.53666,1.53666,1.53666,1.53666
HI,carbon-storage,212,212,212,212
IA,carbon-storage,1,1,1,1
ID,carbon-storage,1,1,1,1
IL,carbon-storage,1,1,1,1
IN,carbon-storage,1,1,1,1
KS,carbon-storage,1,1,1,1
KY,carbon-storage,1,1,1,1
LA,carbon-storage,1.53666,1.53666,1.53666,1.53666
MA,carbon-storage,1.53666,1.53666,1.53666,1.53666
MD,carbon-storage,1.53666,1.53666,1.53666,1.53666
ME,carbon-storage,1.53666,1.53666,1.53666,1.53666
MI,carbon-storage,1,1,1,1
MN,carbon-storage,1,1,1,1
MO,carbon-storage,1,1,1,1
MS,carbon-storage,1.53666,1.53666,1.53666,1.53666
MT,carbon-storage,1,1,1,1
NC,carbon-storage,1.53666,1.53666,1.53666,1.53666
ND,carbon-storage,1,1,1,1
NE,carbon-storage,1,1,1,1
NH,carbon-storage,1.53666,1.53666,1.53666,1.53666
NJ,carbon-storage,1.53666,1.53666,1.53666,1.53666
NM,carbon-storage,1,1,1,1
NV,carbon-storage,1,1,1,1
NY,carbon-storage,1.53666,1.53666,1.53666,1.53666
OH,carbon-storage,1,1,1,1
OK,carbon-storage,1,1,1,1
OR,carbon-storage,1.53666,1.53666,1.53666,1.53666
PA,carbon-storage,1,1,1,1
RI,carbon-storage,1.53666,1.53666,1.53666,1.53666
SC,carbon-storage,1.53666,1.53666,1.53666,1.53666
SD,carbon-storage,1,1,1,1
TN,carbon-storage,1,1,1,1
TX,carbon-storage,1.53666,1.53666,1.53666,1.53666
UT,carbon-storage,1,1,1,1
VA,carbon-storage,1.53666,1.53666,1.53666,1.53666
VT,carbon-storage,1,1,1,1
WA,carbon-storage,1.53666,1.53666,1.53666,1.53666
WI,carbon-storage,1,1,1,1
WV,carbon-storage,1,1,1,1
WY,carbon-storage,1,1,1,1
AL,cement,0.0229394,0.0223703,0.0248109,0.0247752
AR,cement,0.0229394,0.0223703,0.0248109,0.0247752
AZ,cement,0.021406,0.0206696,0.0231809,0.0235175
CA,cement,0.0248225,0.0244742,0.0271375,0.0271533
CO,cement,0.021406,0.0206696,0.0231809,0.0235175
CT,cement,0.0243435,0.0241931,0.0268861,0.0270702
FL,cement,0.0222623,0.0219532,0.0243749,0.02445
GA,cement,0.0229394,0.0223703,0.0248109,0.0247752
IA,cement,0.0215933,0.0210569,0.0233934,0.0237769
ID,cement,0.022827,0.0219698,0.0244882,0.0248936
IL,cement,0.0223927,0.0218013,0.0243674,0.0250139
IN,cement,0.0220489,0.0217356,0.0242299,0.0247548
KS,cement,0.0202327,0.020043,0.0225477,0.022413
KY,cement,0.0220489,0.0217356,0.0242299,0.0247548
LA,cement,0.0229394,0.0223703,0.0248109,0.0247752
MA,cement,0.0243435,0.0241931,0.0268861,0.0270702
MD,cement,0.0229059,0.0227711,0.0252781,0.0254121
MI,cement,0.0220489,0.0217356,0.0242299,0.0247548
MN,cement,0.0215933,0.0210569,0.0233934,0.0237769
MO,cement,0.0223927,0.0218013,0.0243674,0.0250139
MS,cement,0.0229394,0.0223703,0.0248109,0.0247752
NC,cement,0.0229394,0.0223703,0.0248109,0.0247752
NE,cement,0.0215933,0.0210569,0.0233934,0.0237769
NJ,cement,0.0229059,0.0227711,0.0252781,0.0254121
NM,cement,0.021406,0.0206696,0.0231809,0.0235175
NV,cement,0.022827,0.0219698,0.0244882,0.0248936
NY,cement,0.0231784,0.0233156,0.0258845,0.0260952
OH,cement,0.0220489,0.0217356,0.0242299,0.0247548
OK,cement,0.0202327,0.020043,0.0225477,0.022413
OR,cement,0.022827,0.0219698,0.0244882,0.0248936
PA,cement,0.0229059,0.0227711,0.0252781,0.0254121
SC,cement,0.0229394,0.0223703,0.0248109,0.0247752
SD,cement,0.0215933,0.0210569,0.0233934,0.0237769
TN,cement,0.0229394,0.0223703,0.0248109,0.0247752
TX,cement,0.0204051,0.0200454,0.0227562,0.022752
UT,cement,0.022827,0.0219698,0.0244882,0.0248936
VA,cement,0.0229394,0.0223703,0.0248109,0.0247752
WA,cement,0.022827,0.0219698,0.0244882,0.0248936
WI,cement,0.0223927,0.0218013,0.0243674,0.0250139
WV,cement,0.0220489,0.0217356,0.0242299,0.0247548
AK,coal to liquids,0,0,0,9.40576
AL,coal to liquids,0,0,0,6.86186
AR,coal to liquids,0,0,0,6.86186
AZ,coal to liquids,0,0,0,6.22256
CA,coal to liquids,0,0,0,7.55375
CO,coal to liquids,0,0,0,6.22256
CT,coal to liquids,0,0,0,7.99748
DC,coal to liquids,0,0,0,6.79195
DE,coal to liquids,0,0,0,6.79195
FL,coal to liquids,0,0,0,6.9947
GA,coal to liquids,0,0,0,6.86186
HI,coal to liquids,0,0,0,7.06461
IA,coal to liquids,0,0,0,6.14209
ID,coal to liquids,0,0,0,6.52647
IL,coal to liquids,0,0,0,6.29584
IN,coal to liquids,0,0,0,6.50556
KS,coal to liquids,0,0,0,6.17356
KY,coal to liquids,0,0,0,6.50556
LA,coal to liquids,0,0,0,6.86186
MA,coal to liquids,0,0,0,7.99748
MD,coal to liquids,0,0,0,6.79195
ME,coal to liquids,0,0,0,7.99748
MI,coal to liquids,0,0,0,6.50556
MN,coal to liquids,0,0,0,6.14209
MO,coal to liquids,0,0,0,6.29584
MS,coal to liquids,0,0,0,6.86186
MT,coal to liquids,0,0,0,6.52647
NC,coal to liquids,0,0,0,6.86186
ND,coal to liquids,0,0,0,6.14209
NE,coal to liquids,0,0,0,6.14209
NH,coal to liquids,0,0,0,7.99748
NJ,coal to liquids,0,0,0,6.79195
NM,coal to liquids,0,0,0,6.22256
NV,coal to liquids,0,0,0,6.52647
NY,coal to liquids,0,0,0,7.37909
OH,coal to liquids,0,0,0,6.50556
OK,coal to liquids,0,0,0,6.17356
OR,coal to liquids,0,0,0,6.52647
PA,coal to liquids,0,0,0,6.79195
RI,coal to liquids,0,0,0,7.99748
SC,coal to liquids,0,0,0,6.86186
SD,coal to liquids,0,0,0,6.14209
