# File: pca_electricity_trade.csv
# Title: Received and Delivered electricity for individual Power Control Areas (PCAs)
# Units: MWh per year
# Comments:  This file contains individual Power Control Area electricity imported from a corresponding PCA
# Source: Chini  C. M.  Djehdian  L. A.  Lubega  W. N.  & Stillwell  A. S. (2018). Virtual water transfers of the US electric grid. Nature Energy  3(12)  1115-1123. https://doi.org/10.1038/s41560-018-0266-1
# Column types: nnnnn
# ----------
Reporting_PCA,Year,Connected_PCA,Received_Electricity,Delivered_Electricity
209,2010,101,2718,2883205
209,2011,101,1066,2411812
209,2012,101,43140,1637191
209,2013,101,48637,1735737
252,2010,101,1015828,9295
252,2011,101,838885,11952
252,2012,101,784618,14750
252,2013,101,675693,18289
253,2015,101,3868016,2901380
253,2010,101,3273771,2833673
253,2011,101,3537709,2788009
253,2012,101,3174906,2931454
253,2013,101,3357586,3401602
253,2014,101,3525167,3645076
257,2014,101,2029929,2271122
257,2015,101,1406336,2549464
258,2010,101,4297840,4559377
258,2011,101,2946431,3781549
258,2012,101,2371407,3133974
258,2013,101,3749714,4368068
258,2014,101,3807475,4501235
258,2015,101,3329882,4864786
263,2010,101,1665765,0
263,2011,101,2864414,0
263,2012,101,2796114,30
263,2013,101,1674053,212
263,2014,101,1555404,0
263,2015,101,1263331,459
321,2010,101,11933440,13833609
321,2011,101,12629094,12794265
321,2013,101,13207152,14429300
321,2014,101,19158738,16486361
321,2015,101,16882208,14178679
157,2010,103,595194,143622
157,2011,103,497693,112301
157,2012,103,589560,100169
157,2013,103,900309,46499
157,2014,103,723348,34618
157,2015,103,656181,31907
233,2010,103,321428,6612
233,2011,103,184298,26786
233,2012,103,137213,35915
233,2013,103,206207,23393
233,2014,103,159292,81038
233,2015,103,75336,58164
149,2010,105,173673,604667
149,2010,106,1700521,446210
164,2012,107,0,312064
164,2013,107,0,287841
190,2010,108,845635,87607
190,2011,108,829479,101101
190,2012,108,795005,115165
190,2013,108,804693,115471
118,2010,110,988081,139846
118,2011,110,989455,153231
118,2012,110,1592905,63939
118,2013,110,940635,116764
142,2010,110,272325,2268627
142,2011,110,306457,2471936
142,2012,110,388881,2198172
142,2013,110,488452,1423416
163,2010,110,821294,123808
163,2011,110,885423,145199
163,2012,110,1068239,88895
163,2013,110,778976,113299
164,2011,110,2443825,1284140
164,2012,110,2491522,1182395
