# File: EIA_923_generator_gen_fuel_2023.csv# Title: EIA Form 923 generation data for year 2023# Unit: MWh# Comments: Selected columns from original form# Source: https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2023.zip; EIA923_Schedules_2_3_4_5_M_12_2023_Final; Page 4 Generator Data from file# Column types: cicn# ----------State,Plant.Id,Generator.Id,Net.Generation.Year.To.Date
AL,3,A2C1,1176630
AL,3,A3ST,137666
AL,3,A2C2,1211689
AL,3,4,559096
AL,3,A1ST,1119948
AL,3,5,1810712
AL,3,2,12259
AL,3,1,10208
AL,3,A1CT2,1073824
AL,3,A3C1,285964
AL,3,A1CT,1083138
AL,3,A2ST,1228785
AL,7,2,0
AL,7,1,0
AL,10,2,588219
AL,10,1,725864
AL,26,ST4,383199
AL,26,5,1843294
AL,26,2,426419
AL,26,3,377135
AL,26,1,369610
AL,56,LEC1,881394
AL,56,LEC2,459948
NE,59,1,361859
NE,60,2,736978
NE,60,1,358524
AK,79,2,499
AK,79,1,28763
AK,79,5,114098
KS,108,1,1584630
AZ,113,1,551038
AZ,113,3,1236667
AZ,117,C4-2,0
AZ,117,C5-3,566262
AZ,117,C5-1,545884
AZ,117,C5-2,503413
AZ,117,1B,327359
AZ,117,2B,342004
AZ,117,C4-1,416055
AZ,117,3B,336579
AZ,120,ST1,1307
AZ,126,4,483674
AZ,126,ST3,311606
SC,130,2,541354
SC,130,1,1149022
SC,130,4,3502522
SC,130,3,3256336
FL,136,2,2753492
FL,136,CT1,1974755
FL,136,CT2,1995879
FL,136,1,1134292
FL,136,ST,2022422
AZ,141,AF3,29189
AZ,141,AF2,48405
AZ,141,AF1,59914
AZ,147,KY7A,465991
AZ,147,KY7,788493
AZ,160,ST3,996778
AZ,160,ST2,536580
AZ,160,ST1,187348
OK,165,3CT,1953390
OK,165,3ST,917298
OK,165,2,746337
AR,170,4,169122
AR,201,2,289577
AR,201,1,114954
AR,203,1,41108
CA,260,ST1,1016020
CA,260,CT2B,793355
CA,260,CT2A,824079
CA,260,CT1A,990923
CA,260,CT1B,955788
CA,260,ST2,864087
TX,298,2,3013249
TX,298,1,3045997
CA,315,3,244532
CA,315,5,141871
CA,315,4,211851
CA,335,2,167370
CA,350,1,69527
CA,350,2,187211
CA,356,6,74846
CA,356,8,121262
CA,356,5,60113
CA,358,MV3B,413172.47
CA,358,MV4A,355860.99
CA,358,MV4B,300279.99
CA,358,MV4C,436492.24
CA,358,MV3A,456585.79
CA,358,MV3C,590073.31
CA,377,4,7819
CA,377,1,0
CA,377,5,2
CA,377,3,0
CA,377,8BC,0
CA,377,2,0
CA,377,8A,0
IL,384,7,375382
IL,384,8,332408
CA,389,2,71704
CA,389,4,139084
CA,389,32,235530
CA,389,31,245375
CA,389,2A,163342
CA,389,30,234514
CA,399,10A,48122
CA,399,10B,37082
CA,399,5,32115
CA,400,2,534
CA,400,9,626301
CA,400,10,687227
CA,400,8,764662
CA,400,1,292990
CA,404,5,378551
CA,404,2,28129
CA,404,1,34596
CA,404,4,741032
CA,408,6,456171
CA,408,7,482748
CA,408,8,558616
CA,422,ST1,3028
CA,422,GT5,17219
CO,469,4,548736
CO,469,5,907412
CO,469,6,967257
CO,469,7,1136101
CO,470,1,0
CO,470,2,2054635
CO,470,3,4713297
CO,492,7,0
CO,492,6,0
CO,493,3,12391
CO,493,2,9366
CO,493,1,9457
CO,525,2,1432435
CO,525,1,1008664
AL,533,VAN2,999220
AL,533,VAN3,1041850
AL,533,2,15611
AL,533,1,17355
AL,533,4,263928
AL,533,VAN1,989601
AL,533,3,15376
CT,546,5,15038
CT,546,6,21033
WA,550,1,309474
CT,562,4,10722
CT,562,3,50173
CT,562,2,109105
FL,564,1,1463377
FL,564,2,1828311
FL,564,B1,1200424
FL,564,B,783341
CT,568,502,247388
CT,568,501,2677218
VT,589,1,184798
DE,593,3,29513
DE,593,5,121856
DE,593,4,75724
DE,594,4,-9888
MD,602,2,586185
MD,602,1,449104
FL,609,3B,1447952
FL,609,3ST,2501406
FL,609,3A,1657902
FL,609,3C,1511884
FL,612,2B,967109
FL,612,2F,1070666
FL,612,ST2,2458456
FL,612,2E,1087687
FL,612,ST1,693818
FL,612,2A,1053973
FL,612,2C,1060822
FL,612,2D,1044035
FL,617,5A,1140104
FL,617,5C,1142285
FL,617,5B,1312927
FL,617,5ST,2037341
FL,619,5C,1563714
FL,619,5B,1735889
FL,619,5ST,2409025
FL,619,5A,1555014
FL,620,4B,625137
FL,620,5A,668275
FL,620,5D,577179
FL,620,5C,651953
FL,620,4,1480112
FL,620,4D,581489
FL,620,4C,684196
FL,620,4A,761649
FL,620,5,1318571
FL,620,5B,577607
FL,621,ST2,0
FL,621,5CTD,1091960
FL,621,5CA,2375918
FL,621,5CTA,1073073
FL,621,5CTB,1023363
FL,621,ST1,0
FL,621,5CTC,1018276
FL,628,ST4,1917213
FL,628,5,1911731
FL,628,CC2ST,2379647
FL,628,2GTB,1915419
FL,628,2GTA,1930205
FL,628,1GTA,1833457
FL,628,1GTB,1895499
FL,628,CC1ST,2302960
FL,634,4CGT,1022688
FL,634,4DGT,1116565
FL,634,4ST,2318409
FL,634,4BGT,1118302
FL,634,4AGT,972097
FL,641,5,77975
FL,641,7,1215363
FL,641,4,79038
FL,641,6,489102
FL,643,3S,1440139
FL,643,3A,1342425
FL,643,3B,1401934
FL,645,ST3,110900
FL,645,ST4,849768
FL,645,GT6,1421851
FL,645,GT5,1265178
FL,645,ST1,1157564
FL,663,2,661040
FL,663,1,150593
FL,664,CT04,137961
FL,664,8,0
FL,664,8.2,71507
FL,667,ST3,1697590
FL,667,1,597060
FL,667,2,895180
FL,673,GT2,633
FL,673,S3,87
FL,673,S5,-276
FL,675,8,179743
FL,675,5,57848
FL,676,5CT,1130427
FL,676,5ST,598529
FL,688,CT 2A,952044
FL,688,2,476252
FL,689,8,906707
FL,689,9,488045
GA,703,4,2850665
GA,703,2,2247651
GA,703,3,3257801
GA,703,1,1871976
GA,710,CT4B,1892001
GA,710,5BCT,1719655
GA,710,6BCT,2067050
GA,710,6,2420074
GA,710,5ACT,1746570
GA,710,CT4A,1833663
GA,710,5,2024791
GA,710,4,2032911
GA,710,6ACT,2087970
GA,728,6,1086225
GA,728,7,1152956
GA,753,1,0
HI,765,K1,403838
HI,765,K2,366465
HI,765,K4,72829
HI,765,K6,645582
HI,765,K5,739356
HI,765,K3,322157
HI,766,W8,389330
HI,766,W7,540166
HI,766,W6,142087
HI,766,W3,21743
HI,766,W4,25737
HI,766,W5,113914
HI,772,6,85169
HI,772,5,48199
IL,856,2,0
IL,856,3,0
IL,862,2,0
IL,862,4,0
IL,862,3,0
IL,862,1,0
IL,874,6,-27603
IL,876,2,1320266
IL,876,1,908894
IL,879,6,634389
IL,879,5,703239
IL,883,8,0
IL,883,7,0
IL,889,2,2901296
IL,889,1,2997558
IL,963,3,0
IL,963,4,643132
IL,972,6,1159
IL,972,4,170
IL,972,7,2292
IL,976,3,219127
IL,976,1,201063
IL,976,2,216801
IN,983,2,898590
IN,983,1,936041
IN,983,3,821674
IN,983,6,437153
IN,983,5,949295
IN,983,4,924387
IN,990,5,415952
IN,990,7,1864749
IN,990,6,328056
IN,991,GT1,1690420
IN,991,STG1,1896999
IN,991,GT2,1694625
IN,992,8,2782.93
IN,992,4,0
IN,992,6,7776.49
IN,992,7,0
IN,994,ST2,603281
IN,994,ST3,1949210
IN,994,4,2106110
IN,997,12,1427182
IN,1001,1,2248130
IN,1001,2,2061643
IN,1004,CT1,931891
IN,1004,CT2,898334
IN,1004,ST,1443165
IN,1007,4,424273
IN,1007,5,424273
IN,1007,3,424273
IN,1007,2,0
IN,1007,1,0
IN,1012,2,176595
IN,1012,3,1324625
NC,1016,8,1629
NC,1016,7,2717
NC,1016,2,1679
NC,1016,3,2517
NC,1016,9,634
NC,1016,1,2752
NC,1016,6,2662
IN,1024,4,0
IN,1024,5,0
IN,1040,1,5392
IN,1040,2,10867
IA,1047,4,-7651
IA,1073,4,32370
IA,1073,3,-816
IA,1073,1,50092
IA,1082,4,3318916
IA,1082,3,2381382
IA,1091,3,1252853
IA,1104,1,5449
IA,1122,7,89672
IA,1122,8,239793
IA,1131,7,5834
IA,1131,6,1635
IA,1167,8,30615
IA,1167,8A,0
IA,1167,9,505729
IA,1167,7,2564
IA,1217,1,2557
KS,1230,1,25768
KS,1233,4,107336
KS,1235,3,31976
KS,1239,12,746496
KS,1239,12-2,400300
KS,1241,1,3722468
KS,1241,2,2886960
KS,1250,4,340173
KS,1250,5,1391775
KS,1270,5,0
KS,1270,6,0
KS,1271,7,10935
KS,1295,ST1,0
KS,1295,ST2,0
KS,1317,5,2871
KS,1330,4,3360
KS,1336,S2,48875
KY,1353,1,1172392
KY,1355,3,892460
KY,1356,4,2207075
KY,1356,1,2660942
KY,1356,2,2588421
KY,1356,3,2315420
KY,1363,7A,1585075
KY,1363,7B,1534532
KY,1363,7S,1745902
KY,1364,4,2552458
KY,1364,2,1641680
KY,1364,3,2316708
KY,1364,1,1029719
KY,1378,CTG3,1618610
KY,1378,CTG1,1112506
KY,1378,STG1,2517015
KY,1378,CTG2,1606060
KY,1379,2,477793
KY,1379,3,498255
KY,1379,1,512936
KY,1379,8,504468
KY,1379,5,480729
KY,1379,9,551395
KY,1379,6,580138
KY,1379,4,538811
KY,1379,7,578443
KY,1383,1,0
KY,1384,1,65521
KY,1384,2,411950
LA,1391,2A,491689
LA,1391,3A,508645
LA,1391,1A,0
LA,1393,1,200813
LA,1393,2,635
LA,1393,6,1538705
LA,1393,4,0
LA,1396,U7CT,838677
LA,1396,U72,846500
LA,1396,6,434471
