# File: state_and_basin.csv
# Title: Mapping between states and basins
# Units: NA
# Comments: Basins placed in their respective states. Derived from rgis script grid_to_zone_fraction created by Chris R Vernon
# Source: NA
# Column types: ncc
# ----------
GCAM_basin_ID,basin_name,state_abbr
7,PacArctic,AK
7,PacArctic,WA
23,NelsonR,MN
23,NelsonR,MT
23,NelsonR,ND
23,NelsonR,SD
27,FraserR,WA
96,MexCstNW,AZ
96,MexCstNW,NM
101,Caribbean,FL
217,California,CA
217,California,NV
217,California,OR
218,MissppRN,IA
218,MissppRN,IL
218,MissppRN,IN
218,MissppRN,KY
218,MissppRN,MI
218,MissppRN,MN
218,MissppRN,MO
218,MissppRN,ND
218,MissppRN,SD
218,MissppRN,WI
219,MissppRS,AR
219,MissppRS,IL
219,MissppRS,KY
219,MissppRS,LA
219,MissppRS,MO
219,MissppRS,MS
219,MissppRS,TN
220,UsaColoRN,AZ
220,UsaColoRN,CO
220,UsaColoRN,NM
220,UsaColoRN,UT
220,UsaColoRN,WY
221,UsaColoRS,AZ
221,UsaColoRS,CA
221,UsaColoRS,NM
221,UsaColoRS,NV
221,UsaColoRS,UT
222,GreatBasin,CA
222,GreatBasin,ID
222,GreatBasin,NV
222,GreatBasin,OR
222,GreatBasin,UT
222,GreatBasin,WY
223,MissouriR,CO
223,MissouriR,IA
223,MissouriR,ID
223,MissouriR,KS
223,MissouriR,MN
223,MissouriR,MO
223,MissouriR,MT
223,MissouriR,ND
223,MissouriR,NE
223,MissouriR,SD
223,MissouriR,WY
224,ArkWhtRedR,AR
224,ArkWhtRedR,CO
224,ArkWhtRedR,KS
224,ArkWhtRedR,LA
224,ArkWhtRedR,MO
224,ArkWhtRedR,NM
224,ArkWhtRedR,OK
224,ArkWhtRedR,TX
225,TexasCst,LA
225,TexasCst,NM
225,TexasCst,TX
226,UsaCstSE,AL
226,UsaCstSE,FL
226,UsaCstSE,GA
226,UsaCstSE,LA
226,UsaCstSE,MS
226,UsaCstSE,NC
226,UsaCstSE,SC
226,UsaCstSE,TN
226,UsaCstSE,VA
226,UsaCstSE,WV
227,GreatLakes,IL
227,GreatLakes,IN
227,GreatLakes,ME
227,GreatLakes,MI
227,GreatLakes,MN
227,GreatLakes,NH
227,GreatLakes,NY
227,GreatLakes,OH
227,GreatLakes,PA
227,GreatLakes,VT
227,GreatLakes,WI
228,OhioR,IL
228,OhioR,IN
228,OhioR,KY
228,OhioR,MD
228,OhioR,NC
228,OhioR,NY
228,OhioR,OH
228,OhioR,PA
228,OhioR,TN
228,OhioR,VA
228,OhioR,WV
229,UsaPacNW,CA
229,UsaPacNW,ID
229,UsaPacNW,MT
229,UsaPacNW,NV
229,UsaPacNW,OR
229,UsaPacNW,UT
229,UsaPacNW,WA
229,UsaPacNW,WY
230,TennR,AL
230,TennR,GA
230,TennR,KY
230,TennR,MS
230,TennR,NC
230,TennR,SC
230,TennR,TN
230,TennR,VA
231,RioGrande,CO
231,RioGrande,NM
231,RioGrande,TX
232,UsaCstNE,CT
232,UsaCstNE,MA
232,UsaCstNE,ME
232,UsaCstNE,NH
232,UsaCstNE,NY
232,UsaCstNE,RI
232,UsaCstNE,VT
233,UsaCstE,CT
233,UsaCstE,DC
233,UsaCstE,DE
233,UsaCstE,MA
233,UsaCstE,MD
233,UsaCstE,NC
233,UsaCstE,NJ
233,UsaCstE,NY
233,UsaCstE,PA
233,UsaCstE,VA
233,UsaCstE,VT
233,UsaCstE,WV
234,Hawaii,HI
