# File: CBECS_1989.csv
# Title: Commercial Buildings Energy Consumption Survey 1989
# Units: BLDGID4: building identifier;SQFT4: square footage;YRCONC4: year constructed;PBA4: principal building activity;ADJWT4: adjusted sampling weight
# Source: https://www.eia.gov/consumption/commercial/data/previous/
# Column types: iiiiiin 
# ----------
BLDGID4,REGION4,CENDIV4,SQFT4,YRCONC4,PBA4,ADJWT4
1,3,7,50001,5,4,1.13
2,2,3,300000,6,2,21.19
3,3,7,15000,4,3,597.74
4,2,3,12500,4,13,584.61
5,4,9,7000,3,14,1735.25
6,3,5,1000000,3,17,3.13
7,1,2,8000,3,2,469.94
8,3,5,40000,5,12,1.03
9,4,9,2500,9,19,1654.84
10,4,9,12500,3,4,497.59
11,2,3,22500,6,12,263.93
12,2,4,50001,4,15,91.63
13,3,7,7000,3,4,1597.65
14,3,5,250000,6,13,21.99
15,4,8,350000,5,2,20
16,4,9,60000,6,12,163.32
17,2,3,2000,5,2,1636.1
18,3,7,3500,4,4,1859.44
19,2,3,90000,5,3,21.19
20,4,8,50000,8,12,268.52
21,4,9,180000,7,2,256.39
22,4,9,80000,9,3,248.34
23,4,9,180000,7,19,72.41
24,4,9,2000,3,1,1.17
25,3,5,2500,8,2,1597.64
26,3,5,20000,6,17,496.13
27,3,7,1500,6,13,496.13
28,3,5,4000,6,14,1472.34
29,4,8,30000,8,12,268.52
30,3,5,12500,3,3,1595.2
31,3,7,20000,5,3,5.74
32,1,2,15000,5,4,257.34
33,3,6,20000,6,17,347.16
34,2,4,1001,5,2,2082.26
35,2,3,35000,5,3,21.19
36,3,5,40000,6,12,235.53
37,2,3,60000,2,12,610.82
38,3,7,6000,6,12,1595.2
39,2,4,1500,4,2,1636.1
40,1,2,12500,6,12,597.34
41,3,7,10000,4,3,1932.25
42,3,5,6000,5,13,320.86
43,4,9,3500,5,20,657.7
44,3,5,20000,4,17,1472.34
45,4,8,3500,6,12,1654.83
46,2,3,10000,1,4,412.5
47,1,2,8000,4,4,490.89
48,2,3,10000,3,3,1904.68
49,2,3,35000,6,12,263.93
50,2,3,120000,7,4,5.03
51,1,2,2000,5,3,2039.07
52,1,2,7000,5,12,469.94
53,3,7,2000,6,14,1932.25
54,3,7,25000,6,12,498.98
55,3,7,1500,8,2,1597.65
56,3,7,2000,4,12,1472.34
57,4,9,1500,6,2,502.74
58,4,9,12500,6,12,268.52
59,3,5,3000,3,7,1472.34
60,3,5,250000,6,13,20.14
61,2,4,5000,6,3,610.82
62,3,5,3000,8,4,2124.65
63,1,2,25000,2,13,1377.41
64,3,6,140000,4,1,98.36
65,4,8,17500,7,2,1509.24
66,3,6,200000,6,13,16.54
67,2,4,60000,3,13,324.11
68,2,3,1000000,7,2,10.74
69,3,5,5000,5,4,2170.72
70,1,1,6000,4,3,1468.67
71,3,7,1500,8,1,1472.34
72,2,3,15000,4,12,1508.84
73,3,6,2000,6,3,1472.34
74,2,4,60000,2,4,584.61
75,3,5,6000,8,2,1616.48
76,1,1,10000,2,4,654.5
77,2,3,600000,9,2,10.09
78,1,2,6000,3,12,157.78
79,1,2,12500,3,12,459.35
80,2,3,300000,5,13,20.14
81,3,6,8000,7,14,2944.67
82,3,5,300000,5,3,22.3
83,4,8,700000,6,2,20.41
84,3,5,1300000,8,3,5.74
85,4,9,400000,9,2,20.41
86,3,7,20000,6,2,470.24
87,2,3,40000,5,12,306.28
88,1,2,120000,6,12,157.78
89,2,3,350000,3,2,21.48
90,1,2,8000,3,12,490.89
91,3,5,700000,6,3,22.79
92,4,9,25000,5,17,497.58
93,4,9,60000,4,17,1.1
94,3,5,25000,5,1,259.98
95,1,2,40000,6,12,157.78
96,1,1,60000,9,13,331.09
97,1,1,1500,5,3,2718.69
98,4,9,50001,8,13,336.81
99,2,3,1001,6,2,1636.1
100,2,3,25000,4,4,487.36
101,4,9,4500,8,13,307.35
102,4,8,250000,9,2,10.27
103,3,7,40000,8,12,652.28
104,2,3,40000,9,13,509.17
105,3,5,6000,7,14,1595.2
106,3,6,10000,1,4,1836.5
107,4,8,22500,8,12,268.52
108,1,2,45000,5,13,23.73
109,1,1,4000,5,4,317.29
110,1,1,15000,6,3,10.28
111,4,9,35000,7,2,323.85
112,3,6,15000,7,20,652.28
113,3,5,450000,9,12,10.09
114,3,7,90000,6,13,306.28
115,3,6,4500,5,3,1597.65
116,2,3,30000,6,13,324.11
117,3,5,35000,2,13,320.86
118,3,7,35000,7,3,235.53
119,1,2,3000,6,5,1468.67
120,1,1,140000,2,12,157.78
121,1,2,1500000,5,3,20.83
122,2,4,15000,5,12,1991.37
123,1,1,30000,8,17,319.01
124,3,6,12500,6,2,470.24
125,3,7,10000,9,10,1472.34
126,1,1,3000,2,3,2039.07
127,3,5,600000,6,15,10.04
128,3,6,600000,7,15,10.04
129,3,6,2000,5,3,2650.99
130,4,9,10000,6,6,1654.84
131,2,4,3000,3,4,1991.37
132,3,6,180000,6,12,6.23
133,4,8,8000,8,12,502.74
134,3,7,4000,6,4,652.28
135,4,9,35000,5,13,20
136,2,3,80000,9,3,248.34
137,4,9,7000,3,3,1735.25
138,2,4,70000,3,12,513.05
139,3,7,6000,2,3,652.28
140,2,3,30000,4,4,263.93
141,3,6,22500,7,10,3185.53
142,2,3,3000,4,3,682.05
143,1,2,2500,4,2,157.78
144,1,2,2500,2,13,1468.67
145,3,7,120000,3,17,496.13
146,1,2,22500,6,2,20.83
147,4,9,80000,5,2,10.27
148,4,9,3500,7,2,492.68
149,2,3,10000,4,12,603.64
150,3,5,800000,8,17,156.48
151,2,3,1001,5,12,1991.37
152,1,1,1000000,7,2,20.83
153,3,7,1500,8,1,1597.65
154,4,9,22500,2,4,502.74
155,2,3,9000,3,17,509.17
156,2,3,100000,5,14,487.36
157,2,3,1001,3,3,584.61
158,1,2,70000,4,13,1.04
159,4,9,2500,2,2,1509.24
160,1,2,140000,5,2,20
161,3,5,12500,6,2,5.74
162,4,8,5000,7,3,2806.34
163,3,7,4000,7,2,1859.44
164,3,5,60000,3,12,208.64
165,3,6,200000,7,12,120.48
166,4,9,120000,4,3,163.32
167,1,1,200000,4,13,8.39
168,3,6,1001,6,3,1616.48
169,4,9,9000,8,2,1735.25
170,2,3,6000,5,3,1636.49
171,3,7,30000,8,12,235.53
172,1,1,10001,3,4,490.89
173,3,5,60000,8,12,1595.2
174,3,7,120000,5,6,347.16
175,3,7,250000,4,2,22.3
176,2,3,8000,1,1,682.05
177,4,9,1000000,5,15,10.04
178,3,7,9000,4,4,496.13
179,1,2,1500000,6,2,2.56
180,1,1,4000,3,4,490.89
181,2,4,1500,6,4,682.05
182,3,6,3500,3,4,2124.65
183,3,5,10000,4,12,1895.05
184,3,5,22500,4,1,652.28
185,3,5,200001,6,2,22.3
186,3,5,6000,3,3,597.74
187,3,7,4000,3,1,1595.2
188,4,9,15000,3,4,1654.84
189,1,2,10000,6,3,1638.2
190,3,7,70000,6,13,408.36
191,2,3,4500,4,3,1904.68
192,1,2,15000,4,2,1468.67
193,1,2,2000,6,3,2039.07
194,4,9,700000,5,2,10.27
195,2,3,10000,6,3,1904.68
196,1,2,17500,6,3,423.05
197,3,7,70000,6,17,306.28
198,3,5,350000,5,2,20
199,1,2,5000,6,19,1468.67
200,4,9,4500,1,3,2004.53
201,4,8,3500,8,12,2316.77
202,3,7,15000,5,3,1895.05
203,1,2,9000,9,2,421.59
204,3,5,20000,6,3,597.74
205,3,6,20000,4,13,612.45
206,2,4,8000,6,2,1636.1
207,3,7,350000,7,17,22.3
208,1,2,80000,9,11,165.55
209,4,8,5000,7,2,2429.36
210,2,3,2500,3,2,1636.1
211,4,9,60000,5,12,163.32
212,2,3,45000,3,13,229.73
213,3,5,2000,5,2,1597.65
214,1,2,15000,4,17,476.91
215,3,5,5000,8,2,1836.5
216,4,9,12500,6,14,460.95
217,4,9,20000,4,15,460.95
218,3,6,6000,8,3,626.97
219,1,2,600000,3,2,10.28
220,2,3,1500,2,1,509.17
