# File: EIA_923_generator_gen_fuel_2018.csv
# Title: EIA Form 923 generation data for year 2018
# Unit: MWh
# Comments: Selected columns from original form
# Source: https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2015.zip; Schedules_2_3_4_5_M_12_2018_Final_Revision; Page 4 Generator Data from file
# Column types: cici
# ----------
State,Plant.Id,Generator.Id,Net.Generation.Year.To.Date
AL,3,1,23392
AL,3,2,23814
AL,3,4,827718
AL,3,5,2902472
AL,3,A1CT,1123175
AL,3,A1ST,1203576
AL,3,A2C1,1057679
AL,3,A2C2,1047092
AL,3,A2ST,1142123
AL,3,A1CT2,1113875
AL,7,1,156570
AL,7,2,32307
AL,8,8,443823
AL,8,9,673567
AL,8,10,4380498
AL,10,1,668528
AL,10,2,452820
AL,26,1,787306
AL,26,2,1065307
AL,26,3,704399
AL,26,5,2770435
AL,26,ST4,759631
LA,51,1,1483069
AL,56,1,13858
AL,56,2,803954
AL,56,3,438830
NE,59,1,536722
NE,60,1,319930
NE,60,2,1057496
AK,79,1,24171
AK,79,2,12392
AK,79,5,141256
NM,87,1,1289911
KS,108,1,1472215
AZ,113,1,473189
AZ,113,3,1225798
AZ,113,4,1916020
AZ,116,1,135447
AZ,116,2,111273
AZ,117,1B,275983
AZ,117,2B,244684
AZ,117,3B,212424
AZ,117,C4-1,345579
AZ,117,C4-2,0
AZ,117,C5-1,592874
AZ,117,C5-2,599136
AZ,117,C5-3,686163
AZ,120,ST1,287994
AZ,126,4,627030
AZ,126,ST1,208970
AZ,126,ST2,240698
AZ,126,ST3,318236
TX,127,1,3320056
SC,130,1,2815410
SC,130,2,107124
SC,130,3,2930138
SC,130,4,3691924
FL,136,1,3980520
FL,136,2,3727913
AZ,141,AF1,40147
AZ,141,AF2,36229
AZ,141,AF3,68036
AZ,147,KY7,550048
AZ,147,KY7A,301721
AZ,160,ST1,121636
AZ,160,ST2,899999
AZ,160,ST3,694579
OK,165,1,-20508
OK,165,2,421889
OK,165,3CT,1499223
OK,165,3ST,781699
AR,170,4,289084
AR,201,1,72482
AR,201,2,200380
AR,202,1,14199
AR,203,1,61046
FL,207,1,0
FL,207,2,0
CA,260,6,0
CA,260,7,0
CA,260,ST1,738626
CA,260,ST2,714307
CA,260,CT1A,669262
CA,260,CT1B,708334
CA,260,CT2A,715141
CA,260,CT2B,633113
TX,298,1,4762578
TX,298,2,4785785
CA,302,2,21264
CA,302,3,25612
CA,302,4,105694
CA,302,5,144148
CA,302,ST1,0
CA,315,1,31671
CA,315,2,87215
CA,315,3,286897
CA,315,4,273209
CA,315,5,126817
CA,315,6,152491
CA,331,3,0
CA,331,4,0
CA,335,1,187077
CA,335,2,132445
CA,345,1,0
CA,345,2,0
CA,350,1,94180
CA,350,2,91835
CA,356,5,28797
CA,356,6,25473
CA,356,7,97373
CA,356,8,122864
CA,358,MV3A,329345
CA,358,MV3B,239283
CA,358,MV3C,323623
CA,358,MV4A,413875
CA,358,MV4B,340496
CA,358,MV4C,445252
CA,377,1,97
CA,377,2,923
CA,377,3,0
CA,377,4,72554
CA,377,5,47035
CA,377,8A,0
CA,377,8BC,2280
IL,384,7,306605
IL,384,8,321847
CA,389,2,54338
CA,389,4,1831
CA,389,2A,122184
CA,389,30,196538
CA,389,31,216050
CA,389,32,162681
CA,399,5,8073
CA,399,10A,9934
CA,399,10B,11008
CA,400,1,40840
CA,400,2,29640
CA,400,8,1053457
CA,400,9,850768
CA,400,10,874550
CA,404,1,72866
CA,404,2,39364
CA,404,4,1068990
CA,404,5,543837
CA,408,6,416722
CA,408,7,493323
CA,408,8,579012
CA,422,GT5,30634
CA,422,ST1,6844
CO,469,4,1090864
CO,469,5,810557
CO,469,6,883984
CO,469,7,1056473
CO,470,1,2213807
CO,470,2,2215649
CO,470,3,5332191
CO,477,5,-139
CO,492,6,328141
CO,492,7,593631
CO,493,1,1569
CO,493,2,1225
CO,493,3,1190
CO,511,1,0
CO,525,1,1021080
CO,525,2,1302516
CO,527,1,6526
CO,527,2,6061
CO,527,3,5990
CO,527,ST4,42976
AL,533,1,8434
AL,533,2,18245
AL,533,3,33765
AL,533,4,243480
AL,533,VAN1,1220546
AL,533,VAN2,1157809
AL,533,VAN3,1274850
CT,546,5,23077
CT,546,6,52379
WA,550,1,336936
CT,562,2,120100
CT,562,3,222385
CT,562,4,37263
FL,564,1,2246204
FL,564,2,2364611
FL,564,B,584739
FL,564,B1,983193
CT,568,3,332754
VT,589,1,245501
DE,593,3,37298
DE,593,4,67088
DE,593,5,208513
DE,594,4,278641
DE,599,1,0
DE,599,2,0
DE,599,3,28704
MD,602,1,2177379
MD,602,2,2554792
FL,609,3A,2100667
FL,609,3B,1419181
FL,609,3C,1640003
FL,609,3ST,2254636
FL,612,2A,984741
FL,612,2B,860928
FL,612,2C,1038501
FL,612,2D,959432
FL,612,2E,908389
FL,612,2F,1090804
FL,612,ST1,386994
FL,612,ST2,2837470
FL,613,ST4,591413
FL,613,ST5,190879
FL,613,4GT1,650875
FL,613,4GT2,680312
FL,613,5GT1,418291
FL,613,5GT2,94011
FL,617,5A,1652006
FL,617,5B,1395955
FL,617,5C,1468679
FL,617,5ST,2391477
FL,619,5A,1811078
FL,619,5B,1414451
FL,619,5C,1113111
FL,619,5ST,2381959
FL,620,4,1673917
FL,620,5,1730057
FL,620,4A,752251
FL,620,4B,730499
FL,620,4C,862352
FL,620,4D,927284
FL,620,5A,786050
FL,620,5B,788558
FL,620,5C,814628
FL,620,5D,902666
FL,621,5CA,2142699
