# File: CBECS_variables.csv
# Title: Commercial Buildings Energy Consumption Survey Variables
# Units: NA
# Source: https://www.eia.gov/consumption/commercial/data/
# Column types: ccc 
# ----------
variable,fuel,service
ELHTBTU,electricity,comm heating
ELCLBTU,electricity,comm cooling
ELWTBTU,electricity,comm hot water
ELVNBTU,electricity,comm ventilation
ELCKBTU,electricity,comm cooking
ELLTBTU,electricity,comm lighting
ELRFBTU,electricity,comm refrigeration
ELOFBTU,electricity,comm office
ELPCBTU,electricity,comm office
ELMSBTU,electricity,comm others
NGHTBTU,gas,comm heating
NGCLBTU,gas,comm cooling
NGWTBTU,gas,comm hot water
NGCKBTU,gas,comm cooking
NGMSBTU,gas,comm others
FKHTBTU,refined liquids,comm heating
FKWTBTU,refined liquids,comm hot water
FKCLBTU,refined liquids,comm others
FKCKBTU,refined liquids,comm others
FKMSBTU,refined liquids,comm others
DHHTBTU,district services,comm heating
DHCLBTU,district services,comm cooling
DHWTBTU,district services,comm hot water
