# File: EIA_elec_gen_hydro.csv
# Title: U.S. EIA Historical Electricity Generation from Hydropower
# Units: MWh
# Comments: Filtered from Net Generation by State by Type of Producer by Energy Source. Filters: 'TYPE OF PRODUCER = 'Total Electric Power Industry; 'ENERGY SOURCE = 'Hydroelectric Conventional; State != 'U.S-Total'
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/state/)
# Column types: ici 
# ----------
year,state,EIA
1990,AK,974521
1990,AL,10366507
1990,AR,3654653
1990,AZ,7417576
1990,CA,23792567
1990,CO,1419870
1990,CT,570619
1990,FL,174604
1990,GA,4589117
1990,HI,79516
1990,IA,875114
1990,ID,9114990
1990,IL,143926
1990,IN,441021
1990,KS,13234
1990,KY,3160383
1990,LA,656492
1990,MA,1249242
1990,MD,2298910
1990,ME,4090536
1990,MI,1627918
1990,MN,857046
1990,MO,2192115
1990,MT,10716817
1990,NC,6819427
1990,ND,1711148
1990,NE,1140093
1990,NH,1881087
1990,NJ,31351
1990,NM,205435
1990,NV,1735081
1990,NY,28188222
1990,OH,181395
1990,OK,2730594
1990,OR,41240367
1990,PA,2869192
1990,RI,9946
1990,SC,3298066
1990,SD,3934402
1990,TN,10015363
1990,TX,1793625
1990,UT,508443
1990,VA,1309499
1990,VT,1365031
1990,WA,87466708
1990,WI,2014412
1990,WV,1295051
1990,WY,644613
1991,AK,896113
1991,AL,10757723
1991,AR,3546966
1991,AZ,6735540
1991,CA,21957064
1991,CO,1794290
1991,CT,433338
1991,FL,263066
1991,GA,4232058
1991,HI,70988
1991,IA,901111
1991,ID,8745279
1991,IL,134457
1991,IN,399051
1991,KS,10567
1991,KY,3657801
1991,LA,656492
1991,MA,1114929
1991,MD,1407287
1991,ME,3817231
1991,MI,1751668
1991,MN,1037092
1991,MO,1119389
1991,MT,11970007
1991,NC,5850120
1991,ND,1756684
1991,NE,1044671
1991,NH,1585286
1991,NJ,21598
1991,NM,237108
1991,NV,2365050
1991,NY,27172120
1991,OH,154224
1991,OK,1922137
1991,OR,41088337
1991,PA,1920358
1991,RI,9946
1991,SC,3111318
1991,SD,3828116
1991,TN,10872944
1991,TX,2224581
1991,UT,626965
1991,VA,1080055
1991,VT,1052719
1991,WA,89342397
1991,WI,2516633
1991,WV,1065385
1991,WY,735932
1992,AK,918120
1992,AL,10260023
1992,AR,3377255
1992,AZ,6620757
1992,CA,20167410
1992,CO,1499162
1992,CT,423713
1992,FL,235604
1992,GA,4915318
1992,HI,61123
1992,IA,999665
1992,ID,6653977
1992,IL,139308
1992,IN,562476
1992,KS,9768
1992,KY,3767232
1992,LA,656492
1992,MA,1010856
1992,MD,1824659
1992,ME,3512606
1992,MI,1782271
