# File: EIA_oil_first_purchase_price_states.csv
# Title: US Domestic Crude Oil First Purchase Prices by Area
# Units: Dollars per Barrel (nominal dollar)
# Source: EIA https://www.eia.gov/dnav/pet/pet_pri_dfp1_k_m.htm
# Comments: release data May 1 2023
# Column types: innnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Date,U.S. Crude Oil First Purchase Price $/bbl,East Coast (PADD 1) Crude Oil First Purchase Price $/bbl,New York Crude Oil First Purchase Price $/bbl,Pennsylvania Crude Oil First Purchase Price $/bbl,West Virginia Crude Oil First Purchase Price $/bbl,Midwest (PADD 2) Crude Oil First Purchase Price $/bbl,Illinois Crude Oil First Purchase Price $/bbl,Indiana Crude Oil First Purchase Price $/bbl,Kansas Crude Oil First Purchase Price $/bbl,Kentucky Crude Oil First Purchase Price $/bbl,Michigan Crude Oil First Purchase Price $/bbl,Nebraska Crude Oil First Purchase Price $/bbl,North Dakota Crude Oil First Purchase Price $/bbl,Ohio Crude Oil First Purchase Price $/bbl,Oklahoma Crude Oil First Purchase Price $/bbl,South Dakota Crude Oil First Purchase Price $/bbl,Gulf Coast (PADD 3) Crude Oil First Purchase Price $/bbl,Alabama Crude Oil First Purchase Price $/bbl,Arkansas Crude Oil First Purchase Price $/bbl,Louisiana Crude Oil First Purchase Price $/bbl,Mississippi Crude Oil First Purchase Price $/bbl,New Mexico Crude Oil First Purchase Price $/bbl,Texas Crude Oil First Purchase Price $/bbl,Federal Offshore U.S. Gulf Coast Crude Oil First Purchase Price $/bbl,Rocky Mountain (PADD 4) Crude Oil First Purchase Price $/bbl,Colorado Crude Oil First Purchase Price $/bbl,Montana Crude Oil First Purchase Price $/bbl,Utah Crude Oil First Purchase Price $/bbl,Wyoming Crude Oil First Purchase Price $/bbl,West Coast (PADD 5) Crude Oil First Purchase Price $/bbl,California Crude Oil First Purchase Price $/bbl,Alaska Other Crude Oil First Purchase Price $/bbl,Alaska North Slope First Purchase Price $/bbl,Federal Offshore California Crude Oil First Purchase Price $/bbl,U.S. less Alaskan North Slope Crude Oil First Purchase Price $/bbl
2022,93.97,87.82,,88.43,86.87,92.02,91.32,91.11,91.15,89.5,89.98,89.2,91.5,88.55,93.82,91.65,94.49,92.36,88.62,95.24,92.96,94.48,94.92,93.12,89.23,91.84,90.58,80.82,91.53,94.66,96.51,,93.55,,93.99
2021,65.84,59.68,,60.17,59.03,64.02,64.66,65.15,64.01,61.94,67.37,61.89,63.12,61.39,66.02,62.88,66.54,64.58,62,66.49,65.1,66.92,66.86,65.43,63.61,65.94,62.38,60.6,64.18,64.63,68.33,,62.2,,66.08
2020,36.86,30.93,,32.44,29.82,36.06,38.05,38.18,36.29,36.96,39.4,34.39,35.63,33.36,37.05,32.72,37.31,36.19,35.16,38.91,37.76,36.86,37.17,37.96,33.33,31.4,33.21,34.91,34.34,36.65,40.21,,33.98,,37.05
2019,55.59,51.49,,51.7,49.17,53.24,53.68,53.5,52.58,53.6,56.32,50.5,52.6,52.3,54.6,50.91,55.85,57.73,51.4,59.47,57.65,53.01,55.04,59.46,50.72,50.89,50.26,48.32,51.53,59.94,62.98,,57.55,,55.48
2018,61.4,59.41,,59.52,57.3,61.15,61.24,60.98,60.45,61.84,65.51,58.61,60.27,60.61,62.95,59.55,61.04,64.93,58.69,66.65,64.39,56.06,59.91,65.97,59.05,59.87,58.03,56.85,59.35,65.03,68.12,,62.21,,61.35
2017,48.05,44.96,,45.93,43.34,47.39,47.02,46.76,45.95,47.33,51.51,44.33,47.04,46.14,48.41,45.6,48.5,48.34,44.6,50.37,48.06,47.9,48.57,48.46,45.94,46.41,44.89,44.24,46.63,47.44,49.54,,45.21,,48.23
2016,38.29,34.88,,38.5,31.11,37.62,38.85,38.97,37.87,39.95,43.07,36.22,36.51,37.04,39.51,36.39,39.19,38.53,37.21,41.08,39.18,39.18,39.35,38.63,36.68,37.81,35.4,36.92,35.98,35.68,37.96,,33.13,,38.64
2015,44.39,37.65,,38.98,33.72,42.44,43.97,44.51,43.16,45.38,45.38,40.1,41.42,38.4,44.96,42.73,45.61,44.55,43.04,48.43,46.81,44.4,44.95,47.67,40.58,40.51,40.38,40.69,40.64,43.58,45.63,,41.11,37.62,44.58
2014,87.39,82.2,,80.07,82.46,85.01,87.66,87.88,86.8,86.61,89.46,82.82,82.89,83.95,89.25,82.78,88.43,89.73,85.23,94.13,90.81,83.44,87.02,93.33,80.92,82.48,80.54,79.04,80.54,89.3,92.14,,86.41,80.55,87.45
2013,95.99,92.45,,89.84,91.26,91.64,92.94,93.04,91.85,91.17,96.5,87.44,90.22,94.89,94.25,89.28,97.53,103.1,92.98,105.18,100.44,92.13,95.8,103.29,87.16,90.1,88.73,84.79,85.3,99.08,102.53,,95.79,91.4,96
