# File: reeds_CSP_curve_capacity.csv
# Title: CSP Resource Potential by ReEDS Region; CSP Class; and Bin
# Units: MW
# Comments: CSP resource potential in MW for each region-class-bin. Bins are the portions of the interconnection supply curves. Summing across bins will provide total resource in a region and class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: icnnnnn 
# ----------
Region,CSP.class,cspsc1,cspsc2,cspsc3,cspsc4,cspsc5
4,cspclass1,,,,,315.3816
5,cspclass1,,,,,18531.6822
7,cspclass1,,,,,5788.8594
8,cspclass1,,,,,27071.5932
9,cspclass1,,,,,18493.7661
14,cspclass1,,,,,1257.2577
15,cspclass1,832.1454,2008.2978,538.3584,336.7251,135029.5272
16,cspclass1,,,,,24146.5293
17,cspclass1,,,,,162662.3289
18,cspclass1,1137.9852,4048.7364,1455.1245,2698.8228,455632.2495
19,cspclass1,7.7841,,,,195964.2153
20,cspclass2,245.0736,274.4523,51.2244,14.5638,820.5948
20,cspclass1,49.9689,67.797,65.0349,47.709,83139.9633
21,cspclass2,262.9017,816.3261,466.0416,250.5978,19865.0232
21,cspclass1,564.975,1832.5278,864.2862,376.1478,282142.7397
22,cspclass1,,,,,138902.7447
23,cspclass1,,,,,101554.6329
24,cspclass2,310.8618,552.6711,47.2068,239.8005,17312.3406
24,cspclass1,1.2555,,,,27819.6201
25,cspclass1,,,,,56663.9793
26,cspclass1,,,,,283385.6847
27,cspclass2,,,,,201.1311
27,cspclass1,,,,,251305.1487
28,cspclass5,455.4954,1391.5962,321.6591,420.0903,8045.7462
28,cspclass4,420.8436,965.4795,1411.182,948.6558,26418.7332
28,cspclass3,894.6693,1804.4046,1792.3518,833.4009,32413.2435
28,cspclass2,305.5887,278.9721,222.7257,199.6245,26266.5666
28,cspclass1,,,,,133.8363
29,cspclass2,,,,,17167.2048
29,cspclass1,,,,,145220.1696
30,cspclass5,741.7494,573.7635,682.7409,749.7846,26419.4865
30,cspclass4,194.1003,86.8806,102.6999,153.6732,34605.5976
30,cspclass3,1.5066,0.5022,,,24564.3597
30,cspclass2,,,,,12441.0006
30,cspclass1,,,,,277622.1864
31,cspclass5,22.0968,727.6878,39.6738,,789.4584
31,cspclass4,3.2643,235.0296,723.6702,94.9158,9521.712
31,cspclass3,5.5242,8.0352,0.2511,,24556.5756
31,cspclass2,,,,,16979.382
31,cspclass1,,,,,8703.126
32,cspclass3,4.5198,65.0349,9.0396,,78.5943
32,cspclass2,1.7577,163.9683,50.9733,0.5022,18548.2548
32,cspclass1,,,,,3217.0932
33,cspclass5,1351.6713,4285.5237,3705.7338,663.4062,50568.5268
33,cspclass4,2769.1308,2097.1872,2043.954,1443.0717,133118.154
33,cspclass3,151.4133,16.5726,10.2951,74.5767,257023.9512
33,cspclass2,,,,,302842.1682
33,cspclass1,,,,,18574.6203
34,cspclass2,182.5497,469.0548,97.6779,94.1625,71551.1961
34,cspclass1,1939.7475,923.5458,472.8213,300.3156,77637.609
35,cspclass2,145.3869,783.9342,539.865,944.136,257725.5246
35,cspclass1,46.2024,115.7571,67.2948,141.6204,442433.9313
36,cspclass2,,,,,181130.2317
36,cspclass1,,,,,401845.1229
37,cspclass5,0.2511,0.2511,1.0044,,1.5066
37,cspclass4,134.5896,96.9246,70.8102,9.5418,11100.8799
37,cspclass3,756.5643,1060.6464,562.9662,359.3241,34987.0185
37,cspclass2,647.3358,566.2305,1945.2717,3897.072,203337.5157
37,cspclass1,,,,,29031.1776
38,cspclass5,34.1496,259.8885,112.2417,81.8586,14472.9018
38,cspclass4,74.8278,160.704,134.8407,149.1534,105898.1607
38,cspclass3,1374.0192,5795.8902,2577.7926,9824.5386,145263.861
38,cspclass2,538.3584,786.4452,2312.631,4219.7355,225459.4257
39,cspclass4,316.8882,683.7453,789.7095,194.8536,14625.3195
39,cspclass3,95.6691,519.0237,270.6858,215.946,79545.4668
39,cspclass2,194.1003,99.1845,97.1757,160.9551,89481.7449
40,cspclass4,97.6779,834.1542,201.6333,10.5462,6290.8083
40,cspclass3,138.3561,,,,33532.3962
40,cspclass2,,,,,39107.0673
42,cspclass1,,,,,42174.2538
43,cspclass1,15.066,23.3523,59.5107,23.6034,111183.8157
44,cspclass1,216.9504,299.3112,347.7735,1261.2753,327705.588
45,cspclass1,9.7929,47.4579,129.0654,84.8718,231171.4485
46,cspclass1,5.7753,,,,212174.478
47,cspclass1,,,,,316514.061
48,cspclass3,39.4227,,,,139.6116
48,cspclass2,18.8325,13.0572,6.7797,24.6078,515170.5705
48,cspclass1,12.555,11.5506,8.7885,,548813.4507
49,cspclass1,,,,,55699.2531
50,cspclass2,21.5946,,,,1308.231
50,cspclass1,1.0044,2.0088,13.8105,1.5066,111803.0283
51,cspclass2,110.484,186.3162,144.8847,164.2194,122925.5028
51,cspclass1,,,,,54659.9502
52,cspclass2,20.5902,38.9205,57.2508,63.5283,124828.8408
52,cspclass1,,,,,11030.5719
53,cspclass4,97.929,,,,16148.4921
53,cspclass3,24.3567,102.951,55.7442,80.1009,103273.1613
53,cspclass2,,,,,97759.2564
54,cspclass3,444.447,355.8087,253.611,20.088,103002.4755
54,cspclass2,166.9815,462.5262,141.3693,63.5283,819687.5757
55,cspclass2,194.3514,232.2675,130.0698,46.7046,360274.0113
56,cspclass4,49.2156,341.7471,199.6245,,55002.7017
56,cspclass3,412.0551,167.7348,36.6606,,327107.97
56,cspclass2,7.533,2.511,,,177402.9033
57,cspclass4,869.3082,1286.3853,512.7462,,32786.127
57,cspclass3,71.0613,2259.1467,784.6875,,281958.6834
57,cspclass2,28.8765,912.2463,1.2555,,314760.6297
58,cspclass3,404.0199,1850.3559,,,205926.1056
58,cspclass2,358.8219,11.2995,,,150486.741
59,cspclass3,32.643,656.8776,375.1434,72.5679,97646.2614
59,cspclass2,55.7442,74.8278,,,273230.9496
62,cspclass1,,,,,122.7879
63,cspclass1,,,,,39294.3879
64,cspclass1,,,,,9271.3653
66,cspclass1,,,,,96636.8394
67,cspclass1,,,,,65527.3071
68,cspclass1,,,,,31372.9362
69,cspclass1,,,,,125332.7985
70,cspclass2,18.3303,17.577,,,35.9073
70,cspclass1,664.9128,636.5385,710.3619,226.4922,296492.8536
71,cspclass1,481.3587,73.8234,53.9865,79.5987,580210.9947
72,cspclass1,,,,,37586.1546
73,cspclass1,,,,,186863.8491
74,cspclass1,1211.8086,657.1287,927.3123,1175.148,816081.2775
75,cspclass2,4.2687,0.7533,,,72.819
75,cspclass1,101.9466,131.0742,37.4139,,38723.1354
76,cspclass2,,,,,100.6911
76,cspclass1,4.2687,,,,30245.7483
77,cspclass2,0.5022,5.7753,,,59049.9315
77,cspclass1,,,,,29511.2808
78,cspclass3,1444.0761,1223.8614,1242.6939,1070.6904,7684.9155
78,cspclass2,1291.1562,2708.6157,1120.1571,609.6708,199450.7388
78,cspclass1,,,,,4106.7405
79,cspclass1,,,,,24252.2424
80,cspclass1,,,,,39994.9569
81,cspclass2,370.1214,338.4828,204.6465,167.4837,20526.6717
81,cspclass1,,,,,4811.076
82,cspclass1,,,,,108979.6599
83,cspclass2,8.5374,13.5594,,,44654.8707
83,cspclass1,,,,,43533.9603
84,cspclass2,88.6383,187.8228,126.3033,37.4139,121938.4287
84,cspclass1,,,,,3908.1204
85,cspclass1,,,,,892178.8902
86,cspclass2,16.5726,49.2156,21.5946,63.0261,68535.7362
86,cspclass1,54.9909,46.9557,53.4843,17.0748,671450.1885
87,cspclass2,110.9862,119.7747,70.308,128.061,345554.2782
87,cspclass1,49.9689,,,,328264.2855
88,cspclass2,318.6459,934.8453,164.9727,77.3388,517102.2828
89,cspclass2,1044.0738,261.3951,22.3479,,90482.6295
90,cspclass3,52.2288,538.6095,62.775,71.0613,239893.6581
90,cspclass2,296.0469,668.9304,786.4452,29.3787,815316.678
90,cspclass1,,,,,1197.9981
91,cspclass2,35.9073,205.3998,105.9642,24.6078,137729.6055
92,cspclass2,66.7926,96.4224,7.533,52.2288,538429.9635
92,cspclass1,,,,,6117.5493
93,cspclass2,1892.7918,1661.2776,4153.194,5409.4473,900418.4856
94,cspclass2,163.7172,,,,48942.9054
95,cspclass1,309.8574,61.0173,51.2244,84.3696,217055.6109
96,cspclass1,,,,,184897.7361
98,cspclass1,,,,,12254.9355
104,cspclass1,,,,,91268.5725
105,cspclass1,,,,,97696.4814
106,cspclass1,,,,,3146.7852
107,cspclass1,,,,,115596.8982
108,cspclass1,22.0968,,,,54137.4111
114,cspclass1,123.2901,66.2904,117.7659,40.4271,470408.4801
115,cspclass1,1099.818,1538.4897,1095.2982,1542.7584,420065.19
116,cspclass1,101.4444,170.748,694.7937,955.4355,429544.215
117,cspclass1,14.0616,10.7973,403.2666,,411218.937
135,cspclass1,2368.8774,2995.3719,4356.8361,778.41,1304315.096
136,cspclass1,945.3915,1795.365,1517.3973,859.7664,962713.8846
137,cspclass1,23.1012,1979.6724,6714.1629,3704.4783,262101.9465
138,cspclass1,204.1443,1642.6962,3751.1829,2976.0372,186801.3252
139,cspclass1,42.4359,261.8973,2009.8044,886.6341,119645.8857
148,cspclass2,2203.9047,1965.8619,945.3915,461.5218,1388273.896
148,cspclass1,,,,,1906.6023
149,cspclass2,106.2153,270.4347,157.1886,28.8765,290878.2576
149,cspclass1,106.2153,19.0836,139.3605,39.9249,640013.4729
150,cspclass2,7.7841,107.2197,56.4975,62.0217,308865.0528
150,cspclass1,1246.2093,1876.9725,907.7265,2021.8572,1000310.585
152,cspclass2,98.4312,62.2728,72.819,154.6776,79002.0864
152,cspclass1,7.7841,38.1672,105.7131,52.2288,299765.9421
153,cspclass1,843.4449,1307.9799,3022.7418,4429.6551,530340.777
154,cspclass1,1106.3466,636.5385,3278.3616,2591.352,601833.4668
155,cspclass1,1321.7904,1738.1142,377.6544,2787.7122,101770.0767
156,cspclass1,205.902,1049.8491,674.4546,929.3211,162732.888
163,cspclass2,7139.7774,6296.5836,11582.2386,2857.2669,1066585.919
163,cspclass1,34.1496,73.3212,51.7266,20.5902,154738.3662
164,cspclass2,715.635,202.3866,47.2068,56.2464,247432.9356
164,cspclass1,176.0211,151.4133,89.3916,266.4171,562458.978
165,cspclass1,158.4441,225.7389,23.8545,195.858,1254650.529
166,cspclass1,3918.1644,4407.3072,2145.9006,1527.1902,825971.3532
167,cspclass1,7531.7445,5879.2554,5232.4218,6979.5756,667579.482
168,cspclass1,553.9266,322.6635,995.8626,1280.1078,20038.5333
169,cspclass1,1024.2369,5673.1023,3456.3915,1626.6258,147613.6548
171,cspclass1,339.2361,237.2895,471.5658,200.3778,163052.7894
172,cspclass1,158.9463,215.4438,174.0123,50.22,65970.2475
312,cspclass1,526.8078,1003.8978,266.4171,,1797.1227
