# File: AEO_2016_pop_regional.csv
# Title: AEO 2016 Regional Population Assumptions
# Units: million persons
# Comments: Population assumptions by US Census Division from 1990-2040
# region names modified from original dataset to match subregion9 names in states_subregions.csv
# Source: U.S. Energy Information Administration.  Provided by Elizabeth Sendich via email on 12/4/16.  Assumptions correspond to Annual Energy Outlook 2016.
# Column types: iinnnnnnnnn 
# ----------
Year,Quarter,New England,Atlantic-N,Central-NE,Central-NW,Atlantic-S,Central-SE,Central-SW,Mountain,Pacific
1990,1,13.24,37.72,42.1,17.7,43.66,15.22,26.77,13.69,39.2
1990,2,13.26,37.76,42.18,17.73,43.88,15.25,26.84,13.76,39.47
1990,3,13.27,37.84,42.29,17.78,44.11,15.3,26.95,13.86,39.67
1990,4,13.27,37.89,42.39,17.81,44.31,15.34,27.06,13.96,39.85
1991,1,13.27,37.94,42.48,17.84,44.51,15.38,27.16,14.05,40.03
1991,2,13.27,38,42.58,17.88,44.72,15.42,27.26,14.15,40.21
1991,3,13.28,38.07,42.69,17.93,44.93,15.47,27.39,14.26,40.41
1991,4,13.28,38.12,42.78,17.97,45.11,15.52,27.5,14.36,40.58
1992,1,13.28,38.17,42.86,18.01,45.29,15.56,27.61,14.47,40.75
1992,2,13.29,38.23,42.97,18.05,45.49,15.62,27.73,14.58,40.94
1992,3,13.31,38.32,43.08,18.11,45.71,15.68,27.87,14.71,41.08
1992,4,13.33,38.38,43.17,18.15,45.9,15.73,27.99,14.83,41.2
1993,1,13.34,38.43,43.24,18.19,46.08,15.78,28.1,14.95,41.31
1993,2,13.35,38.49,43.33,18.23,46.27,15.84,28.22,15.07,41.44
1993,3,13.37,38.56,43.43,18.28,46.5,15.9,28.36,15.21,41.55
1993,4,13.39,38.6,43.5,18.32,46.69,15.95,28.48,15.35,41.64
1994,1,13.4,38.64,43.56,18.36,46.88,16,28.59,15.48,41.72
1994,2,13.41,38.69,43.64,18.4,47.09,16.05,28.72,15.62,41.82
1994,3,13.44,38.74,43.74,18.45,47.3,16.1,28.85,15.75,41.93
1994,4,13.45,38.77,43.81,18.49,47.49,16.15,28.97,15.87,42.02
1995,1,13.47,38.8,43.88,18.53,47.68,16.2,29.09,16,42.11
1995,2,13.49,38.85,43.97,18.57,47.88,16.25,29.21,16.13,42.21
1995,3,13.51,38.9,44.07,18.62,48.11,16.3,29.34,16.25,42.35
1995,4,13.53,38.93,44.13,18.65,48.3,16.34,29.45,16.36,42.46
1996,1,13.55,38.96,44.2,18.68,48.49,16.38,29.56,16.47,42.56
1996,2,13.57,39,44.28,18.72,48.7,16.43,29.68,16.59,42.69
1996,3,13.6,39.05,44.37,18.77,48.93,16.48,29.81,16.71,42.87
1996,4,13.62,39.08,44.42,18.8,49.14,16.53,29.93,16.82,43.02
1997,1,13.63,39.1,44.47,18.83,49.34,16.57,30.04,16.92,43.17
1997,2,13.66,39.14,44.54,18.87,49.56,16.61,30.16,17.04,43.33
1997,3,13.69,39.21,44.62,18.91,49.79,16.66,30.3,17.15,43.52
1997,4,13.71,39.25,44.67,18.95,49.99,16.7,30.42,17.26,43.68
1998,1,13.72,39.28,44.71,18.97,50.17,16.74,30.53,17.36,43.82
1998,2,13.75,39.33,44.77,19.01,50.38,16.78,30.66,17.46,43.99
1998,3,13.78,39.39,44.85,19.05,50.6,16.82,30.79,17.57,44.16
1998,4,13.8,39.45,44.9,19.08,50.8,16.86,30.91,17.68,44.31
1999,1,13.82,39.48,44.94,19.11,50.98,16.89,31.01,17.77,44.45
1999,2,13.85,39.54,45.01,19.15,51.19,16.93,31.14,17.88,44.61
1999,3,13.88,39.61,45.09,19.19,51.42,16.97,31.26,17.99,44.78
1999,4,13.91,39.67,45.15,19.23,51.62,17.01,31.37,18.09,44.93
2000,1,13.93,39.7,45.19,19.26,51.81,17.04,31.47,18.19,45.06
2000,2,13.96,39.74,45.26,19.29,52,17.07,31.57,18.29,45.21
2000,3,13.99,39.8,45.33,19.32,52.22,17.09,31.68,18.39,45.38
2000,4,14.02,39.84,45.38,19.34,52.42,17.12,31.78,18.49,45.53
2001,1,14.04,39.87,45.43,19.36,52.61,17.13,31.87,18.59,45.68
2001,2,14.06,39.91,45.48,19.39,52.82,17.16,31.97,18.69,45.83
2001,3,14.09,39.96,45.54,19.42,53.04,17.18,32.09,18.79,45.98
2001,4,14.11,40,45.58,19.44,53.24,17.2,32.19,18.88,46.11
2002,1,14.13,40.03,45.61,19.46,53.43,17.22,32.29,18.98,46.23
2002,2,14.15,40.07,45.66,19.48,53.64,17.24,32.4,19.07,46.36
2002,3,14.17,40.12,45.72,19.51,53.85,17.28,32.51,19.17,46.51
2002,4,14.18,40.16,45.76,19.53,54.04,17.3,32.61,19.26,46.63
2003,1,14.2,40.19,45.79,19.55,54.23,17.33,32.7,19.34,46.74
2003,2,14.21,40.23,45.84,19.58,54.43,17.36,32.8,19.44,46.87
2003,3,14.22,40.27,45.89,19.61,54.66,17.4,32.91,19.55,46.99
2003,4,14.23,40.3,45.92,19.64,54.87,17.42,33.01,19.65,47.09
2004,1,14.23,40.31,45.94,19.66,55.08,17.45,33.1,19.75,47.18
2004,2,14.23,40.34,45.98,19.69,55.31,17.48,33.21,19.86,47.28
2004,3,14.24,40.37,46.02,19.72,55.55,17.53,33.33,19.99,47.39
2004,4,14.24,40.39,46.05,19.75,55.79,17.57,33.44,20.11,47.49
2005,1,14.24,40.4,46.06,19.77,56,17.6,33.53,20.23,47.57
2005,2,14.24,40.41,46.08,19.79,56.24,17.64,33.65,20.35,47.66
2005,3,14.25,40.45,46.13,19.83,56.49,17.69,33.75,20.49,47.77
2005,4,14.26,40.46,46.16,19.87,56.74,17.73,33.82,20.63,47.85
2006,1,14.26,40.47,46.18,19.9,56.96,17.77,33.91,20.77,47.93
2006,2,14.27,40.49,46.21,19.93,57.18,17.82,34.03,20.91,48.02
2006,3,14.29,40.53,46.25,19.98,57.39,17.87,34.21,21.04,48.14
2006,4,14.29,40.56,46.29,20.01,57.59,17.92,34.37,21.16,48.24
2007,1,14.3,40.59,46.31,20.04,57.77,17.96,34.53,21.28,48.33
2007,2,14.31,40.62,46.34,20.08,57.97,18,34.7,21.4,48.43
2007,3,14.33,40.66,46.38,20.12,58.16,18.05,34.86,21.51,48.57
2007,4,14.35,40.69,46.4,20.16,58.33,18.09,35.01,21.61,48.7
2008,1,14.36,40.7,46.41,20.19,58.48,18.12,35.15,21.71,48.82
2008,2,14.37,40.73,46.43,20.22,58.65,18.16,35.29,21.81,48.94
2008,3,14.39,40.77,46.46,20.26,58.8,18.19,35.44,21.89,49.08
2008,4,14.41,40.81,46.49,20.29,58.95,18.22,35.59,21.98,49.22
2009,1,14.43,40.85,46.51,20.32,59.1,18.26,35.74,22.06,49.35
2009,2,14.44,40.89,46.54,20.35,59.24,18.29,35.88,22.14,49.49
2009,3,14.46,40.92,46.56,20.38,59.39,18.32,36.02,22.22,49.62
2009,4,14.47,40.96,46.59,20.42,59.54,18.35,36.17,22.31,49.75
2010,1,14.49,40.99,46.61,20.45,59.68,18.38,36.31,22.39,49.88
2010,2,14.5,41.02,46.63,20.47,59.82,18.41,36.44,22.47,50.01
2010,3,14.51,41.06,46.66,20.51,59.98,18.44,36.58,22.56,50.15
2010,4,14.53,41.09,46.68,20.53,60.12,18.47,36.71,22.65,50.27
2011,1,14.53,41.1,46.68,20.55,60.25,18.49,36.83,22.72,50.38
2011,2,14.54,41.13,46.7,20.58,60.39,18.52,36.96,22.81,50.51
2011,3,14.56,41.16,46.73,20.61,60.55,18.55,37.1,22.9,50.65
2011,4,14.56,41.18,46.74,20.64,60.7,18.58,37.22,22.99,50.77
2012,1,14.57,41.19,46.74,20.66,60.83,18.61,37.33,23.07,50.88
2012,2,14.58,41.21,46.76,20.68,60.98,18.63,37.45,23.16,51
2012,3,14.59,41.24,46.79,20.71,61.15,18.67,37.59,23.25,51.14
2012,4,14.6,41.26,46.8,20.74,61.31,18.7,37.7,23.34,51.26
2013,1,14.6,41.27,46.81,20.76,61.46,18.72,37.81,23.43,51.37
2013,2,14.61,41.28,46.82,20.78,61.62,18.75,37.93,23.52,51.49
2013,3,14.62,41.31,46.85,20.81,61.81,18.78,38.05,23.62,51.62
2013,4,14.63,41.32,46.86,20.83,61.98,18.81,38.16,23.71,51.74
2014,1,14.63,41.32,46.86,20.85,62.14,18.84,38.26,23.8,51.85
2014,2,14.64,41.34,46.87,20.87,62.31,18.87,38.37,23.89,51.96
2014,3,14.65,41.36,46.9,20.9,62.51,18.9,38.5,23.99,52.1
2014,4,14.65,41.37,46.91,20.92,62.69,18.93,38.6,24.09,52.21
2015,1,14.66,41.38,46.91,20.94,62.86,18.95,38.71,24.18,52.31
2015,2,14.67,41.4,46.94,20.96,63.06,18.98,38.83,24.28,52.43
2015,3,14.68,41.42,46.96,20.99,63.26,19.01,38.95,24.38,52.55
2015,4,14.69,41.44,46.98,21.01,63.46,19.05,39.06,24.48,52.67
2016,1,14.69,41.46,47.01,21.04,63.66,19.08,39.18,24.59,52.8
2016,2,14.7,41.49,47.03,21.07,63.87,19.11,39.3,24.69,52.92
2016,3,14.71,41.51,47.05,21.09,64.07,19.14,39.42,24.79,53.04
2016,4,14.72,41.53,47.08,21.12,64.28,19.17,39.54,24.9,53.16
2017,1,14.73,41.55,47.1,21.14,64.48,19.2,39.66,25,53.28
2017,2,14.74,41.57,47.12,21.16,64.69,19.24,39.77,25.1,53.4
2017,3,14.75,41.59,47.14,21.19,64.89,19.27,39.89,25.21,53.52
2017,4,14.75,41.61,47.17,21.21,65.1,19.3,40.01,25.31,53.65
2018,1,14.76,41.63,47.19,21.24,65.31,19.33,40.13,25.42,53.77
2018,2,14.77,41.65,47.21,21.26,65.51,19.36,40.24,25.52,53.89
2018,3,14.78,41.67,47.23,21.28,65.72,19.4,40.36,25.63,54.01
2018,4,14.79,41.7,47.26,21.31,65.92,19.43,40.48,25.74,54.13
2019,1,14.79,41.72,47.28,21.33,66.13,19.46,40.6,25.84,54.25
2019,2,14.8,41.74,47.3,21.36,66.33,19.49,40.71,25.95,54.38
2019,3,14.81,41.76,47.32,21.38,66.54,19.52,40.83,26.06,54.5
2019,4,14.82,41.78,47.35,21.4,66.74,19.55,40.95,26.16,54.62
2020,1,14.82,41.79,47.37,21.43,66.95,19.58,41.07,26.27,54.74
