# File: reeds_PV_curve_grid_cost.csv
# Title: Solar PV Grid Interconnection Costs by ReEDS Region; PV Class; and Bin
# Units: 2005$/MW
# Comments: These costs are the additional cost in $/MW (2005 USD) for interconnecting to the grid on top of the capital and OM costs. Note that we need to apply an FCR to these interconnection costs.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: ccnnnnn 
# ----------
BA,PV.class,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p1,class1,37456.78997,41621.54069,48543.01123,0,0
p1,class2,32652.34938,59765.9759,104399.1106,156791.876,228726.68
p1,class3,36093.28758,123259.6681,159366.3527,211654.8639,244386.5313
p1,class4,50470.41053,113032.7207,172579.3757,191433.7165,223030.6188
p1,class5,41634.50749,75920.18671,150221.4141,165288.0455,180297.6946
p2,class2,35702.0755,91082.55094,148289.7202,197105.8595,341425.1165
p2,class3,46966.32304,80782.92696,106187.3056,133832.8039,187470.8485
p2,class4,72966.68472,127197.0593,173973.3447,304674.5803,366957.6273
p2,class5,56695.34232,180381.1335,228428.5357,282351.6349,329366.7186
p3,class2,192513.5008,289632.0538,312465.8804,333643.0525,373648.7622
p3,class3,76920.54936,241775.7668,281444.7847,315647.096,365373.5936
p3,class4,66255.73419,105718.1208,145620.2399,191422.1134,278802.4967
p3,class5,56134.5506,152207.321,178896.6164,210040.3674,253905.5996
p4,class4,69916.60033,114885.0784,145848.5889,175605.9916,215547.9507
p4,class5,54174.71474,79513.06875,102987.7537,126054.0824,158230.1773
p5,class2,39033.63268,83637.94967,131750.5077,212788.0281,331908.6378
p5,class3,68114.22022,117340.1295,166685.7845,231859.7203,300775.1153
p5,class4,82567.53046,187635.9811,279549.4796,376907.4799,437369.1807
p5,class5,83563.49168,243131.7758,320103.8296,371488.6709,420760.8161
p5,class6,255932.7282,0,0,0,0
p6,class3,60568.07284,226321.3882,264106.0383,284730.004,345556.4203
p6,class4,38378.75307,89465.64361,116564.7289,182157.3634,259953.2222
p6,class5,95008.83636,158300.6553,230831.0992,297517.4174,350906.1025
p6,class6,70777.14035,243754.9074,275197.3038,301881.2481,344805.3245
p7,class4,166633.2398,217767.416,261963.7035,290136.3865,365567.3634
p7,class5,134685.4051,208295.1189,278085.5564,353152.0629,426583.176
p7,class6,148045.5238,310806.5908,383806.2408,426396.6349,463855.4169
p8,class4,157371.2706,163081.7216,166080.1395,168888.0737,171741.3209
p8,class5,164458.2667,210004.8535,243527.3034,275394.5302,286961.8457
p8,class6,104994.0399,160069.7664,206347.6024,240678.512,286798.727
p8,class7,166961.5148,221697.0967,262420.4231,281905.9983,296537.0198
p9,class3,126552.5546,717442.1353,841439.3823,978940.8457,998199.5337
p9,class4,155109.9305,594972.5523,965781.7362,1048562.989,1194969.867
p9,class5,139839.7923,303082.9994,494689.676,602146.3573,1120368.476
p9,class6,194904.4954,401739.5123,592987.1321,775928.2507,1017825.145
p9,class7,105236.3667,454092.0689,799963.849,1019704.855,1198771.524
p10,class5,491999.3674,610995.6406,705058.04,796240.8857,805182.4295
p10,class6,173272.7911,556565.9786,836736.8087,1101320.124,1215768.864
p10,class7,119133.0803,429398.0731,713948.0197,934447.1361,1115919.383
p10,class8,322980.9824,495626.4407,642477.6961,789268.2884,983877.0469
p10,class9,175409.624,630826.6312,686714.7918,762595.3523,819418.4994
p11,class6,43587.57874,60305.95932,216561.7502,369623.1325,0
p11,class7,63370.6049,151923.6946,211111.217,273247.5124,310778.7221
p11,class8,152023.4002,318349.7365,387035.9839,424287.6732,464815.1896
p12,class4,479086.7563,485268.0587,504588.9033,548131.9277,565593.5185
p12,class5,341089.4896,454553.6412,503053.3867,559318.5495,605022.3814
p12,class6,328812.5566,443704.5553,507584.1983,552674.7201,609098.8279
p12,class7,131120.5297,246593.3999,364142.0487,506976.819,606285.8513
p12,class8,248288.1178,339625.3987,411553.6552,466661.94,527600.8758
p13,class7,78143.44988,113724.1273,128574.3212,155981.8963,267084.1269
p13,class8,72404.4993,106410.5139,139496.9303,170083.7169,214467.8151
p14,class2,393356.4846,393732.5189,394566.4207,0,0
p14,class3,96050.49832,214034.1663,256480.4625,313338.9813,372847.2941
p14,class4,64271.23463,116151.7652,176835.1892,246416.1898,338455.6611
p15,class3,123931.9246,132950.8195,180084.7565,184344.7653,189239.2553
p15,class4,53294.38851,271874.4739,339779.4762,404279.7168,478376.4016
p15,class5,130331.5055,184403.3663,243380.1674,333331.5333,419696.056
p15,class6,120828.1549,212633.162,274815.5215,318322.6891,377764.539
p16,class3,359012.2271,371332.5752,381376.3519,393067.2853,442204.3593
p16,class4,162299.5291,214957.8026,285674.3329,332994.7005,396269.1039
p16,class5,87745.48944,156851.1081,231154.1387,296045.5562,398995.3119
p16,class6,46330.65551,317653.5056,347262.3705,372766.2052,390121.2266
p17,class3,122210.683,201578.0101,309132.3905,366665.3482,467096.9262
p17,class4,116636.9216,188231.3687,278518.5338,387234.4063,467254.1943
p17,class5,59744.47596,313905.9836,400003.3342,447495.4616,491614.4722
p18,class3,110259.6057,220724.2587,294981.8152,344710.6006,445545.0439
p18,class4,167222.0775,250205.6114,321288.4485,404109.5121,500080.5974
p18,class5,68340.40291,131718.6395,165145.355,215291.7713,254102.3618
p19,class3,151407.6005,183969.851,207168.5649,225178.0191,244289.1625
p19,class4,85989.79167,133636.6587,185968.2618,237753.9458,297395.1996
p20,class4,139821.0964,211401.9185,256076.9523,306366.2458,352324.9833
p20,class5,73746.36841,134271.0275,193434.2914,254183.3961,316771.4686
p21,class3,321345.8291,328424.8248,335356.0355,346541.3998,380846.2349
p21,class4,96787.65423,158634.7971,185424.0215,282834.2418,343137.4909
p21,class5,156536.7637,233995.4855,283261.1939,332077.9336,403604.8199
p21,class6,161378.6575,218940.0583,269974.7457,307468.5316,379790.9969
p22,class3,89588.2536,92921.6984,95198.92075,98236.61946,174860.9719
p22,class4,56033.09391,82470.42269,104754.6163,127423.8711,184683.3036
p22,class5,54526.77276,140909.8856,181752.7031,227447.4827,278290.1418
p23,class4,152818.0428,166905.7763,177986.1726,201055.585,212539.6858
p23,class5,85296.84154,129944.2797,162590.7184,188807.5286,223650.5573
p23,class6,186709.0864,191054.6816,195565.2386,195853.5021,200236.3368
p24,class4,106870.9653,202032.0331,249803.7416,316879.3639,351430.2311
p24,class5,125924.5721,203108.6266,253306.0635,302736.1493,369353.0555
p24,class6,60041.77713,242766.5952,261163.9933,279223.2881,303789.3853
p25,class4,237875.9626,277317.4464,331465.6682,344731.0164,371894.0032
p25,class5,105168.2919,212916.0522,326467.8476,371684.7168,577641.4262
p25,class6,172731.6982,265688.751,325712.7112,385624.8034,540931.0474
p25,class7,296937.28,416681.9498,492164.0235,545630.2667,605843.8218
p25,class8,45516.6787,244105.8897,404232.4605,463406.6992,580738.9421
p26,class4,110103.4222,148137.6196,199235.5787,219707.4644,283400.1182
p26,class5,100009.4723,134463.1016,216367.1933,278237.8796,335724.2051
p26,class6,138461.1638,190510.6016,241779.6859,291341.5157,338475.8531
p26,class7,102375.789,120965.1614,152259.6545,230659.5506,306466.764
p27,class7,124843.4856,199965.7934,366878.5731,425709.2027,475652.2843
p27,class8,83773.18607,138468.212,179048.3911,221785.6274,364755.4289
p28,class7,235494.4652,337508.0097,375819.9904,421612.6371,506942.7301
p28,class8,152387.7691,229158.2891,286181.6831,335206.0227,433854.2989
p29,class6,392256.5603,407159.517,414894.3883,423620.6741,431685.5106
p29,class7,83696.9818,148827.5549,225442.8822,314589.0986,397454.8012
p29,class8,112082.46,176593.5541,236977.9597,286371.931,349819.9405
p30,class7,82317.482,103825.6005,125136.5761,129267.7618,132965.8619
p30,class8,88510.1466,141260.1642,200013.5825,254785.3206,325853.9999
p31,class5,415708.7359,416400.9622,422417.0878,423099.2289,0
p31,class6,208655.0446,335228.3089,439694.024,463298.8294,502222.9336
p31,class7,200045.6319,279973.224,337427.6846,406038.0744,494153.782
