# File: A44.hab_land_flsp_usa.csv
# Title: Habitable land per state
# Units: pop/km2
# Source: USDA
# Comments: Miscellaneous areas such as marshes, open swamps, bare rock areas, deserts, rural residential areas, and other uses not inventoried.
# Column types: cncnnn
# ----------
state,area_gcam,unit,area_usda,misc_land_usda,habit_area
Alabama,131171,km2,131170,3947,127223
Alaska,1477953,km2,1477955,510907,967047
Arizona,294207,km2,294207,6482,287725
Arkansas,134771,km2,134770,634,134136
California,403466,km2,403466,65838,337628
Colorado,268431,km2,268432,1307,267124
Connecticut,12542,km2,12541,365,12176
Delaware,5047,km2,5048,177,4871
District of Columbia,158,km2,158,0,158
Florida,138887,km2,138888,2104,136784
Georgia,148959,km2,148958,5009,143949
Hawaii,16635,km2,16636,1713,14922
Idaho,214045,km2,214045,20461,193584
Illinois,143793,km2,143794,1037,142757
Indiana,92789,km2,92789,3793,88996
Iowa,144669,km2,144669,2454,142215
Kansas,211754,km2,211755,3606,208149
Kentucky,102269,km2,102268,439,101829
Louisiana,111898,km2,111898,11432,100466
Maine,79883,km2,79883,4690,75193
Maryland,25142,km2,25141,740,24401
Massachusetts,20202,km2,20202,66,20136
Michigan,146435,km2,146435,8548,137888
Minnesota,206232,km2,206233,11958,194275
Mississippi,121531,km2,121530,3576,117954
Missouri,178040,km2,178041,329,177712
Montana,376962,km2,376963,13076,363887
Nebraska,198974,km2,198973,1042,197931
Nevada,284332,km2,284332,572,283760
New Hampshire,23187,km2,23188,610,22578
New Jersey,19047,km2,19047,345,18702
New Mexico,314161,km2,314161,2998,311163
New York,122057,km2,122056,3569,118487
North Carolina,125920,km2,125920,4617,121303
North Dakota,178711,km2,178712,5537,173174
Ohio,105829,km2,105830,4646,101184
Oklahoma,177660,km2,177660,10495,167166
Oregon,248608,km2,248608,15861,232747
Pennsylvania,115883,km2,115884,3116,112768
Rhode Island,2678,km2,2678,1,2677
South Carolina,77857,km2,77858,3014,74844
South Dakota,196350,km2,196350,1353,194997
Tennessee,106798,km2,106798,1081,105717
Texas,676587,km2,676588,27476,649112
Utah,212818,km2,212820,7568,205252
Vermont,23871,km2,23872,430,23442
Virginia,102279,km2,102279,2302,99976
Washington,172119,km2,172120,1799,170322
West Virginia,62259,km2,62258,39,62219
Wisconsin,140268,km2,140269,5755,134514
Wyoming,251470,km2,251470,2415,249055
Puerto Rico,8868,km2,0,0,8868
Island Areas:5,1562,km2,0,0,1562
American Samoa,198,km2,0,0,198
Guam,543,km2,0,0,543
Northern Mariana Islands,472,km2,0,0,472
U.S. Virgin Islands,348,km2,0,0,348
