# File: RECS_1984.csv
# Title: Residential Energy Consumption Survey 1984
# Source: https://www.eia.gov/consumption/residential/data/previous
# Units: See source
# Column types: inii 
# ----------
DIVISION,HOUSEHOLDS,UNHEATED,HEATED
1,4.3,2108,1666
2,14,1854,1581
3,15.2,1783,1540
4,6.4,1876,1610
5,14.8,1579,1381
6,5.8,1560,1367
7,8.8,1389,1244
8,4.5,1548,1356
9,12.6,1486,1265
