# File: A23.elecS_tech_mapping_new.csv
# Title: Multiple Load Segments to Single Electricity Sector Mapping
# Units: NA
# Comments: Mapping file between single electricity sector and multiple load segments electricity sector technologies
# Column types: cccccc
# ----------
Electric.sector,subsector,Electric.sector.technology,supplysector,subsector_1,technology
base load generation,coal,coal_base_conv pul_slow_retire,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_fast_retire,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1951-1955,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1956-1960,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1961-1965,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1966-1970,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1971-1975,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1976-1980,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1981-1985,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1986-1990,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1991-1995,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 1996-2000,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 2001-2005,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 2006-2010,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_slow_retire 2011-2015,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_fast_retire,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1951-1955,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1956-1960,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1961-1965,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1966-1970,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1971-1975,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1976-1980,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1981-1985,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1986-1990,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1991-1995,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 1996-2000,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 2001-2005,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 2006-2010,electricity,coal,coal (conv pul)
intermediate generation,coal,coal_int_conv pul_slow_retire 2011-2015,electricity,coal,coal (conv pul)
peak generation,coal,coal_peak_conv pul_slow_retire,electricity,coal,coal (conv pul)
peak generation,coal,coal_peak_conv pul_fast_retire,electricity,coal,coal (conv pul)
subpeak generation,coal,coal_subpeak_conv pul_slow_retire,electricity,coal,coal (conv pul)
subpeak generation,coal,coal_subpeak_conv pul_fast_retire,electricity,coal,coal (conv pul)
base load generation,coal,coal_base_conv pul_CCS,electricity,coal,coal (conv pul CCS)
intermediate generation,coal,coal_int_conv pul_CCS,electricity,coal,coal (conv pul CCS)
subpeak generation,coal,coal_subpeak_conv pul_CCS,electricity,coal,coal (conv pul CCS)
peak generation,coal,coal_peak_conv pul_CCS,electricity,coal,coal (conv pul CCS)
base load generation,coal,coal_base_IGCC,electricity,coal,coal (IGCC)
intermediate generation,coal,coal_int_IGCC,electricity,coal,coal (IGCC)
