# File: AEO_2019_regional_pcGDP_ratio.csv
# Title: AEO 2019 Gross Regional Product Assumptions
# Units: unitless ratio (GDP/capita in curerent period : GDP/capita in previous period)
# Comments: Per-capita GDP growth assumptions by US Census Division in 5 year time-steps from 2015-2050.
# Region names modified to match subregion9 names in states_subregions.csv.
# Source: U.S. Energy Information Administration.  Assumptions correspond to regional economic assumptions employed in Annual Energy Outlook 2019.
# Column types: cin
# ----------
region,year,pcGDPratio
New England,1991,0.98574
New England,1992,1.03368
New England,1993,1.00110
New England,1994,1.02616
New England,1995,1.04282
New England,1996,1.03603
New England,1997,1.04718
New England,1998,1.03566
New England,1999,1.03150
New England,2000,1.06339
New England,2001,0.99318
New England,2002,0.99022
New England,2003,1.04106
New England,2004,1.03027
New England,2005,1.00017
New England,2006,1.02099
New England,2007,1.01943
New England,2008,0.97609
New England,2009,0.98975
New England,2010,1.02748
New England,2011,1.00662
New England,2012,1.00675
New England,2013,1.01531
New England,2014,1.02272
New England,2015,1.01649
New England,2016,1.00846
New England,2017,1.02252
New England,2018,1.02485
New England,2019,1.01811
New England,2020,1.01673
New England,2021,1.00756
New England,2022,1.01492
New England,2023,1.01480
New England,2024,1.00990
New England,2025,1.01703
New England,2026,1.01825
New England,2027,1.01140
New England,2028,1.01905
New England,2029,1.01789
New England,2030,1.01889
New England,2031,1.01146
New England,2032,1.01745
New England,2033,1.01881
New England,2034,1.01732
New England,2035,1.01743
New England,2036,1.01697
New England,2037,1.01739
New England,2038,1.01739
New England,2039,1.01747
New England,2040,1.02401
New England,2041,1.01731
New England,2042,1.01829
New England,2043,1.01713
New England,2044,1.01848
New England,2045,1.02414
New England,2046,1.01830
New England,2047,1.01790
New England,2048,1.01803
New England,2049,1.01778
New England,2050,1.01790
Atlantic-N,1991,0.98834
Atlantic-N,1992,1.02530
Atlantic-N,1993,1.01114
Atlantic-N,1994,1.00208
Atlantic-N,1995,1.01857
Atlantic-N,1996,1.03569
Atlantic-N,1997,1.05287
Atlantic-N,1998,1.02249
Atlantic-N,1999,1.03360
Atlantic-N,2000,1.02257
Atlantic-N,2001,1.00904
Atlantic-N,2002,1.00515
Atlantic-N,2003,1.02655
Atlantic-N,2004,1.02096
Atlantic-N,2005,1.03464
Atlantic-N,2006,1.02530
Atlantic-N,2007,1.01389
Atlantic-N,2008,0.97149
