# File: AEO_2016_GDP_regional.csv
# Title: AEO 2016 Gross Regional Product Assumptions
# Units: billion 2005 dollars
# Comments: GDP assumptions by US Census Division from 1990-2040
# region names modified from original dataset to match subregion9 names in states_subregions.csv
# Source: U.S. Energy Information Administration.  Provided by Elizabeth Sendich via email on 12/4/16.  Assumptions correspond to Annual Energy Outlook 2016.
# Column types: iinnnnnnnnn 
# ----------
Year,Quarter,New England,Atlantic-N,Central-NE,Central-NW,Atlantic-S,Central-SE,Central-SW,Mountain,Pacific
1990,1,525.34,1504.34,1498.48,587.7,1539.85,437.08,939.64,408.67,1506.01
1990,2,523.69,1507.53,1499.85,589.66,1547.22,437.65,945.23,412.16,1518.71
1990,3,520.17,1505.29,1495.83,589.5,1549,436.64,947.4,414.16,1525.9
1990,4,512.15,1489.92,1478.79,584.18,1537.2,431.82,941.24,412.49,1519.61
1991,1,506.6,1472.58,1474.46,585.53,1533.3,438.97,943.19,414.34,1496.63
1991,2,507.1,1478.29,1484.26,591.52,1547.31,445.44,954.24,420.28,1505.95
1991,3,506.08,1479.64,1489.74,595.82,1556.87,450.67,962.57,425.03,1510.88
1991,4,504.83,1480.31,1494.57,599.88,1565.78,455.73,970.53,429.62,1515.15
1992,1,511.51,1496.23,1527.57,608.95,1586.36,464.28,971.57,440.67,1515.87
1992,2,515.27,1508.38,1549.55,617.35,1605.92,472.62,980.52,449.73,1524.16
1992,3,518.42,1518.74,1569.74,625.02,1623.62,480.42,988.32,458.29,1530.62
1992,4,521.76,1529.68,1590.55,632.94,1641.95,488.42,996.5,467.04,1537.66
1993,1,520.17,1529.41,1586.96,624.71,1652.4,487.42,1009.72,474.74,1538.56
1993,2,521.09,1534.56,1596.77,625.62,1666.43,491.48,1019.26,483.02,1541.87
1993,3,521.47,1538.13,1604.94,625.88,1678.74,495.02,1027.74,490.78,1543.59
1993,4,526.28,1554.75,1626.75,631.45,1705.34,502.79,1044.97,502.76,1558.41
1994,1,531.53,1549.72,1659.72,650.76,1718.7,508.2,1056.9,510.58,1562.08
1994,2,537.46,1560.19,1689.59,663.31,1743.34,516.03,1074.18,522.22,1575.08
1994,3,539.32,1558.83,1706.64,670.82,1754.76,519.95,1083.33,529.9,1576.14
1994,4,544.14,1566.05,1733.03,682.01,1775.8,526.72,1098.4,540.47,1585.87
1995,1,551.91,1579.03,1712.54,677.29,1782.49,526.71,1104.78,545,1607.14
1995,2,555.44,1581.17,1712.15,678.98,1789.64,528.33,1111.37,550.84,1614.19
1995,3,561.79,1591.36,1720.45,684.13,1805.89,532.64,1123.62,559.47,1629.45
1995,4,567.36,1599.29,1726.31,688.32,1819.62,536.2,1134.31,567.34,1642.44
1996,1,569.61,1610.14,1737.14,697.15,1828.97,535.74,1140.01,573.95,1656.01
1996,2,579.93,1636.25,1763.26,710.67,1860.4,543.31,1160.87,587.66,1687.05
1996,3,585.68,1649.41,1775.4,718.57,1877.12,546.56,1172.56,596.75,1704.75
1996,4,592.25,1664.89,1790.02,727.49,1896.47,550.59,1185.89,606.67,1724.83
1997,1,599.34,1687.81,1780.91,725.54,1914.56,552.14,1196.17,617.71,1746.71
1997,2,609.65,1716.2,1796.06,734.24,1944.54,558.3,1215.33,631.99,1777.88
1997,3,618.68,1740.98,1807.11,741.32,1970.39,563.2,1231.9,645.03,1805.39
1997,4,624.75,1757.44,1809.31,744.78,1986.79,565.34,1242.54,655.04,1824.31
1998,1,628.06,1755.23,1833.98,750.84,2005.88,570.93,1260.71,661.7,1853.86
1998,2,633.74,1766.02,1847.15,756.18,2025.71,575.06,1275.99,671.31,1879.83
1998,3,641.62,1782.96,1866.75,764.14,2052.61,581.2,1295.72,683.25,1912.36
1998,4,651.74,1806.09,1892.84,774.77,2086.69,589.36,1320,697.59,1951.63
1999,1,655.02,1821.28,1895.25,776.34,2113.14,591.4,1319.03,708.41,1984.82
1999,2,659.36,1832.74,1902.84,779.65,2134.75,594.32,1327.03,718.37,2013.45
1999,3,666.6,1852.31,1918.86,786.42,2165.77,599.86,1340.89,731.48,2050.92
1999,4,677.12,1880.97,1944.27,797.04,2207.48,608.34,1361.33,748.2,2098.55
2000,1,692.61,1886.29,1946.66,805.84,2204.87,598.2,1358.73,752.89,2113.01
2000,2,710.65,1919.57,1977.08,821.81,2245.24,603.5,1379.95,770.68,2164.02
2000,3,716.38,1919.6,1973.26,823.56,2246.72,598.35,1377.22,775.12,2177.5
2000,4,725.25,1928.27,1978.36,828.98,2258.29,595.96,1380.67,782.97,2200.55
2001,1,718,1945.16,1952.73,820.2,2271.35,600.38,1393.86,782.82,2158.81
2001,2,722.63,1962.67,1951.49,822.42,2290.62,602.51,1405.52,789.95,2162.49
2001,3,721.53,1958.09,1934.84,818.14,2291.71,599.87,1406.04,790.81,2149.07
2001,4,725.37,1955.5,1931.5,819.48,2308.47,601.35,1416.16,797.06,2150.4
2002,1,723.89,1956.78,1966.73,832.03,2322.01,611.03,1424.63,799.98,2185.21
2002,2,724.8,1970.07,1976.7,836.98,2335.02,615.15,1432.62,804.04,2197.61
2002,3,725.62,1976.74,1986.43,841.84,2347.75,619.21,1440.44,808.01,2209.76
2002,4,723.37,1975.39,1987.74,843.12,2350.51,620.63,1442.15,808.55,2212.53
2003,1,728.6,1974.62,1994.69,851.48,2371.88,622.16,1438.94,816.93,2231.88
2003,2,734.26,1987.32,2011.75,861.43,2398.34,627.84,1448.42,826.23,2256.5
2003,3,745.45,2014.97,2044,877.93,2443,638.27,1468.77,841.78,2298.22
2003,4,753.06,2032.89,2066.46,890.27,2476.06,645.64,1481.99,853.32,2329.01
2004,1,758.02,2040,2058.17,889.17,2487.14,649.52,1511.18,860.9,2352.4
2004,2,763.15,2049.59,2064.21,894.45,2506.78,654.27,1528.27,869.38,2376.09
2004,3,769.66,2062.91,2074.02,901.36,2530.98,660.22,1548.12,879.43,2404.1
2004,4,775.89,2075.48,2083.06,907.95,2554.26,665.93,1567.42,889.16,2431.25
2005,1,775.94,2104.49,2091.01,912.55,2605.19,671.31,1560.74,910.01,2467.87
2005,2,776.35,2114.85,2090.55,914.42,2629.13,673.85,1564.06,920.72,2488.77
2005,3,779.75,2133.37,2098.15,919.81,2663.2,678.02,1565.33,934.93,2519.23
2005,4,781.52,2147.41,2101.33,923.27,2691.7,681.85,1554.79,947.16,2544.38
2006,1,792.71,2177.14,2112.21,928.4,2706.78,688.51,1601.76,959.85,2578.75
2006,2,793.72,2185.18,2106.33,927.18,2714.58,690.06,1612.21,967.06,2593.29
2006,3,793.03,2188.5,2096.04,924.02,2716.54,690.46,1619.71,972.14,2602.18
2006,4,797.91,2207.18,2100.52,927.35,2737.55,696.12,1636.98,984.01,2629.28
2007,1,799.81,2205.16,2111.03,936.53,2732.97,691.88,1638.38,984.86,2625.39
2007,2,805.66,2221.5,2123.55,944.81,2751.07,695.26,1654.46,995.09,2647.29
