# File: EIA_net_gen_renewables.csv,,,,,,,,,,,,,,,,,,,
# Title: EIA Net Generation for All Sectors,,,,,,,,,,,,,,,,,,,
# Units: thousand MWh,,,,,,,,,,,,,,,,,,,
# Comments: Data downloaded Wed May 02 2018 11:40:07 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=0082u&geo=00fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2017&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=),,,,,,,,,,,,,,,,,
description,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Net generation for all sectors,,,,,,,,,,,,,,,,,,,
United States,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
New England,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Connecticut,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Connecticut : all fuels (utility-scale),,ELEC.GEN.ALL-CT-99.A,,,,,,,,,,,,,,,,,
Connecticut : other renewables,,ELEC.GEN.AOR-CT-99.A,,,,,,,,,,,,,,,,,
Connecticut : wind,thousand megawatthours,ELEC.GEN.WND-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,NM
Connecticut : all utility-scale solar,,ELEC.GEN.SUN-CT-99.A,,,,,,,,,,,,,,,,,
Connecticut : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,12,17,25,58
Connecticut : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut : all solar,,ELEC.GEN.TSN-CT-99.A,,,,,,,,,,,,,,,,,
Connecticut : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,126,199,320,405
Connecticut : all utility-scale solar,,ELEC.GEN.SUN-CT-99.A,,,,,,,,,,,,,,,,,
Connecticut : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,12,17,25,58
Connecticut : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Maine : all fuels (utility-scale),,ELEC.GEN.ALL-ME-99.A,,,,,,,,,,,,,,,,,
Maine : other renewables,,ELEC.GEN.AOR-ME-99.A,,,,,,,,,,,,,,,,,
Maine : wind,thousand megawatthours,ELEC.GEN.WND-ME-99.A,--,--,--,--,--,--,99,132,299,499,707,887,1048,1097,1296,1667,2222
Maine : all utility-scale solar,,ELEC.GEN.SUN-ME-99.A,,,,,,,,,,,,,,,,,
Maine : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10
