# File: PRIMA_pop.csv
# Title: 2005-2100 population projections by state
# Units: Persons
# Source: Scott, M., D.S. Daly, Y. Zhou, J.S. Rice, P.L. Patel, H.C. McJeon, G.P. Kyle, S.H. Kim, J. Eom, and L.E. Clarke. 2014. Evaluating sub-national building-energy efficiency policy options under uncertainty: Efficient sensitivity testing of alternative climate, technological, and socioeconomic futures in a regional integrated-assessment model. Energy Economics 43: 22-33. http://dx.doi.org/10.1016/j.eneco.2014.01.012
# Column types: ciiiiiiiiiiiiiiiiiiii 
# ----------
state,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Alabama,4527317,4602496,4648605,4702038,4758440,4805692,4854630,4910558,4982801,5079780,5207726,5339802,5441194,5532492,5610328,5673699,5732758,5788567,5835147,5870924
Alaska,661132,695040,730265,770020,813758,855471,892531,925068,954134,980729,1005431,1030930,1050505,1068132,1083159,1095394,1106796,1117571,1126564,1133471
Arizona,5868200,6646285,7471922,8408386,9448829,10561738,11582607,12469717,13196881,13743357,14089517,14446848,14721164,14968171,15178757,15350207,15509992,15660984,15787006,15883802
Arkansas,2777100,2878896,2959678,3042826,3123663,3194638,3259935,3322649,3388714,3463488,3550724,3640776,3709907,3772155,3825226,3868433,3908701,3946753,3978511,4002905
California,36040062,38118199,39998420,41966861,43920726,45791663,47457372,48939443,50305771,51619268,52919423,54261540,55291853,56219600,57010548,57654503,58254647,58821767,59295096,59658656
Colorado,4618116,4838035,5033785,5248865,5474880,5710894,5920969,6107702,6279482,6444093,6606403,6773951,6902574,7018393,7117134,7197525,7272446,7343245,7402335,7447721
Connecticut,3503302,3582289,3624105,3654759,3658988,3636753,3627114,3633872,3663817,3723192,3816969,3913773,3988088,4055004,4112053,4158501,4201788,4242693,4276833,4303056
Delaware,836715,885528,924515,957735,982097,998416,1013935,1029706,1047639,1069454,1096390,1124197,1145543,1164764,1181151,1194492,1206926,1218676,1228482,1236015
District of Columbia,551154,530496,504748,477809,451159,427318,410163,399355,395095,397738,407756,418098,426036,433185,439279,444241,448865,453235,456882,459684
Florida,17510412,19277516,21138172,23273494,25687607,28282334,30635704,32672089,34355806,35661210,36559423,37486626,38198419,38839353,39385780,39830657,40245267,40637062,40964062,41215227
Georgia,8926094,9601943,10198754,10782123,11339365,11848820,12301965,12703442,13070072,13417531,13755484,14104344,14372156,14613308,14818901,14986286,15142283,15289696,15412730,15507231
Hawaii,1276595,1342472,1381641,1404346,1426236,1445428,1464234,1484217,1508168,1538604,1577357,1617361,1648072,1675725,1699300,1718495,1736383,1753287,1767395,1778232
Idaho,1407107,1519326,1624974,1731436,1836551,1941923,2035570,2117287,2189048,2252787,2309529,2368102,2413067,2453557,2488075,2516179,2542371,2567121,2587778,2603645
Illinois,12699760,12934221,13056476,13161489,13224747,13243972,13288833,13373968,13524893,13764795,14111495,14469384,14744127,14991520,15202434,15374151,15534186,15685414,15811632,15908579
Indiana,6249826,6400714,6497357,6589343,6662999,6714331,6770722,6839630,6934098,7065914,7243886,7427602,7568636,7695631,7803900,7892048,7974199,8051829,8116621,8166387
Iowa,2973799,3013945,3016966,3003329,2967249,2913611,2877855,2862382,2872083,2911614,2984950,3060652,3118768,3171098,3215712,3252034,3285886,3317875,3344573,3365080
Kansas,2751601,2809233,2843816,2874137,2893673,2898735,2909241,2928397,2961794,3014508,3090436,3168814,3228983,3283162,3329353,3366959,3402007,3435126,3462768,3483999
Kentucky,4163499,4270838,4337653,4399285,4450704,4490937,4533464,4583256,4649034,4738674,4858029,4981236,5075819,5160987,5233596,5292712,5347805,5399867,5443319,5476694
Louisiana,4534461,4618867,4659182,4692339,4721073,4735089,4756880,4791703,4848712,4936213,5060543,5188886,5287412,5376130,5451766,5513346,5570736,5624968,5670231,5704998
Maine,1318601,1358955,1384558,1400659,1402129,1391251,1385689,1386865,1397351,1419518,1455272,1492180,1520513,1546026,1567777,1585486,1601989,1617585,1630602,1640599
Maryland,5600750,5912891,6189079,6460697,6704050,6923490,7120574,7300564,7475270,7655444,7848265,8047309,8200110,8337701,8455003,8550505,8639510,8723618,8793815,8847733
Massachusetts,6519086,6658361,6737556,6816582,6878427,6913392,6956929,7016732,7106212,7237509,7419804,7607981,7752441,7882520,7993418,8083707,8167852,8247368,8313733,8364708
Michigan,10207762,10442672,10566151,10635202,10620763,10543770,10505910,10518052,10599741,10768985,11040228,11320225,11535173,11728722,11893733,12028077,12153281,12271595,12370343,12446190
Minnesota,5174916,5427907,5650579,5867232,6055779,6217441,6364331,6502025,6641751,6793676,6964792,7141429,7277030,7399132,7503230,7587981,7666967,7741606,7803902,7851750
Mississippi,2915793,2975398,3005032,3027507,3042786,3048918,3060619,3081264,3116736,3172377,3252281,3334764,3398084,3455101,3503710,3543286,3580169,3615022,3644112,3666455
Missouri,5765358,5930022,6050675,6164645,6260565,6339739,6418107,6502564,6605369,6737579,6907281,7082460,7216941,7338035,7441273,7525325,7603658,7677681,7739462,7786916
Montana,933036,969897,996380,1016922,1028385,1030203,1033951,1040771,1052648,1071386,1098372,1126228,1147613,1166869,1183285,1196651,1209107,1220878,1230702,1238248
Nebraska,1744428,1771370,1782944,1792432,1797057,1794647,1796705,1805186,1823518,1854826,1901544,1949771,1986793,2020129,2048550,2071689,2093254,2113632,2130640,2143704
Nevada,2352165,2694140,3048677,3432662,3829775,4221879,4577826,4885908,5140408,5337161,5471590,5610358,5716887,5812811,5894591,5961173,6023224,6081862,6130801,6168392
New Hampshire,1314865,1387419,1452148,1516085,1572583,1623315,1668910,1710621,1751230,1793271,1838439,1885065,1920858,1953088,1980566,2002937,2023786,2043488,2059932,2072562
New Jersey,8745571,9030328,9226977,9407860,9553024,9664579,9776538,9899474,10052106,10251322,10509526,10776063,10980678,11164924,11322002,11449888,11569074,11681701,11775702,11847903
New Mexico,1902121,1982881,2035188,2072495,2088304,2070178,2060370,2060972,2075787,2108326,2161430,2216247,2258329,2296221,2328527,2354828,2379340,2402504,2421836,2436685
New York,19258725,19469755,19485895,19465655,19370622,19203499,19113324,19119520,19257358,19559437,20052089,20560640,20951044,21302583,21602287,21846293,22073697,22288589,22467942,22605701
North Carolina,8702701,9358360,9979629,10648423,11349805,12055769,12683786,13229899,13704107,14116589,14472149,14839184,15120950,15374665,15590970,15767076,15931200,16086293,16215737,16315162
North Dakota,635489,637477,633157,626531,615390,598035,585841,579113,578705,585478,600225,615447,627133,637656,646627,653931,660738,667171,672539,676663
Ohio,11477940,11591710,11599251,11577879,11505031,11388082,11320569,11313738,11388270,11563349,11854599,12155250,12386053,12593879,12771061,12915315,13049755,13176797,13282828,13364270
Oklahoma,3521497,3596334,3650304,3714458,3787838,3858215,3924262,3989950,4062602,4148822,4253320,4361190,4444000,4518567,4582138,4633895,4682130,4727712,4765755,4794976
Oregon,3596203,3796081,4000441,4236179,4497054,4765934,5004994,5213211,5394992,5554730,5694640,5839064,5949936,6049770,6134884,6204180,6268761,6329789,6380723,6419846
Pennsylvania,12427018,12601368,12671398,12714677,12690858,12588613,12535263,12543645,12636972,12836669,13159991,13493749,13749967,13980679,14177372,14337510,14486754,14627785,14745493,14835902
Rhode Island,1086611,1118150,1135998,1147670,1147808,1136726,1130452,1130118,1137796,1155406,1184508,1214549,1237611,1258377,1276081,1290494,1303928,1316622,1327216,1335354
South Carolina,4239452,4452669,4627697,4795168,4946254,5076160,5194328,5305355,5418439,5541905,5681492,5825583,5936198,6035802,6120720,6189855,6254287,6315174,6365991,6405023
South Dakota,771829,787454,794475,797381,794887,789204,786434,787390,793538,806224,826531,847493,863585,878075,890429,900486,909860,918717,926110,931789
Tennessee,5965516,6239210,6481791,6742132,7011749,7276833,7513573,7726495,7927239,8126491,8331176,8542467,8704671,8850727,8975247,9076626,9171107,9260390,9334907,9392142
Texas,22775804,24681953,26503100,28472149,30597307,32849165,34860512,36601149,38081696,39316233,40306506,41328740,42113487,42820113,43422545,43913019,44370123,44802074,45162590,45439497
Utah,2418079,2598494,2774383,2973100,3197690,3436349,3649617,3834134,3990837,4121055,4224854,4332003,4414259,4488326,4551472,4602882,4650795,4696071,4733860,4762885
Vermont,631000,653387,671075,686760,697185,701855,707184,713952,723523,737129,755695,774861,789574,802822,814117,823313,831883,839981,846741,851932
Virginia,7552833,8020990,8440526,8866713,9283047,9686840,10046197,10365389,10658549,10938798,11214318,11498730,11717067,11913669,12081281,12217744,12344922,12465102,12565407,12642450
Washington,6204839,6550739,6928989,7389895,7927013,8503502,9018225,9463775,9843256,10160610,10416529,10680708,10883512,11066128,11221816,11348571,11466701,11578332,11671501,11743063
West Virginia,1818948,1831595,1817088,1790875,1751107,1695770,1656571,1634147,1630750,1648707,1690234,1733101,1766009,1795641,1820904,1841471,1860640,1878754,1893872,1905484
Wisconsin,5554528,5735109,5864460,5970825,6035543,6064260,6100867,6152114,6229758,6344450,6504250,6669207,6795842,6909870,7007084,7086232,7159995,7229698,7287875,7332559
Wyoming,507285,520583,526363,527930,524440,515624,509819,507467,509447,516590,529601,543033,553344,562629,570544,576989,582995,588670,593407,597046
