# File: EIA_coal_open_market_price_states.csv
# Title: US coal average market price by state
# Units: dollar per short ton (nominal price)
# Source: EIA https://www.eia.gov/coal/data/browser/#/topic/28?agg=0,1&geo=vvvvvvvvvvvvo&mktp=o&linechart=COAL.MARKET_PRICE.US-OPM.A&columnchart=COAL.MARKET_PRICE.US-OPM.A&map=COAL.MARKET_PRICE.US-OPM.A&freq=A&start=2001&end=2021&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=&mntp=g&rank=n8
# Comments: accessed Jun 2023 and here use open market price instead of captive market price as more data are available for open market prices
# Column types: cccccccccccccccccccccccc
# ----------
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Open market : United States,$/short ton,COAL.MARKET_PRICE.US-OPM.A,17.38,17.98,17.85,19.93,23.59,25.16,26.2,32.05,34.74,37.61,38.23,38.11,37.29,35.72,32.71,31.14,31.8,32.69,33.45,31.44,31.76
Open market : Middle Atlantic,$/short ton,COAL.MARKET_PRICE.MAT-OPM.A,25.07,25.87,26.75,30.77,36.39,37.42,39.3,49.65,54.98,61.42,65.89,68.54,66.26,61.06,60.16,50.27,54.92,58.47,57.39,55.75,57.26
Open market : Pennsylvania,$/short ton,COAL.MARKET_PRICE.PA-OPM.A,25.07,25.87,26.75,30.77,36.39,37.42,39.3,49.65,54.98,61.42,65.89,68.54,W,W,W,W,W,W,W,W,W
Open market : East North Central,$/short ton,COAL.MARKET_PRICE.ENC-OPM.A,21.92,22.74,22.99,24.32,27.27,28.77,30.53,38.5,43.05,44.73,46.17,48.77,47.06,47.13,44.42,41.28,38.31,36.95,36.59,31.33,38.47
Open market : Illinois,$/short ton,COAL.MARKET_PRICE.IL-OPM.A,23.52,24.04,24.13,25.72,29.67,31.17,33.6,40.41,47.2,48.22,46.81,49.04,W,W,W,W,W,W,W,W,W
Open market : Indiana,$/short ton,COAL.MARKET_PRICE.IN-OPM.A,20.67,22.2,22.48,23.27,25.31,27.27,28.79,33.37,37.03,41.59,44.62,49.16,49.3,49.61,47.08,45.79,42.47,39.35,39.51,40.57,W
Open market : Ohio,$/short ton,COAL.MARKET_PRICE.OH-OPM.A,21.48,21.44,22.1,23.82,26.88,27.4,28.79,41.86,44.81,43.32,46.58,W,W,W,W,47.11,W,W,W,W,38.19
Open market : West North Central,$/short ton,COAL.MARKET_PRICE.WNC-OPM.A,8.79,8.72,9.09,10.16,11.09,11.41,12.16,13.81,13.9,15.62,16.9,18.48,18.63,18.34,17.77,18.2,18.47,17.89,19.17,19.68,19.05
Open market : Kansas,$/short ton,COAL.MARKET_PRICE.KS-OPM.A,W,W,W,W,W,W,W,W,W,W,W,--,--,W,W,W,--,--,--,--,--
Open market : Missouri,$/short ton,COAL.MARKET_PRICE.MO-OPM.A,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
Open market : North Dakota,$/short ton,COAL.MARKET_PRICE.ND-OPM.A,8.48,8.46,8.76,W,10.45,10.7,11.56,13.34,13.93,14.8,16.21,W,W,W,W,W,W,W,18.93,19.48,19
Open market : South Atlantic,$/short ton,COAL.MARKET_PRICE.SAT-OPM.A,27.24,29.66,29.82,35.46,42.37,46.42,48.02,60.94,63.63,71.91,74.97,75.99,70.32,66.74,60.58,55.82,61,65.72,70.74,60.5,58.18
Open market : Maryland,$/short ton,COAL.MARKET_PRICE.MD-OPM.A,23.83,W,W,24.58,28.55,30.63,33.02,42.19,37.65,48.73,43,47.83,48.67,48.59,48.34,52.96,53.35,59.8,63.64,59.36,56.94
Open market : Virginia,$/short ton,COAL.MARKET_PRICE.VA-OPM.A,28.72,31.09,30.3,38.51,47.97,52.99,52.89,81.12,72.67,96.15,98.63,112.1,W,W,W,W,W,W,W,85.59,W
Open market : West Virginia,$/short ton,COAL.MARKET_PRICE.WV-OPM.A,27.03,29.59,30.02,35.41,42.14,45.94,47.63,59.02,63.07,69.38,73.73,73.41,W,65.31,59.98,55.29,58.5,63.18,67.3,58.26,W
