# File: EIA_coal_prod_state_ton_underground_2001_2021.csv
# Title: US Aggregate coal mine production by state; underground
# Units: short tons
# Source: EIA https://www.eia.gov/coal/data/browser/#/topic/33?agg=2,0,1&rank=g&geo=nvg1qag9vvlpns00&mntp=4&linechart=COAL.PRODUCTION.TOT-US-UND.A&columnchart=COAL.PRODUCTION.TOT-US-UND.A&map=COAL.PRODUCTION.TOT-US-UND.A&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin=
# Comments: release data Oct 2022
# Column types: cnnnnnnnnnnnnnnnnnnnnn
# ----------
state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-AK,,,,,,,,,,,,,,,,,,,,,
US-AL,15171504,14915886,15375364,16114223,13294916,10737477,11461986,12281035,11504736,12513392,10878707,12569599,13514885,12516207,9897327,7434009,10490757,12199405,11980025,10450716,7958912
US-AR,1000,894,1000,944,,17565,80280,67392,3980,31144,126628,96200,54605,86988,91272,36781,23893,,,,
US-AZ,,,,,,,,,,,,,,,,,,,,,
US-CA,,,,,,,,,,,,,,,,,,,,,
US-CO,23546675,25332115,27177469,29608462,28439200,26659157,27609687,24369613,22199435,20084685,21507613,23646097,19415989,18123085,13141109,8785217,11117589,10414151,9315873,6208730,7130005
US-CT,,,,,,,,,,,,,,,,,,,,,
US-DC,,,,,,,,,,,,,,,,,,,,,
US-DE,,,,,,,,,,,,,,,,,,,,,
US-FL,,,,,,,,,,,,,,,,,,,,,
US-GA,,,,,,,,,,,,,,,,,,,,,
US-HI,,,,,,,,,,,,,,,,,,,,,
US-IA,,,,,,,,,,,,,,,,,,,,,
US-ID,,,,,,,,,,,,,,,,,,,,,
US-IL,28112050,26931220,25984676,26907160,26342902,27120280,26807222,27054887,28406603,28286164,32717169,42836671,46446547,52713125,51973265,41257171,44905845,46072226,42411211,29580917,36197667
US-IN,7191393,7908881,8634542,10091614,11188861,10736428,10604068,12223086,12797413,14286655,16468928,15564550,16836931,18105163,15607761,12263212,14396119,17355793,16955885,9145499,10411324
US-KS,,,,,,,,,,,,,,,,,,,,,
US-KY,80896136,75588887,69237841,71765414,73701842,73182374,69216574,69473742,63152006,63992919,65248142,58197779,54620360,52807276,43378245,32711308,31511788,30963537,28747170,19693609,21497127
US-LA,,,,,,,,,,,,,,,,,,,,,
US-MA,,,,,,,,,,,,,,,,,,,,,
US-MD,3244508,3327624,3300017,3338713,3174905,2826382,610696,753138,494732,677016,872648,797450,670455,717908,599077,708787,744470,435808,635107,523490,375383
US-ME,,,,,,,,,,,,,,,,,,,,,
US-MI,,,,,,,,,,,,,,,,,,,,,
US-MN,,,,,,,,,,,,,,,,,,,,,
US-MO,,,,,,,,,,,,,,,,,,,,,
US-MS,,,,,,,,,,,,,,,,,,,,,
US-MT,,,31926,157578,162238,320847,47165,168252,775532,4388852,5135570,5707633,8682884,7901784,6419645,5609042,5883820,7566480,7019129,6022919,7246554
US-NC,,,,,,,,,,,,,,,,,,,,,
US-ND,,,,,,,,,,,,,,,,,,,,,
US-NE,,,,,,,,,,,,,,,,,,,,,
US-NH,,,,,,,,,,,,,,,,,,,,,
US-NJ,,,,,,,,,,,,,,,,,,,,,
US-NM,680096,1753399,5890246,7685041,7905477,6993143,6898040,7046199,6499195,4931891,3983025,4960375,5989380,8799554,6517519,4330717,5327442,1848018,3775959,1245714,1572266
US-NV,,,,,,,,,,,,,,,,,,,,,
US-NY,,,,,,,,,,,,,,,,,,,,,
US-OH,12893721,10850954,12827720,14270084,15822618,15126041,15792616,17053000,17306790,17462989,18971510,18124783,17426210,15549686,12220153,9297167,6800528,6518152,6332365,2536300,1780918
US-OK,414623,463478,392736,409066,465459,464087,514288,440577,384429,393891,408358,349489,443460,398062,390706,383668,319250,206183,,,
US-OR,,,,,,,,,,,,,,,,,,,,,
US-PA,58134561,55781325,52212432,53224050,54562551,53800927,53544149,53318403,48679489,47667491,47317197,45041469,45164288,52911731,43893941,41386186,43588641,44634432,44588081,32137345,38052416
US-RI,,,,,,,,,,,,,,,,,,,,,
US-SC,,,,,,,,,,,,,,,,,,,,,
US-SD,,,,,,,,,,,,,,,,,,,,,
US-TN,1321077,1085167,656743,826033,1223959,1191129,891648,788748,842344,554715,422651,572910,730919,621605,531197,423278,329246,173801,313583,82813,
US-TX,,,,,,,,,,,,,,,,,,,,,
US-UT,26966482,25036220,23044160,21746089,24521343,26017697,24306581,24365168,21717588,19350951,19648020,16445781,16235546,17379148,14103385,13297097,13601793,13125170,14165350,12594017,11999666
US-VA,22502639,20490984,21225068,20437148,16386075,18681339,15730585,15805509,12938244,14168585,15461238,12370371,12190193,11066747,9676946,8970753,9819993,9432005,8715643,7184830,8023070
US-VT,,,,,,,,,,,,,,,,,,,,,
US-WA,,,,,,,,,,,,,,,,,,,,,
US-WI,,,,,,,,,,,,,,,,,,,,,
US-WV,99550368,87917933,86792746,90932449,91009089,84627791,84852514,88369475,80887222,84544130,83394995,80468923,78819285,81636191,75289579,64044596,72551885,72205784,70223988,55698520,65156906
US-WY,,,,43187,410065,519151,2821835,3501147,3471844,3819144,3043110,4636557,4442616,3369731,3090175,1167265,1715801,2210433,2193565,2424369,3194899
