# File: reeds_regions_states.csv
# Title: Mapping File from ReEDS Regions to Various Other USA Subnational Regions
# Units: NA
# Comments: Region = ReEDS region.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: icccccccc 
# ----------
Region,BA,NERC,RTO,EIA.Census.Region,State,Interconnect,Country,Custom
1,p2,nr11,rto1,PA,WA,WSCC,USA,OTH
2,p1,nr11,rto1,PA,WA,WSCC,USA,OTH
3,p1,nr11,rto1,PA,WA,WSCC,USA,OTH
4,p1,nr11,rto1,PA,WA,WSCC,USA,OTH
5,p2,nr11,rto1,PA,WA,WSCC,USA,OTH
6,p3,nr11,rto1,PA,WA,WSCC,USA,OTH
7,p4,nr11,rto1,PA,WA,WSCC,USA,OTH
8,p3,nr11,rto1,PA,WA,WSCC,USA,OTH
9,p2,nr11,rto1,PA,WA,WSCC,USA,OTH
10,p5,nr11,rto1,PA,OR,WSCC,USA,OTH
11,p5,nr11,rto1,PA,OR,WSCC,USA,OTH
12,p5,nr11,rto1,PA,OR,WSCC,USA,OTH
13,p5,nr11,rto1,PA,OR,WSCC,USA,OTH
14,p6,nr11,rto1,PA,OR,WSCC,USA,OTH
15,p6,nr11,rto1,PA,OR,WSCC,USA,OTH
16,p5,nr11,rto1,PA,OR,WSCC,USA,OTH
17,p5,nr11,rto1,PA,OR,WSCC,USA,OTH
18,p7,nr11,rto1,PA,OR,WSCC,USA,OTH
19,p7,nr11,rto1,PA,OR,WSCC,USA,OTH
20,p9,nr13,rto4,PA,CA,WSCC,USA,CA
21,p8,nr13,rto2,PA,CA,WSCC,USA,CA
22,p9,nr13,rto4,PA,CA,WSCC,USA,CA
23,p9,nr13,rto4,PA,CA,WSCC,USA,CA
24,p9,nr13,rto4,PA,CA,WSCC,USA,CA
25,p9,nr13,rto4,PA,CA,WSCC,USA,CA
26,p9,nr13,rto4,PA,CA,WSCC,USA,CA
27,p9,nr13,rto4,PA,CA,WSCC,USA,CA
28,p10,nr13,rto4,PA,CA,WSCC,USA,CA
29,p9,nr13,rto4,PA,CA,WSCC,USA,CA
30,p10,nr13,rto4,PA,CA,WSCC,USA,CA
31,p10,nr13,rto4,PA,CA,WSCC,USA,CA
32,p11,nr13,rto4,PA,CA,WSCC,USA,CA
33,p10,nr13,rto4,PA,CA,WSCC,USA,CA
34,p12,nr11,rto2,MTN,NV,WSCC,USA,OTH
35,p12,nr11,rto2,MTN,NV,WSCC,USA,OTH
36,p12,nr11,rto2,MTN,NV,WSCC,USA,OTH
37,p12,nr11,rto2,MTN,NV,WSCC,USA,OTH
38,p12,nr11,rto2,MTN,NV,WSCC,USA,OTH
39,p12,nr11,rto2,MTN,NV,WSCC,USA,OTH
40,p13,nr12,rto3,MTN,NV,WSCC,USA,OTH
41,p14,nr11,rto1,MTN,ID,WSCC,USA,OTH
42,p15,nr11,rto1,MTN,ID,WSCC,USA,OTH
43,p15,nr11,rto1,MTN,ID,WSCC,USA,OTH
44,p15,nr11,rto1,MTN,ID,WSCC,USA,OTH
45,p15,nr11,rto1,MTN,ID,WSCC,USA,OTH
46,p16,nr11,rto1,MTN,ID,WSCC,USA,OTH
47,p16,nr11,rto1,MTN,ID,WSCC,USA,OTH
48,p25,nr11,rto2,MTN,UT,WSCC,USA,OTH
49,p25,nr11,rto2,MTN,UT,WSCC,USA,OTH
50,p26,nr11,rto2,MTN,UT,WSCC,USA,OTH
51,p25,nr11,rto2,MTN,UT,WSCC,USA,OTH
52,p25,nr11,rto2,MTN,UT,WSCC,USA,OTH
53,p27,nr12,rto3,MTN,AZ,WSCC,USA,OTH
54,p28,nr12,rto3,MTN,AZ,WSCC,USA,OTH
55,p29,nr12,rto3,MTN,AZ,WSCC,USA,OTH
56,p28,nr12,rto3,MTN,AZ,WSCC,USA,OTH
57,p28,nr12,rto3,MTN,AZ,WSCC,USA,OTH
58,p30,nr12,rto3,MTN,AZ,WSCC,USA,OTH
59,p28,nr12,rto3,MTN,AZ,WSCC,USA,OTH
60,p17,nr11,rto1,MTN,MT,WSCC,USA,OTH
61,p17,nr11,rto1,MTN,MT,WSCC,USA,OTH
62,p17,nr11,rto1,MTN,MT,WSCC,USA,OTH
63,p17,nr11,rto1,MTN,MT,WSCC,USA,OTH
64,p18,nr11,rto2,MTN,MT,WSCC,USA,OTH
65,p18,nr11,rto2,MTN,MT,WSCC,USA,OTH
66,p20,nr11,rto2,MTN,MT,WSCC,USA,OTH
67,p18,nr11,rto2,MTN,MT,WSCC,USA,OTH
68,p19,nr11,rto2,MTN,MT,WSCC,USA,OTH
69,p20,nr11,rto2,MTN,MT,WSCC,USA,OTH
70,p21,nr11,rto2,MTN,WY,WSCC,USA,OTH
71,p21,nr11,rto2,MTN,WY,WSCC,USA,OTH
72,p22,nr11,rto2,MTN,WY,WSCC,USA,OTH
73,p23,nr11,rto5,MTN,WY,WSCC,USA,OTH
74,p24,nr11,rto5,MTN,WY,WSCC,USA,OTH
