# File: EIA_coal_prod_state_ton_surface_2001_2021.csv
# Title: US Aggregate coal mine production by state; surface
# Units: short tons
# Source: EIA https://www.eia.gov/coal/data/browser/#/topic/33?agg=2,0,1&rank=g&geo=nvg1qag9vvlpns00&mntp=8&linechart=COAL.PRODUCTION.TOT-US-SUR.A&columnchart=COAL.PRODUCTION.TOT-US-SUR.A&map=COAL.PRODUCTION.TOT-US-SUR.A&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin=
# Comments: release data Oct 2022
# Column types: cnnnnnnnnnnnnnnnnnnnnn
# ----------
state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-AK,1514241,1145713,1081323,1511787,1454014,1425023,1323560,1477015,1860363,2151094,2148926,2052086,1631584,1501758,1177390,932122,959068,901641,974702,1020870,1042288
US-AL,4192347,4015407,4742191,6156389,8043766,8092385,7865317,8330344,7291454,7401548,8192343,6751540,5105132,3846738,3293505,2208965,2369901,2583712,2144164,1700680,1379555
US-AR,13362,12889,6564,6384,2563,5187,2397,1789,658,1157,6719,1921,3973,7001,190,12634,18845,,,,
US-AZ,13417524,12804057,12059094,12730829,12071576,8216255,7982584,8024973,7474029,7752277,8110942,7493276,7602722,8050607,6804555,5422850,6221392,6550417,3842508,,
US-CA,,,,,,,,,,,,,,,,,,,,,
US-CO,9825030,9770945,8653716,10261635,10070770,9662626,8774216,7658847,6067772,5077841,5382019,4919997,4820297,5884410,5737806,3848919,3928921,3611357,3552249,3847604,4744787
US-CT,,,,,,,,,,,,,,,,,,,,,
US-DC,,,,,,,,,,,,,,,,,,,,,
US-DE,,,,,,,,,,,,,,,,,,,,,
US-FL,,,,,,,,,,,,,,,,,,,,,
US-GA,,,,,,,,,,,,,,,,,,,,,
US-HI,,,,,,,,,,,,,,,,,,,,,
US-IA,,,,,,,,,,,,,,,,,,,,,
US-ID,,,,,,,,,,,,,,,,,,,,,
US-IL,5671392,6383146,5655348,4945826,5671061,5608520,5638023,5863157,5341825,4955228,5053228,5649377,5700646,5256175,4127765,2164965,3298300,3491229,3441704,1996942,416190
US-IN,29546458,27427753,26720406,25018027,23268497,24382632,24399031,23670026,22857859,20663314,20956755,21155624,22264903,21161814,18687683,16503493,17075748,17242414,14602767,10796946,9059112
US-KS,176064,204648,153652,70650,170658,425997,420436,229246,184812,132691,37257,15864,22150,66366,199199,26788,,,,,
