# File: BOEM_gas_supply_EJ.csv
# Title: Federal offshore gas supply from BOEM
# Units: EJ
# Source: Bureau of Ocean Energy Management https://www.boem.gov/sites/default/files/oil-and-gas-energy-program/Resource-Evaluation/Resource-Assessment/2011-factsheet-12092014.pdf (accessed Apr 2023) Note that grade.1 is reserve appreciation (not reserve)
# Column types: cnnnn
# ----------
region,grade.1,grade.2,grade.3,grade.4
Alaska OCS,0,50.04130608,88.64580512,147.275267
Atlantic OCS,0,12.46021136,27.1149392,31.84159008
Gulf of Mexico OCS,51.13856432,204.6703134,26.87227632,27.20989424
Pacific OCS,0,10.66661616,6.31978544,8.0711784
