# File: Alaska_offshore_gas_oil_2022.csv
# Title: Alaska offshore oil and gas production
# Units: indicated in column titles
# Source: Alaska Oil and Gas Conservation Commission Production Data http://aogweb.state.ak.us/DataMiner4/Forms/Production.aspx
# Column types: iccnnnnn
# ----------
year,ProductionType,AreaType,oilprod_bbl,gasprod_thouCFG,oilprod_EJ,gasprod_EJ,oilprod_mbblpd
1986,Oil Production,arctic,11006,195434,6.29E-05,0.000206183,3.02E-05
1987,Oil Production,arctic,8795758,8237450,0.05024137,0.00869051,0.024097967
1988,Oil Production,arctic,37441120,34834296,0.213863677,0.036750182,0.102578411
1989,Oil Production,arctic,36094932,41430293,0.206174252,0.043708959,0.098890225
1990,Oil Production,arctic,37722853,43906065,0.215472936,0.046320899,0.103350282
1991,Oil Production,arctic,41304360,62593048,0.235930504,0.066035666,0.11316263
1992,Oil Production,arctic,41604984,97749466,0.237647669,0.103125687,0.113986258
1993,Oil Production,arctic,39194146,120644511,0.223876962,0.127279959,0.107381222
1994,Oil Production,arctic,52104036,131748678,0.297618254,0.138994855,0.142750784
1995,Oil Production,arctic,76309022,163981094,0.435877134,0.173000054,0.209065814
1996,Oil Production,arctic,79324545,171244353,0.453101801,0.180662792,0.217327521
1997,Oil Production,arctic,70710500,178028822,0.403898376,0.187820407,0.193727397
1998,Oil Production,arctic,58360632,168955081,0.33335593,0.17824761,0.159892142
1999,Oil Production,arctic,45651612,169701633,0.260762008,0.179035223,0.12507291
2000,Oil Production,arctic,33565535,175753453,0.191726336,0.185419893,0.09196037
2001,Oil Production,arctic,29499160,175367521,0.168499202,0.185012735,0.080819616
2002,Oil Production,arctic,40611628,215160957,0.231973619,0.22699481,0.111264734
2003,Oil Production,arctic,43979735,238028024,0.251212246,0.251119565,0.120492425
2004,Oil Production,arctic,44467854,265006152,0.254000382,0.27958149,0.121829737
2005,Oil Production,arctic,39840665,323040268,0.227569878,0.340807483,0.109152507
2006,Oil Production,arctic,33302173,300548546,0.190222012,0.317078716,0.09123883
2007,Oil Production,arctic,28638963,333721324,0.163585757,0.352075997,0.078462912
2008,Oil Production,arctic,25654640,352289344,0.146539304,0.371665258,0.070286685
2009,Oil Production,arctic,22760698,325415632,0.130009107,0.343313492,0.062358077
2010,Oil Production,arctic,20837246,337676788,0.119022349,0.356249011,0.057088345
2011,Oil Production,arctic,17718807,335222215,0.101209826,0.353659437,0.048544677
2012,Oil Production,arctic,15561243,280359159,0.08888582,0.295778913,0.042633542
2013,Oil Production,arctic,16695149,308185172,0.095362691,0.325135356,0.045740134
2014,Oil Production,arctic,17764747,343802595,0.101472235,0.362711738,0.04867054
2015,Oil Production,arctic,17869379,354906654,0.102069893,0.37442652,0.048957203
2016,Oil Production,arctic,16290212,346317662,0.093049691,0.365365133,0.044630718
2017,Oil Production,arctic,16608149,350074502,0.094865747,0.3693286,0.045501778
2018,Gas Production,arctic,0,0,0,0,0
2018,Oil Production,arctic,16397609,352563396,0.093663143,0.371954383,0.044924956
2019,Oil Production,arctic,15654087,352996514,0.089416145,0.372411322,0.04288791
2020,Oil Production,arctic,15219394,368669877,0.086933179,0.38894672,0.04169697
2021,Oil Production,arctic,14415217,377110940,0.08233972,0.397852042,0.039493745
2022,Oil Production,arctic,13777216,373232109,0.078695458,0.393759875,0.037745797
1965,Oil Production,nonarctic,31867,10920,0.000182024,1.15E-05,8.73E-05
1966,Oil Production,nonarctic,2652688,1200106,0.015152154,0.001266112,0.007267638
1967,Oil Production,nonarctic,15933006,9046290,0.09100933,0.009543836,0.043652071
1968,Gas Production,nonarctic,0,31517,0,3.33E-05,0
1968,Oil Production,nonarctic,52526215,25775723,0.30002974,0.027193388,0.143907438
1969,Gas Production,nonarctic,0,12510780,0,0.013198873,0
1969,Oil Production,nonarctic,60886964,30732700,0.347786338,0.032422999,0.1668136
1970,Gas Production,nonarctic,0,45646121,0,0.048156658,0
1970,Oil Production,nonarctic,70006786,36014815,0.399878762,0.03799563,0.191799414
1971,Gas Production,nonarctic,0,48596693,0,0.051269511,0
1971,Oil Production,nonarctic,66161697,36104003,0.377915613,0.038089723,0.181264923
1972,Gas Production,nonarctic,0,45825255,0,0.048345644,0
1972,Oil Production,nonarctic,63741887,29136046,0.364093659,0.030738529,0.174635307
1973,Gas Production,nonarctic,0,47593822,0,0.050211482,0
1973,Oil Production,nonarctic,61714937,24926852,0.35251572,0.026297829,0.169082019
1974,Gas Production,nonarctic,0,51098894,0,0.053909333,0
1974,Oil Production,nonarctic,59933837,22084884,0.342342077,0.023299553,0.164202293
1975,Gas Production,nonarctic,0,53618563,0,0.056567584,0
1975,Oil Production,nonarctic,60034539,21887389,0.342917287,0.023091195,0.164478189
1976,Gas Production,nonarctic,0,51916149,0,0.054771537,0
1976,Oil Production,nonarctic,54511252,20257569,0.311368271,0.021371735,0.149345896
1977,Gas Production,nonarctic,0,54937479,0,0.05795904,0
1977,Oil Production,nonarctic,49839033,20786363,0.284680556,0.021929613,0.136545296
1978,Gas Production,nonarctic,0,54419581,0,0.057412658,0
1978,Oil Production,nonarctic,45039005,18795212,0.257262797,0.019828949,0.123394534
1979,Gas Production,nonarctic,0,57204155,0,0.060350384,0
1979,Oil Production,nonarctic,38490324,15139810,0.219856731,0.0159725,0.105452942
1980,Gas Production,nonarctic,0,49191169,0,0.051896683,0
1980,Oil Production,nonarctic,32308682,14074201,0.184547192,0.014848282,0.088516937
1981,Gas Production,nonarctic,0,57234092,0,0.060381967,0
1981,Oil Production,nonarctic,27957666,13599831,0.159694188,0.014347822,0.076596345
1982,Gas Production,nonarctic,0,54594757,0,0.057597469,0
1982,Oil Production,nonarctic,24229745,12624927,0.138400303,0.013319298,0.066382863
1983,Gas Production,nonarctic,0,56810269,0,0.059934834,0
