# File: reeds_offshore_wind_curve_grid_cost.csv
# Title: Offshore Wind Power Grid Interconnection Costs by ReEDS Wind Region; Class; and Bin
# Units: 2013$/MW
# Comments: These costs are the additional cost in $/MW (2013 USD) for interconnecting to the grid on top of the capital and OM costs.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: iccnnnnn
#  ----------
Wind_Resource_Region,Wind_Class,Wind_Type,wsc1,wsc2,wsc3,wsc4,wsc5
1,class4,OFFSHORE,38530.27657,73265.42358,167675.2072,254158.0029,427505.5465
1,class10,OFFSHORE,77187.83651,523057.3225,740014.7,968569.0216,1574589.575
1,class7,OFFSHORE,115258.5385,151366.5041,268503.9655,325819.6618,486698.2668
1,class3,OFFSHORE,96986.26217,175233.6041,253081.4701,281860.6019,297943.4987
1,class6,OFFSHORE,545395.7867,0,0,0,0
1,class2,OFFSHORE,194879.7831,0,0,0,0
2,class4,OFFSHORE,116877.3624,119893.8627,157112.429,194059.2022,0
3,class4,OFFSHORE,113305.6405,193247.715,0,0,0
10,class4,OFFSHORE,95295.23891,152436.5818,192016.8818,256149.569,374376.073
10,class10,OFFSHORE,117990.3419,435741.9549,625669.9346,832960.687,1576668.071
10,class7,OFFSHORE,44921.32027,213488.184,271000.3782,305809.7098,386128.9905
10,class3,OFFSHORE,8642.500207,27652.62061,42093.67707,133933.211,250683.3375
13,class4,OFFSHORE,170150.9934,204444.4123,236260.9442,316352.5343,405104.3196
13,class10,OFFSHORE,241154.4004,468377.8264,665909.0818,926898.8783,1479634.342
13,class7,OFFSHORE,130178.0764,225967.0581,263092.5632,302930.2205,426287.6494
13,class3,OFFSHORE,35423.88402,56951.23289,82771.67314,115486.8664,223005.8575
13,class9,OFFSHORE,222953.4713,311432.9197,705526.3191,916881.5451,1006094.388
13,class6,OFFSHORE,98820.0964,173773.6358,243220.5322,311424.0189,506549.6468
14,class4,OFFSHORE,135344.1378,279901.158,294459.3966,319648.086,355065.0315
14,class10,OFFSHORE,108039.1027,296218.5395,384428.5745,524382.4229,757786.95
14,class7,OFFSHORE,131517.5327,222420.5127,280915.674,308726.6005,344649.6227
14,class3,OFFSHORE,110140.1539,186822.0094,223476.1335,288731.0718,305418.6589
14,class9,OFFSHORE,282979.711,353020.3524,417810.8458,542391.2764,663168.1501
14,class6,OFFSHORE,91010.99911,147875.2779,199591.2435,262290.7588,324775.6609
14,class2,OFFSHORE,24046.22339,46090.22748,162783.4081,301358.3326,317101.6141
14,class8,OFFSHORE,242632.9593,400277.8643,531010.7711,592899.5672,703818.7102
14,class5,OFFSHORE,97749.20504,178384.8427,240256.5957,324520.4578,350118.8799
14,class1,OFFSHORE,20816.65969,40092.62933,99588.20874,243347.6388,334478.2267
15,class4,OFFSHORE,47427.51363,298375.3864,392071.3053,393298.7868,405433.9083
