# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
Alabama,comm,electricity,cooking,electric range,2021,0.0165096,0.0014585
Alabama,comm,electricity,cooling,air conditioning,2021,0.1235607,0.0109154
Alabama,comm,electricity,heating,electric furnace,2021,0.0097107,8.578e-4
Alabama,comm,electricity,heating,electric heat pump,2021,0.0045322,4.004e-4
Alabama,comm,electricity,hot water,electric heat pump water heater,2021,4.8e-5,4.2e-6
Alabama,comm,electricity,hot water,electric resistance water heater,2021,0.0052914,4.674e-4
Alabama,comm,electricity,lighting,lighting,2021,0.1007722,0.0089023
Alabama,comm,electricity,office,office equipment,2021,0.1042353,0.0092082
Alabama,comm,electricity,others,electricity,2021,0.4378994,0.0386843
Alabama,comm,electricity,refrigeration,refrigeration,2021,0.122358,0.0108092
Alabama,comm,electricity,ventilation,ventilation,2021,0.0750823,0.0066328
Alabama,comm,gas,cooking,gas range,2021,0.1505469,0.0042127
Alabama,comm,gas,cooling,gas cooling,2021,0.0126287,3.534e-4
Alabama,comm,gas,heating,gas furnace,2021,0.4985476,0.0139508
Alabama,comm,gas,hot water,gas water heater,2021,0.2347847,0.0065699
Alabama,comm,gas,others,gas,2021,0.1034921,0.002896
Alabama,comm,refined liquids,heating,fuel furnace,2021,0.2871839,4.071e-4
Alabama,comm,refined liquids,hot water,fuel water heater,2021,0.0019579,2.8e-6
Alabama,comm,refined liquids,others,refined liquids,2021,0.7108583,0.0010076
Alabama,resid,biomass,heating,wood furnace,2021,1,0.0043628
Alabama,resid,electricity,clothes dryers,clothes dryer,2021,0.0419436,0.0040749
Alabama,resid,electricity,clothes washers,clothes washer,2021,0.0061072,5.933e-4
Alabama,resid,electricity,computers,electricity,2021,0.0178954,0.0017386
Alabama,resid,electricity,cooking,electric oven,2021,0.0108155,0.0010507
Alabama,resid,electricity,cooling,air conditioning,2021,0.1718276,0.0166934
Alabama,resid,electricity,dishwashers,dishwasher,2021,0.0040821,3.966e-4
Alabama,resid,electricity,freezers,freezer,2021,0.0108702,0.0010561
Alabama,resid,electricity,furnace fans,electricity,2021,0.0064192,6.236e-4
Alabama,resid,electricity,heating,electric furnace,2021,0.0850479,0.0082626
Alabama,resid,electricity,heating,electric heat pump,2021,0.0508045,0.0049357
Alabama,resid,electricity,hot water,electric heat pump water heater,2021,0,0
Alabama,resid,electricity,hot water,electric resistance water heater,2021,0.1421144,0.0138067
Alabama,resid,electricity,lighting,lighting,2021,0.0402652,0.0039118
Alabama,resid,electricity,others,electricity,2021,0.3662609,0.0355829
Alabama,resid,electricity,refrigerators,refrigerator,2021,0.0455462,0.0044249
Alabama,resid,gas,clothes dryers,clothes dryer,2021,0.00518,2.53e-4
Alabama,resid,gas,cooking,gas oven,2021,0.0231535,0.001131
Alabama,resid,gas,cooling,air conditioning,2021,0.050165,0.0024505
Alabama,resid,gas,heating,gas furnace,2021,0.6539567,0.0319447
Alabama,resid,gas,hot water,gas water heater,2021,0.1910074,0.0093304
Alabama,resid,gas,others,gas,2021,0.0765374,0.0037387
Alabama,resid,refined liquids,cooking,lpg oven,2021,0.0389732,1.827e-4
Alabama,resid,refined liquids,heating,fuel furnace,2021,0.6861181,0.0032157
Alabama,resid,refined liquids,hot water,fuel water heater,2021,0.1140428,5.345e-4
Alabama,resid,refined liquids,others,refined liquids,2021,0.1608658,7.539e-4
Arizona,comm,electricity,cooking,electric range,2021,0.0157746,0.0017624
Arizona,comm,electricity,cooling,air conditioning,2021,0.1000452,0.0111776
Arizona,comm,electricity,heating,electric furnace,2021,0.0059193,6.613e-4
Arizona,comm,electricity,heating,electric heat pump,2021,0.0025531,2.853e-4
Arizona,comm,electricity,hot water,electric heat pump water heater,2021,1.25e-5,1.4e-6
Arizona,comm,electricity,hot water,electric resistance water heater,2021,0.0021523,2.405e-4
Arizona,comm,electricity,lighting,lighting,2021,0.0728671,0.0081411
Arizona,comm,electricity,office,office equipment,2021,0.0990504,0.0110665
Arizona,comm,electricity,others,electricity,2021,0.5481244,0.0612395
Arizona,comm,electricity,refrigeration,refrigeration,2021,0.0827737,0.0092479
Arizona,comm,electricity,ventilation,ventilation,2021,0.0707274,0.0079021
Arizona,comm,gas,cooking,gas range,2021,0.0745315,0.0033698
Arizona,comm,gas,cooling,gas cooling,2021,0.0035729,1.615e-4
Arizona,comm,gas,heating,gas furnace,2021,0.4996855,0.0225921
Arizona,comm,gas,hot water,gas water heater,2021,0.2096612,0.0094793
Arizona,comm,gas,others,gas,2021,0.2125488,0.0096099
Arizona,comm,refined liquids,heating,fuel furnace,2021,0,0
Arizona,comm,refined liquids,hot water,fuel water heater,2021,2.529e-4,0
Arizona,comm,refined liquids,others,refined liquids,2021,0.9997471,5e-6
Arizona,resid,biomass,heating,wood furnace,2021,1,0.0061697
Arizona,resid,electricity,clothes dryers,clothes dryer,2021,0.0404754,0.0050988
Arizona,resid,electricity,clothes washers,clothes washer,2021,0.0066639,8.395e-4
Arizona,resid,electricity,computers,electricity,2021,0.0231728,0.0029191
Arizona,resid,electricity,cooking,electric oven,2021,0.0083788,0.0010555
Arizona,resid,electricity,cooling,air conditioning,2021,0.2864235,0.0360816
Arizona,resid,electricity,dishwashers,dishwasher,2021,0.0051915,6.54e-4
Arizona,resid,electricity,freezers,freezer,2021,0.0135049,0.0017012
Arizona,resid,electricity,furnace fans,electricity,2021,0.0215135,0.0027101
Arizona,resid,electricity,heating,electric furnace,2021,0.0273132,0.0034407
Arizona,resid,electricity,heating,electric heat pump,2021,0.0070401,8.869e-4
Arizona,resid,electricity,hot water,electric heat pump water heater,2021,0,0
Arizona,resid,electricity,hot water,electric resistance water heater,2021,0.0642111,0.0080889
Arizona,resid,electricity,lighting,lighting,2021,0.0460656,0.005803
Arizona,resid,electricity,others,electricity,2021,0.3972165,0.0500386
Arizona,resid,electricity,refrigerators,refrigerator,2021,0.0528291,0.006655
Arizona,resid,gas,clothes dryers,clothes dryer,2021,0.0075034,4.2e-4
Arizona,resid,gas,cooking,gas oven,2021,0.0176506,9.881e-4
Arizona,resid,gas,cooling,air conditioning,2021,0.0176328,9.871e-4
Arizona,resid,gas,heating,gas furnace,2021,0.638879,0.0357652
Arizona,resid,gas,hot water,gas water heater,2021,0.261486,0.0146383
Arizona,resid,gas,others,gas,2021,0.0568483,0.0031824
Arizona,resid,refined liquids,cooking,lpg oven,2021,0.030703,2.183e-4
Arizona,resid,refined liquids,heating,fuel furnace,2021,0.6039419,0.0042946
Arizona,resid,refined liquids,hot water,fuel water heater,2021,0.1882992,0.001339
Arizona,resid,refined liquids,others,refined liquids,2021,0.1770558,0.001259
Arkansas,comm,electricity,cooking,electric range,2021,0.0149922,7.889e-4
Arkansas,comm,electricity,cooling,air conditioning,2021,0.1351592,0.0071125
Arkansas,comm,electricity,heating,electric furnace,2021,0.010888,5.73e-4
Arkansas,comm,electricity,heating,electric heat pump,2021,0.0050606,2.663e-4
Arkansas,comm,electricity,hot water,electric heat pump water heater,2021,3.36e-5,1.8e-6
Arkansas,comm,electricity,hot water,electric resistance water heater,2021,0.0052056,2.739e-4
Arkansas,comm,electricity,lighting,lighting,2021,0.092882,0.0048878
Arkansas,comm,electricity,office,office equipment,2021,0.0892091,0.0046945
Arkansas,comm,electricity,others,electricity,2021,0.4573123,0.0240653
Arkansas,comm,electricity,refrigeration,refrigeration,2021,0.1190481,0.0062647
Arkansas,comm,electricity,ventilation,ventilation,2021,0.0702093,0.0036946
Arkansas,comm,gas,cooking,gas range,2021,0.1588046,0.0046364
Arkansas,comm,gas,cooling,gas cooling,2021,0.0165263,4.825e-4
Arkansas,comm,gas,heating,gas furnace,2021,0.5283719,0.0154263
Arkansas,comm,gas,hot water,gas water heater,2021,0.2185086,0.0063796
Arkansas,comm,gas,others,gas,2021,0.0777887,0.0022711
Arkansas,comm,refined liquids,heating,fuel furnace,2021,0,0
Arkansas,comm,refined liquids,hot water,fuel water heater,2021,0,0
Arkansas,comm,refined liquids,others,refined liquids,2021,1,0.0043427
Arkansas,resid,biomass,heating,wood furnace,2021,1,0.002794
Arkansas,resid,electricity,clothes dryers,clothes dryer,2021,0.0422018,0.0027109
Arkansas,resid,electricity,clothes washers,clothes washer,2021,0.0062969,4.045e-4
Arkansas,resid,electricity,computers,electricity,2021,0.0169638,0.0010897
Arkansas,resid,electricity,cooking,electric oven,2021,0.0085847,5.515e-4
Arkansas,resid,electricity,cooling,air conditioning,2021,0.2144768,0.0137775
Arkansas,resid,electricity,dishwashers,dishwasher,2021,0.0044209,2.84e-4
Arkansas,resid,electricity,freezers,freezer,2021,0.0117963,7.578e-4
Arkansas,resid,electricity,furnace fans,electricity,2021,0.00824,5.293e-4
Arkansas,resid,electricity,heating,electric furnace,2021,0.1143214,0.0073437
Arkansas,resid,electricity,heating,electric heat pump,2021,0.0214139,0.0013756
Arkansas,resid,electricity,hot water,electric heat pump water heater,2021,0,0
Arkansas,resid,electricity,hot water,electric resistance water heater,2021,0.1154372,0.0074154
Arkansas,resid,electricity,lighting,lighting,2021,0.0377972,0.002428
Arkansas,resid,electricity,others,electricity,2021,0.3483214,0.0223753
Arkansas,resid,electricity,refrigerators,refrigerator,2021,0.0497278,0.0031944
Arkansas,resid,gas,clothes dryers,clothes dryer,2021,0.0080128,2.452e-4
Arkansas,resid,gas,cooking,gas oven,2021,0.0245121,7.501e-4
Arkansas,resid,gas,cooling,air conditioning,2021,0.0255103,7.807e-4
Arkansas,resid,gas,heating,gas furnace,2021,0.6294526,0.0192632
Arkansas,resid,gas,hot water,gas water heater,2021,0.2245847,0.006873
Arkansas,resid,gas,others,gas,2021,0.0879275,0.0026908
Arkansas,resid,refined liquids,cooking,lpg oven,2021,0.0628029,2.053e-4
Arkansas,resid,refined liquids,heating,fuel furnace,2021,0.5488502,0.0017943
Arkansas,resid,refined liquids,hot water,fuel water heater,2021,0.1792308,5.859e-4
Arkansas,resid,refined liquids,others,refined liquids,2021,0.2091161,6.837e-4
California,comm,electricity,cooking,electric range,2021,0.0193414,0.0097438
California,comm,electricity,cooling,air conditioning,2021,0.0996164,0.0501849
California,comm,electricity,heating,electric furnace,2021,0.0153323,0.0077241
California,comm,electricity,heating,electric heat pump,2021,0.0070516,0.0035525
California,comm,electricity,hot water,electric heat pump water heater,2021,8.4e-5,4.23e-5
California,comm,electricity,hot water,electric resistance water heater,2021,0.0039569,0.0019934
California,comm,electricity,lighting,lighting,2021,0.0905694,0.0456272
California,comm,electricity,office,office equipment,2021,0.1564011,0.078792
California,comm,electricity,others,electricity,2021,0.3718629,0.1873376
California,comm,electricity,refrigeration,refrigeration,2021,0.1262599,0.0636074
California,comm,electricity,ventilation,ventilation,2021,0.1095241,0.0551762
California,comm,gas,cooking,gas range,2021,0.1858816,0.0468816
California,comm,gas,cooling,gas cooling,2021,0.0054469,0.0013738
California,comm,gas,heating,gas furnace,2021,0.3834034,0.096699
California,comm,gas,hot water,gas water heater,2021,0.2728357,0.0688125
California,comm,gas,others,gas,2021,0.1524324,0.0384453
California,comm,refined liquids,heating,fuel furnace,2021,6.613e-4,1.1e-6
California,comm,refined liquids,hot water,fuel water heater,2021,2.466e-4,4e-7
California,comm,refined liquids,others,refined liquids,2021,0.9990921,0.0016458
California,resid,biomass,heating,wood furnace,2021,1,0.0503255
California,resid,electricity,clothes dryers,clothes dryer,2021,0.0452694,0.0156704
California,resid,electricity,clothes washers,clothes washer,2021,0.0102734,0.0035563
California,resid,electricity,computers,electricity,2021,0.0384183,0.0132989
California,resid,electricity,cooking,electric oven,2021,0.0100968,0.0034951
California,resid,electricity,cooling,air conditioning,2021,0.1314872,0.0455156
California,resid,electricity,dishwashers,dishwasher,2021,0.0089652,0.0031034
California,resid,electricity,freezers,freezer,2021,0.0169578,0.0058701
California,resid,electricity,furnace fans,electricity,2021,0.0157757,0.0054609
California,resid,electricity,heating,electric furnace,2021,0.0582328,0.0201578
California,resid,electricity,heating,electric heat pump,2021,0.0187927,0.0065053
California,resid,electricity,hot water,electric heat pump water heater,2021,0,0
California,resid,electricity,hot water,electric resistance water heater,2021,0.058126,0.0201209
California,resid,electricity,lighting,lighting,2021,0.0691343,0.0239315
California,resid,electricity,others,electricity,2021,0.4279677,0.1481452
California,resid,electricity,refrigerators,refrigerator,2021,0.0905028,0.0313284
California,resid,gas,clothes dryers,clothes dryer,2021,0.0130027,0.0060517
California,resid,gas,cooking,gas oven,2021,0.0286057,0.0133137
California,resid,gas,cooling,air conditioning,2021,0.0059819,0.0027841
California,resid,gas,heating,gas furnace,2021,0.5783235,0.2691651
California,resid,gas,hot water,gas water heater,2021,0.287995,0.1340396
California,resid,gas,others,gas,2021,0.0860913,0.0400689
California,resid,refined liquids,cooking,lpg oven,2021,0.0553362,0.0014052
California,resid,refined liquids,heating,fuel furnace,2021,0.4484312,0.0113877
California,resid,refined liquids,hot water,fuel water heater,2021,0.2322105,0.0058969
California,resid,refined liquids,others,refined liquids,2021,0.2640221,0.0067047
Colorado,comm,electricity,cooking,electric range,2021,0.0170691,0.0014513
Colorado,comm,electricity,cooling,air conditioning,2021,0.0354377,0.0030131
Colorado,comm,electricity,heating,electric furnace,2021,0.0178015,0.0015136
Colorado,comm,electricity,heating,electric heat pump,2021,0.0076123,6.472e-4
Colorado,comm,electricity,hot water,electric heat pump water heater,2021,1.13e-5,1e-6
Colorado,comm,electricity,hot water,electric resistance water heater,2021,0.0020991,1.785e-4
Colorado,comm,electricity,lighting,lighting,2021,0.0696092,0.0059186
Colorado,comm,electricity,office,office equipment,2021,0.1071889,0.0091139
Colorado,comm,electricity,others,electricity,2021,0.6025298,0.0512308
Colorado,comm,electricity,refrigeration,refrigeration,2021,0.0761696,0.0064764
Colorado,comm,electricity,ventilation,ventilation,2021,0.0644715,0.0054818
Colorado,comm,gas,cooking,gas range,2021,0.0624634,0.0040355
Colorado,comm,gas,cooling,gas cooling,2021,0.0020233,1.307e-4
Colorado,comm,gas,heating,gas furnace,2021,0.4987103,0.0322192
Colorado,comm,gas,hot water,gas water heater,2021,0.2052685,0.0132614
Colorado,comm,gas,others,gas,2021,0.2315345,0.0149583
Colorado,comm,refined liquids,heating,fuel furnace,2021,0.0399218,1.226e-4
Colorado,comm,refined liquids,hot water,fuel water heater,2021,1.074e-4,3e-7
Colorado,comm,refined liquids,others,refined liquids,2021,0.9599708,0.0029473
Colorado,resid,biomass,heating,wood furnace,2021,1,0.0114607
Colorado,resid,electricity,clothes dryers,clothes dryer,2021,0.0490588,0.0040296
Colorado,resid,electricity,clothes washers,clothes washer,2021,0.0084148,6.912e-4
