# File: EIA_tight_oil_production_mbbl_per_day.csv
# Title: EIA monthly tight oil production by play
# Comments: Estimates are given by oil play
# Units: million bbl per day
# Source: EIA https://www.eia.gov/petroleum/data.php#crude
# Column types: cnnnnnnnnnn
# ----------
Date,Eagle Ford (TX) ,Spraberry (TX Permian),Bakken (ND & MT),Wolfcamp (TX & NM Permian),Bonespring (TX & NM Permian),Niobrara-Codell (CO & WY),Mississippian (OK),Austin Chalk (LA & TX),Woodford (OK),Rest of US 'tight oil'
31-Jan-00,0,0.03,0.021,0.085,0.01,0.015,0.015,0.074,0,0.169
29-Feb-00,0,0.03,0.02,0.086,0.01,0.015,0.016,0.074,0,0.169
31-Mar-00,0,0.03,0.02,0.086,0.01,0.015,0.015,0.071,0,0.169
30-Apr-00,0,0.029,0.02,0.089,0.011,0.015,0.017,0.071,0.002,0.169
31-May-00,0,0.029,0.019,0.088,0.01,0.015,0.015,0.069,0,0.169
30-Jun-00,0,0.029,0.019,0.087,0.01,0.015,0.015,0.069,0,0.168
31-Jul-00,0,0.029,0.019,0.086,0.011,0.014,0.016,0.065,0,0.164
31-Aug-00,0,0.03,0.018,0.087,0.01,0.014,0.016,0.065,0,0.164
30-Sep-00,0,0.03,0.019,0.088,0.01,0.014,0.015,0.064,0,0.165
31-Oct-00,0,0.03,0.018,0.09,0.01,0.016,0.014,0.064,0,0.167
30-Nov-00,0,0.03,0.018,0.088,0.01,0.016,0.016,0.062,0,0.166
31-Dec-00,0,0.029,0.018,0.087,0.01,0.015,0.014,0.059,0,0.167
31-Jan-01,0,0.031,0.017,0.089,0.01,0.016,0.015,0.06,0,0.167
28-Feb-01,0,0.031,0.017,0.087,0.01,0.016,0.014,0.061,0,0.171
31-Mar-01,0,0.03,0.017,0.088,0.01,0.016,0.017,0.059,0,0.168
30-Apr-01,0,0.03,0.017,0.085,0.01,0.016,0.016,0.06,0,0.17
31-May-01,0,0.03,0.017,0.084,0.01,0.016,0.014,0.059,0.001,0.168
30-Jun-01,0,0.03,0.017,0.084,0.01,0.016,0.016,0.058,0.001,0.165
31-Jul-01,0,0.03,0.016,0.084,0.01,0.016,0.015,0.058,0.001,0.167
31-Aug-01,0,0.029,0.017,0.084,0.011,0.017,0.014,0.058,0.001,0.169
30-Sep-01,0,0.029,0.017,0.083,0.011,0.017,0.015,0.057,0,0.171
31-Oct-01,0,0.029,0.016,0.082,0.01,0.018,0.015,0.056,0.001,0.172
30-Nov-01,0,0.029,0.017,0.082,0.01,0.019,0.015,0.055,0,0.17
31-Dec-01,0,0.029,0.017,0.083,0.01,0.019,0.016,0.055,0,0.17
31-Jan-02,0,0.029,0.016,0.083,0.01,0.019,0.015,0.054,0,0.172
28-Feb-02,0,0.029,0.016,0.083,0.01,0.019,0.015,0.053,0,0.171
31-Mar-02,0,0.028,0.016,0.082,0.009,0.019,0.016,0.052,0,0.17
30-Apr-02,0,0.029,0.016,0.082,0.01,0.02,0.018,0.049,0,0.17
31-May-02,0,0.029,0.016,0.084,0.009,0.02,0.018,0.048,0,0.169
30-Jun-02,0,0.028,0.016,0.081,0.009,0.019,0.018,0.047,0,0.167
31-Jul-02,0,0.028,0.016,0.079,0.009,0.018,0.018,0.046,0,0.165
31-Aug-02,0,0.028,0.016,0.079,0.008,0.019,0.017,0.047,0,0.167
30-Sep-02,0,0.029,0.017,0.08,0.009,0.02,0.017,0.045,0,0.166
31-Oct-02,0,0.028,0.017,0.08,0.009,0.02,0.016,0.044,0,0.165
30-Nov-02,0,0.029,0.018,0.083,0.009,0.02,0.018,0.047,0,0.166
31-Dec-02,0,0.028,0.018,0.083,0.008,0.021,0.014,0.045,0,0.165
31-Jan-03,0,0.029,0.018,0.083,0.008,0.021,0.018,0.045,0,0.165
28-Feb-03,0,0.028,0.019,0.083,0.008,0.021,0.016,0.045,0,0.165
31-Mar-03,0,0.028,0.018,0.082,0.009,0.021,0.018,0.045,0.001,0.162
30-Apr-03,0,0.028,0.018,0.08,0.01,0.022,0.017,0.044,0,0.162
31-May-03,0,0.028,0.018,0.079,0.009,0.022,0.016,0.044,0.001,0.161
30-Jun-03,0,0.027,0.018,0.079,0.009,0.022,0.016,0.045,0.001,0.161
31-Jul-03,0,0.027,0.019,0.08,0.01,0.021,0.016,0.044,0,0.162
31-Aug-03,0,0.027,0.02,0.081,0.009,0.021,0.014,0.043,0,0.161
30-Sep-03,0,0.027,0.021,0.081,0.009,0.023,0.015,0.043,0,0.162
31-Oct-03,0,0.027,0.022,0.082,0.01,0.023,0.016,0.042,0.001,0.163
30-Nov-03,0,0.027,0.024,0.083,0.011,0.023,0.015,0.042,0,0.161
31-Dec-03,0,0.028,0.024,0.083,0.01,0.024,0.015,0.043,0.001,0.162
31-Jan-04,0,0.026,0.025,0.082,0.011,0.024,0.015,0.043,0.001,0.161
29-Feb-04,0,0.026,0.025,0.081,0.01,0.025,0.015,0.042,0.001,0.163
31-Mar-04,0,0.026,0.027,0.08,0.01,0.027,0.017,0.042,0.001,0.161
30-Apr-04,0,0.026,0.027,0.08,0.011,0.027,0.015,0.04,0.001,0.162
31-May-04,0,0.026,0.029,0.079,0.011,0.026,0.017,0.04,0.001,0.16
30-Jun-04,0,0.025,0.031,0.078,0.01,0.027,0.014,0.041,0,0.16
31-Jul-04,0,0.025,0.031,0.079,0.01,0.025,0.015,0.041,0,0.159
31-Aug-04,0,0.025,0.032,0.079,0.01,0.026,0.016,0.04,0,0.159
30-Sep-04,0,0.026,0.035,0.08,0.01,0.026,0.015,0.039,0.001,0.161
31-Oct-04,0,0.026,0.036,0.08,0.011,0.025,0.014,0.041,0.001,0.163
30-Nov-04,0,0.027,0.038,0.082,0.011,0.026,0.012,0.042,0.001,0.163
31-Dec-04,0,0.026,0.039,0.083,0.01,0.026,0.016,0.042,0.001,0.164
31-Jan-05,0,0.027,0.04,0.084,0.01,0.026,0.012,0.042,0.001,0.162
28-Feb-05,0,0.027,0.046,0.086,0.01,0.028,0.015,0.042,0.001,0.161
31-Mar-05,0,0.027,0.047,0.086,0.01,0.028,0.017,0.042,0.001,0.163
30-Apr-05,0,0.027,0.05,0.086,0.01,0.028,0.017,0.042,0.001,0.161
31-May-05,0,0.026,0.05,0.084,0.01,0.029,0.015,0.042,0.001,0.158
30-Jun-05,0,0.026,0.051,0.084,0.01,0.028,0.016,0.041,0.001,0.158
31-Jul-05,0,0.025,0.052,0.083,0.009,0.027,0.016,0.042,0.001,0.156
31-Aug-05,0,0.025,0.055,0.084,0.009,0.029,0.015,0.042,0.001,0.157
30-Sep-05,0,0.025,0.058,0.083,0.01,0.029,0.016,0.038,0,0.158
31-Oct-05,0,0.026,0.059,0.086,0.01,0.029,0.015,0.041,0.001,0.161
30-Nov-05,0,0.026,0.06,0.087,0.01,0.03,0.015,0.04,0.001,0.159
31-Dec-05,0,0.026,0.06,0.087,0.01,0.028,0.014,0.04,0,0.159
31-Jan-06,0,0.025,0.06,0.087,0.01,0.03,0.015,0.042,0.001,0.16
28-Feb-06,0,0.025,0.059,0.088,0.01,0.03,0.016,0.04,0,0.16
31-Mar-06,0,0.026,0.06,0.089,0.01,0.032,0.016,0.043,0,0.161
30-Apr-06,0,0.025,0.059,0.087,0.01,0.032,0.016,0.042,0,0.16
31-May-06,0,0.026,0.06,0.087,0.01,0.033,0.016,0.041,0,0.159
30-Jun-06,0,0.025,0.062,0.087,0.01,0.032,0.016,0.04,0,0.157
31-Jul-06,0,0.025,0.063,0.087,0.01,0.032,0.017,0.041,0,0.155
31-Aug-06,0,0.025,0.064,0.087,0.01,0.032,0.016,0.041,0,0.152
30-Sep-06,0,0.025,0.067,0.09,0.011,0.032,0.015,0.041,0.001,0.159
31-Oct-06,0,0.025,0.067,0.092,0.011,0.035,0.015,0.043,0,0.161
30-Nov-06,0,0.025,0.067,0.095,0.012,0.034,0.015,0.043,0,0.164
31-Dec-06,0,0.026,0.067,0.096,0.011,0.03,0.014,0.042,0,0.164
31-Jan-07,0,0.026,0.067,0.095,0.011,0.028,0.012,0.04,0.001,0.16
28-Feb-07,0,0.027,0.067,0.098,0.012,0.03,0.016,0.042,0.001,0.145
31-Mar-07,0,0.027,0.069,0.099,0.012,0.035,0.015,0.04,0.001,0.16
30-Apr-07,0,0.027,0.069,0.1,0.012,0.037,0.016,0.043,0.001,0.165
31-May-07,0,0.026,0.074,0.099,0.012,0.038,0.016,0.042,0.001,0.165
30-Jun-07,0,0.026,0.073,0.099,0.012,0.036,0.015,0.042,0.001,0.163
