# File: EIA_gas_market_wellhead_price_states.csv
# Title: US Natural Gas Wellhead Price by state
# Units: Dollars per Thousand Cubic Feet (nominal dollar)
# Source: EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_FWA_DMcf_a.htm
# Comments: release data Feb 28 2023
# Column types: innnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Alabama Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Alaska Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Arizona Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Arkansas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),California Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Colorado Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Florida Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Illinois Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Indiana Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Kansas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Kentucky Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Louisiana Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Maryland Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Michigan Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Mississippi Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Missouri Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Montana Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Nebraska Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Nevada Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),New Mexico Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),New York Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),North Dakota Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Ohio Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Oklahoma Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Oregon Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Pennsylvania Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),South Dakota Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Tennessee Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Texas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Utah Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Virginia Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),West Virginia Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Wyoming Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Texas--RRC District 8A Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 9 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 10 Coalbed Methane Production (Billion Cubic Feet),Texas--State Offshore Coalbed Methane Production (Billion Cubic Feet),Utah Coalbed Methane Production (Billion Cubic Feet),Virginia Coalbed Methane Production (Billion Cubic Feet),West Virginia Coalbed Methane Production (Billion Cubic Feet),Wyoming Coalbed Methane Production (Billion Cubic Feet),Lower 48 Federal Offshore Coalbed Methane Production (Billion Cubic Feet),Lower 48 States Coalbed Methane Production (Billion Cubic Feet),Eastern States Coalbed Methane Production (Billion Cubic Feet),Western States Coalbed Methane Production (Billion Cubic Feet),"Other States Natural Gas Coalbed Methane, Reserves Based Production (Bcf)"
1922,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1923,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1924,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1925,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1926,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
1927,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
1928,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
1929,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
1930,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
1931,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
1932,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
1933,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,133,,,58,4,
1934,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,278,,,69,14,
1935,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,302,,,68,33,
1936,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,344,,,71,51,
1937,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,320,,,72,77,0
1938,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,75,56,30,336,0,1732,90,89,
1939,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,66,81,18,378,0,1758,24,108,
1940,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,73,85,25,401,0,1753,1,0,
1941,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,71,101,28,573,0,1966,1,0,
1942,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,71,111,31,535,0,1914,,,
1943,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,66,97,17,566,0,1886,,,
1944,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,60,100,18,506,0,1763,,,
1945,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,55,99,9,426,0,1655,,,
1946,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,50,93,8,331,0,1466,,,
1947,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,47,108,11,264,0,1404,,,
1948,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,42,106,11,207,0,1269,,,
1949,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,39,102,9,143,0,1020,,,
1950,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,36,99,7,135,0,980,,,
1951,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,0.16,0.13,0.25,0.15,0.15,0.3,0.13,0.15,0.12,0.23,0.13,0.24,0.19,0.26,0.25,0.17,0.25,0.08,0.17,,0.13,0.31,0.16,0.24,0.14,,0.28,,0.19,0.13,0.13,0.3,0.24,0.15,,,,,,,,,,,,,
1968,0.16,0.13,0.25,0.16,0.16,0.31,0.13,0.15,0.13,0.24,0.14,0.25,0.19,0.26,0.25,0.17,0.29,0.09,0.18,,0.13,0.3,0.17,0.25,0.14,,0.28,,0.19,0.14,0.16,0.3,0.26,0.15,,,,,,,,,,,,,
1969,0.17,0.13,0.25,0.18,0.16,0.31,0.14,0.16,0.14,0.23,0.14,0.25,0.19,0.25,0.26,0.18,0.13,0.1,0.17,,0.14,0.3,0.16,0.26,0.15,,0.28,,0.19,0.14,0.15,0.3,0.27,0.15,,,,,,,,,,,,,
1970,0.17,0.14,0.25,0.17,0.16,0.32,0.15,,0.16,0.24,0.14,0.25,0.19,0.25,0.27,0.18,0.24,0.1,0.17,,0.14,0.3,0.16,0.27,0.16,,0.28,,0.2,0.14,0.15,0.31,0.25,0.15,,,,,,,,,,,,,
1971,0.18,0.15,0.24,0.18,0.17,0.33,0.16,0.3,0.18,0.25,0.14,0.25,0.2,0.24,0.26,0.21,0.23,0.12,0.18,,0.15,0.3,0.17,0.34,0.16,,0.27,,0.22,0.16,0.17,0.31,0.26,0.15,,,,,,,,,,,,,
1972,0.19,0.35,0.15,0.18,0.17,0.37,0.16,0.32,0.28,0.15,0.14,0.25,0.2,0.21,0.31,0.27,0.22,0.12,0.18,,0.19,0.33,0.17,0.39,0.16,,0.3,,0.32,0.16,0.17,0.32,0.3,0.16,,,,,,,,,,,,,
1973,0.22,0.38,0.15,0.18,0.18,0.37,0.18,0.34,0.35,0.14,0.16,0.35,0.22,0.23,0.39,0.23,0.24,0.24,0.18,,0.24,0.35,0.2,0.43,0.19,,0.42,,0.3,0.2,0.19,0.33,0.31,0.18,,,,,,,,,,,,,
