IO coefficients,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959

Secondary output,,,,,,,,,,,,,
TABLE NOT READ,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2015,,,,,,,,,,,,,
,,,,,output-ratio,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095

Non-energy costs,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2020,,,,,,,,,,,,,
,,,,,input-cost,,,,,,,,
region,supplysector,subsector,technology,minicam-non-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,non-energy,3.50,3.50,3.50,3.50,3.45,3.40,3.35,3.30,3.25
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,non-energy,2.40,2.40,2.40,2.40,2.36,2.33,2.29,2.26,2.23
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,non-energy,3.50,3.50,3.50,3.50,3.45,3.40,3.35,3.30,3.25
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,non-energy,2.40,2.40,2.40,2.40,2.36,2.33,2.29,2.26,2.23

Logit exponent,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2030,,,,,,,,,,,,
,,,,logitexp,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,-24,-24,-24,-24,-24,-24,-24,-24,-24
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,-24,-24,-24,-24,-24,-24,-24,-24,-24
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,-24,-24,-24,-24,-24,-24,-24,-24,-24
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,-24,-24,-24,-24,-24,-24,-24,-24,-24

CCS Parameters,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2050,,,,standard-capture-component,,,,,,,,
,,,,storage-market,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage

INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2051,,,,standard-capture-component,,,,,,,,
,,,,remove-fraction,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
