INPUT_TABLE
Variable ID
InputEmissionsUnmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,Non.CO2,input.emissions
USA,UnmanagedLand,ForestFiresAEZ07,ForestFiresAEZ07,1975,SO2_1,1.84646033485075e-05
USA,UnmanagedLand,ForestFiresAEZ08,ForestFiresAEZ08,1975,SO2_1,2.59351943431527e-05
USA,UnmanagedLand,ForestFiresAEZ09,ForestFiresAEZ09,1975,SO2_1,1.49528061263862e-05
USA,UnmanagedLand,ForestFiresAEZ10,ForestFiresAEZ10,1975,SO2_1,6.33588187532529e-05
USA,UnmanagedLand,ForestFiresAEZ11,ForestFiresAEZ11,1975,SO2_1,4.75051995391564e-05
USA,UnmanagedLand,ForestFiresAEZ12,ForestFiresAEZ12,1975,SO2_1,6.52639309239021e-05
USA,UnmanagedLand,ForestFiresAEZ13,ForestFiresAEZ13,1975,SO2_1,2.36619007253655e-05
USA,UnmanagedLand,ForestFiresAEZ14,ForestFiresAEZ14,1975,SO2_1,8.15804315049048e-05
USA,UnmanagedLand,ForestFiresAEZ15,ForestFiresAEZ15,1975,SO2_1,6.67516170593492e-05
USA,UnmanagedLand,ForestFiresAEZ16,ForestFiresAEZ16,1975,SO2_1,3.52549767602258e-06
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ForestFiresAEZ01,1975,SO2_3,4.8703514243221e-06
Africa_Eastern,UnmanagedLand,ForestFiresAEZ02,ForestFiresAEZ02,1975,SO2_3,1.33875999392586e-05
Africa_Eastern,UnmanagedLand,ForestFiresAEZ03,ForestFiresAEZ03,1975,SO2_3,3.13383208053246e-05
Africa_Eastern,UnmanagedLand,ForestFiresAEZ04,ForestFiresAEZ04,1975,SO2_3,3.12768260516348e-05
Africa_Eastern,UnmanagedLand,ForestFiresAEZ05,ForestFiresAEZ05,1975,SO2_3,8.78036250913843e-05
Africa_Eastern,UnmanagedLand,ForestFiresAEZ06,ForestFiresAEZ06,1975,SO2_3,0.000185354544485811
Africa_Eastern,UnmanagedLand,ForestFiresAEZ07,ForestFiresAEZ07,1975,SO2_3,0
Africa_Eastern,UnmanagedLand,ForestFiresAEZ08,ForestFiresAEZ08,1975,SO2_3,2.82054637490532e-07
Africa_Eastern,UnmanagedLand,ForestFiresAEZ09,ForestFiresAEZ09,1975,SO2_3,2.43186746130133e-06
