INPUT_TABLE
Variable ID
GlobalTechShrwt

sector.name,subsector.name,technology,year,share.weight
urban processes,landfills,landfills,1975,1
urban processes,wastewater treatment,wastewater treatment,1975,1
urban processes,aerosols,aerosols,1975,1
urban processes,fire_exting,fire_exting,1975,1
industrial processes,adipic acid,adipic acid,1975,1
industrial processes,nitric acid,nitric acid,1975,1
industrial processes,foams,foams,1975,1
industrial processes,solvents,solvents,1975,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,1975,1
industrial processes,semiconductors,semiconductors,1975,1
industrial processes,Al_Mg,Al_Mg,1975,1
industrial processes,other industrial processes,other industrial processes,1975,1
urban processes,landfills,landfills,1990,1
urban processes,wastewater treatment,wastewater treatment,1990,1
urban processes,aerosols,aerosols,1990,1
urban processes,fire_exting,fire_exting,1990,1
industrial processes,adipic acid,adipic acid,1990,1
industrial processes,nitric acid,nitric acid,1990,1
industrial processes,foams,foams,1990,1
industrial processes,solvents,solvents,1990,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,1990,1
industrial processes,semiconductors,semiconductors,1990,1
industrial processes,Al_Mg,Al_Mg,1990,1
industrial processes,other industrial processes,other industrial processes,1990,1
urban processes,landfills,landfills,2005,1
urban processes,wastewater treatment,wastewater treatment,2005,1
urban processes,aerosols,aerosols,2005,1
urban processes,fire_exting,fire_exting,2005,1
industrial processes,adipic acid,adipic acid,2005,1
industrial processes,nitric acid,nitric acid,2005,1
industrial processes,foams,foams,2005,1
industrial processes,solvents,solvents,2005,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2005,1
industrial processes,semiconductors,semiconductors,2005,1
industrial processes,Al_Mg,Al_Mg,2005,1
industrial processes,other industrial processes,other industrial processes,2005,1
urban processes,landfills,landfills,2010,1
urban processes,wastewater treatment,wastewater treatment,2010,1
urban processes,aerosols,aerosols,2010,1
urban processes,fire_exting,fire_exting,2010,1
industrial processes,adipic acid,adipic acid,2010,1
industrial processes,nitric acid,nitric acid,2010,1
industrial processes,foams,foams,2010,1
industrial processes,solvents,solvents,2010,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2010,1
industrial processes,semiconductors,semiconductors,2010,1
industrial processes,Al_Mg,Al_Mg,2010,1
industrial processes,other industrial processes,other industrial processes,2010,1
urban processes,landfills,landfills,2015,1
urban processes,wastewater treatment,wastewater treatment,2015,1
urban processes,aerosols,aerosols,2015,1
urban processes,fire_exting,fire_exting,2015,1
industrial processes,adipic acid,adipic acid,2015,1
industrial processes,nitric acid,nitric acid,2015,1
industrial processes,foams,foams,2015,1
industrial processes,solvents,solvents,2015,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2015,1
industrial processes,semiconductors,semiconductors,2015,1
industrial processes,Al_Mg,Al_Mg,2015,1
industrial processes,other industrial processes,other industrial processes,2015,1
urban processes,landfills,landfills,2020,1
urban processes,wastewater treatment,wastewater treatment,2020,1
urban processes,aerosols,aerosols,2020,1
urban processes,fire_exting,fire_exting,2020,1
industrial processes,adipic acid,adipic acid,2020,1
industrial processes,nitric acid,nitric acid,2020,1
industrial processes,foams,foams,2020,1
industrial processes,solvents,solvents,2020,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2020,1
industrial processes,semiconductors,semiconductors,2020,1
industrial processes,Al_Mg,Al_Mg,2020,1
industrial processes,other industrial processes,other industrial processes,2020,1
urban processes,landfills,landfills,2025,1
urban processes,wastewater treatment,wastewater treatment,2025,1
urban processes,aerosols,aerosols,2025,1
urban processes,fire_exting,fire_exting,2025,1
industrial processes,adipic acid,adipic acid,2025,1
industrial processes,nitric acid,nitric acid,2025,1
industrial processes,foams,foams,2025,1
industrial processes,solvents,solvents,2025,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2025,1
industrial processes,semiconductors,semiconductors,2025,1
industrial processes,Al_Mg,Al_Mg,2025,1
industrial processes,other industrial processes,other industrial processes,2025,1
urban processes,landfills,landfills,2030,1
urban processes,wastewater treatment,wastewater treatment,2030,1
urban processes,aerosols,aerosols,2030,1
urban processes,fire_exting,fire_exting,2030,1
industrial processes,adipic acid,adipic acid,2030,1
industrial processes,nitric acid,nitric acid,2030,1
industrial processes,foams,foams,2030,1
industrial processes,solvents,solvents,2030,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2030,1
industrial processes,semiconductors,semiconductors,2030,1
industrial processes,Al_Mg,Al_Mg,2030,1
industrial processes,other industrial processes,other industrial processes,2030,1
urban processes,landfills,landfills,2035,1
urban processes,wastewater treatment,wastewater treatment,2035,1
urban processes,aerosols,aerosols,2035,1
urban processes,fire_exting,fire_exting,2035,1
industrial processes,adipic acid,adipic acid,2035,1
industrial processes,nitric acid,nitric acid,2035,1
industrial processes,foams,foams,2035,1
industrial processes,solvents,solvents,2035,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2035,1
industrial processes,semiconductors,semiconductors,2035,1
industrial processes,Al_Mg,Al_Mg,2035,1
industrial processes,other industrial processes,other industrial processes,2035,1
urban processes,landfills,landfills,2040,1
urban processes,wastewater treatment,wastewater treatment,2040,1
urban processes,aerosols,aerosols,2040,1
urban processes,fire_exting,fire_exting,2040,1
