INPUT_TABLE
Variable ID
StubTechCalInputIndUrb

region,sector.name,subsector.name,technology,year,minicam.energy.input,calibrated.value
Africa_Eastern,urban processes,landfills,landfills,1975,misc emissions sources,0.001
Africa_Eastern,urban processes,wastewater treatment,wastewater treatment,1975,misc emissions sources,0.001
Africa_Eastern,urban processes,aerosols,aerosols,1975,misc emissions sources,0.001
Africa_Eastern,urban processes,fire_exting,fire_exting,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,adipic acid,adipic acid,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,nitric acid,nitric acid,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,foams,foams,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,solvents,solvents,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,semiconductors,semiconductors,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,misc emissions sources,0.001
Africa_Eastern,industrial processes,other industrial processes,other industrial processes,1975,misc emissions sources,0.001
Africa_Eastern,urban processes,landfills,landfills,1990,misc emissions sources,0.001
Africa_Eastern,urban processes,wastewater treatment,wastewater treatment,1990,misc emissions sources,0.001
Africa_Eastern,urban processes,aerosols,aerosols,1990,misc emissions sources,0.001
Africa_Eastern,urban processes,fire_exting,fire_exting,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,adipic acid,adipic acid,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,nitric acid,nitric acid,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,foams,foams,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,solvents,solvents,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,semiconductors,semiconductors,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1990,misc emissions sources,0.001
Africa_Eastern,industrial processes,other industrial processes,other industrial processes,1990,misc emissions sources,0.001
Africa_Eastern,urban processes,landfills,landfills,2005,misc emissions sources,0.001
Africa_Eastern,urban processes,wastewater treatment,wastewater treatment,2005,misc emissions sources,0.001
Africa_Eastern,urban processes,aerosols,aerosols,2005,misc emissions sources,0.001
Africa_Eastern,urban processes,fire_exting,fire_exting,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,adipic acid,adipic acid,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,nitric acid,nitric acid,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,foams,foams,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,solvents,solvents,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,semiconductors,semiconductors,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,2005,misc emissions sources,0.001
Africa_Eastern,industrial processes,other industrial processes,other industrial processes,2005,misc emissions sources,0.001
Africa_Eastern,urban processes,landfills,landfills,2010,misc emissions sources,0.001
Africa_Eastern,urban processes,wastewater treatment,wastewater treatment,2010,misc emissions sources,0.001
Africa_Eastern,urban processes,aerosols,aerosols,2010,misc emissions sources,0.001
Africa_Eastern,urban processes,fire_exting,fire_exting,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,adipic acid,adipic acid,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,nitric acid,nitric acid,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,foams,foams,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,solvents,solvents,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,semiconductors,semiconductors,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,2010,misc emissions sources,0.001
Africa_Eastern,industrial processes,other industrial processes,other industrial processes,2010,misc emissions sources,0.001
Africa_Northern,urban processes,landfills,landfills,1975,misc emissions sources,0.001
Africa_Northern,urban processes,wastewater treatment,wastewater treatment,1975,misc emissions sources,0.001
Africa_Northern,urban processes,aerosols,aerosols,1975,misc emissions sources,0.001
Africa_Northern,urban processes,fire_exting,fire_exting,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,adipic acid,adipic acid,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,nitric acid,nitric acid,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,foams,foams,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,solvents,solvents,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,semiconductors,semiconductors,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,misc emissions sources,0.001
Africa_Northern,industrial processes,other industrial processes,other industrial processes,1975,misc emissions sources,0.001
Africa_Northern,urban processes,landfills,landfills,1990,misc emissions sources,0.001
Africa_Northern,urban processes,wastewater treatment,wastewater treatment,1990,misc emissions sources,0.001
Africa_Northern,urban processes,aerosols,aerosols,1990,misc emissions sources,0.001
Africa_Northern,urban processes,fire_exting,fire_exting,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,adipic acid,adipic acid,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,nitric acid,nitric acid,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,foams,foams,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,solvents,solvents,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,semiconductors,semiconductors,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1990,misc emissions sources,0.001
Africa_Northern,industrial processes,other industrial processes,other industrial processes,1990,misc emissions sources,0.001
Africa_Northern,urban processes,landfills,landfills,2005,misc emissions sources,0.001
Africa_Northern,urban processes,wastewater treatment,wastewater treatment,2005,misc emissions sources,0.001
Africa_Northern,urban processes,aerosols,aerosols,2005,misc emissions sources,0.001
Africa_Northern,urban processes,fire_exting,fire_exting,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,adipic acid,adipic acid,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,nitric acid,nitric acid,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,foams,foams,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,solvents,solvents,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,semiconductors,semiconductors,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,Al_Mg,Al_Mg,2005,misc emissions sources,0.001
Africa_Northern,industrial processes,other industrial processes,other industrial processes,2005,misc emissions sources,0.001
Africa_Northern,urban processes,landfills,landfills,2010,misc emissions sources,0.001
Africa_Northern,urban processes,wastewater treatment,wastewater treatment,2010,misc emissions sources,0.001
Africa_Northern,urban processes,aerosols,aerosols,2010,misc emissions sources,0.001
Africa_Northern,urban processes,fire_exting,fire_exting,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,adipic acid,adipic acid,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,nitric acid,nitric acid,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,foams,foams,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,solvents,solvents,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,semiconductors,semiconductors,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,Al_Mg,Al_Mg,2010,misc emissions sources,0.001
Africa_Northern,industrial processes,other industrial processes,other industrial processes,2010,misc emissions sources,0.001
Africa_Southern,urban processes,landfills,landfills,1975,misc emissions sources,0.001
Africa_Southern,urban processes,wastewater treatment,wastewater treatment,1975,misc emissions sources,0.001
Africa_Southern,urban processes,aerosols,aerosols,1975,misc emissions sources,0.001
Africa_Southern,urban processes,fire_exting,fire_exting,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,adipic acid,adipic acid,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,nitric acid,nitric acid,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,foams,foams,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,solvents,solvents,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,semiconductors,semiconductors,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,misc emissions sources,0.001
Africa_Southern,industrial processes,other industrial processes,other industrial processes,1975,misc emissions sources,0.001
Africa_Southern,urban processes,landfills,landfills,1990,misc emissions sources,0.001
Africa_Southern,urban processes,wastewater treatment,wastewater treatment,1990,misc emissions sources,0.001
Africa_Southern,urban processes,aerosols,aerosols,1990,misc emissions sources,0.001
Africa_Southern,urban processes,fire_exting,fire_exting,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,adipic acid,adipic acid,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,nitric acid,nitric acid,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,foams,foams,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,solvents,solvents,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,semiconductors,semiconductors,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1990,misc emissions sources,0.001
Africa_Southern,industrial processes,other industrial processes,other industrial processes,1990,misc emissions sources,0.001
Africa_Southern,urban processes,landfills,landfills,2005,misc emissions sources,0.001
Africa_Southern,urban processes,wastewater treatment,wastewater treatment,2005,misc emissions sources,0.001
Africa_Southern,urban processes,aerosols,aerosols,2005,misc emissions sources,0.001
Africa_Southern,urban processes,fire_exting,fire_exting,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,adipic acid,adipic acid,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,nitric acid,nitric acid,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,foams,foams,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,solvents,solvents,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,HCFC_22_Prod,HCFC_22_Prod,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,semiconductors,semiconductors,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,Al_Mg,Al_Mg,2005,misc emissions sources,0.001
Africa_Southern,industrial processes,other industrial processes,other industrial processes,2005,misc emissions sources,0.001
Africa_Southern,urban processes,landfills,landfills,2010,misc emissions sources,0.001
Africa_Southern,urban processes,wastewater treatment,wastewater treatment,2010,misc emissions sources,0.001
Africa_Southern,urban processes,aerosols,aerosols,2010,misc emissions sources,0.001
Africa_Southern,urban processes,fire_exting,fire_exting,2010,misc emissions sources,0.001
Africa_Southern,industrial processes,adipic acid,adipic acid,2010,misc emissions sources,0.001
