INPUT_TABLE
Variable ID
InputEmissCoeff

region,supplysector,subsector,stub.technology,year,Non.CO2,emiss.coeff
Africa_Eastern,refining,coal to liquids,coal to liquids,2015,SO2_3,0.01
Africa_Eastern,refining,coal to liquids,coal to liquids CCS level 1,2015,SO2_3,0.01
Africa_Eastern,refining,coal to liquids,coal to liquids CCS level 2,2015,SO2_3,0.01
Africa_Eastern,refining,gas to liquids,gas to liquids,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,cellulosic ethanol,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,cellulosic ethanol CCS level 1,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,cellulosic ethanol CCS level 2,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,FT biofuels,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,corn ethanol,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,sugar cane ethanol,2015,SO2_3,0.01
Africa_Eastern,refining,biomass liquids,biodiesel,2015,SO2_3,0.01
Africa_Eastern,electricity,coal,coal (IGCC),2015,SO2_3,0.001
Africa_Eastern,electricity,coal,coal (IGCC CCS),2015,SO2_3,0.001
Africa_Eastern,electricity,gas,gas (CC),2015,SO2_3,0.001
Africa_Eastern,electricity,gas,gas (CC CCS),2015,SO2_3,0.001
Africa_Eastern,electricity,refined liquids,refined liquids (IGCC),2015,SO2_3,0.001
Africa_Eastern,electricity,refined liquids,refined liquids (IGCC CCS),2015,SO2_3,0.001
Africa_Eastern,electricity,biomass,biomass (IGCC),2015,SO2_3,0.001
Africa_Eastern,electricity,biomass,biomass (IGCC CCS),2015,SO2_3,0.001
Africa_Eastern,H2 central production,coal,coal chemical,2015,SO2_3,0.01
Africa_Eastern,H2 central production,coal,coal chemical CCS,2015,SO2_3,0.01
Africa_Eastern,H2 central production,biomass,biomass to H2,2015,SO2_3,0.01
Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2015,SO2_3,0.01
Africa_Northern,refining,coal to liquids,coal to liquids,2015,SO2_3,0.01
Africa_Northern,refining,coal to liquids,coal to liquids CCS level 1,2015,SO2_3,0.01
Africa_Northern,refining,coal to liquids,coal to liquids CCS level 2,2015,SO2_3,0.01
Africa_Northern,refining,gas to liquids,gas to liquids,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,cellulosic ethanol,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,cellulosic ethanol CCS level 1,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,cellulosic ethanol CCS level 2,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,FT biofuels,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,FT biofuels CCS level 1,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,FT biofuels CCS level 2,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,corn ethanol,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,sugar cane ethanol,2015,SO2_3,0.01
Africa_Northern,refining,biomass liquids,biodiesel,2015,SO2_3,0.01
Africa_Northern,electricity,coal,coal (IGCC),2015,SO2_3,0.001
Africa_Northern,electricity,coal,coal (IGCC CCS),2015,SO2_3,0.001
Africa_Northern,electricity,gas,gas (CC),2015,SO2_3,0.001
Africa_Northern,electricity,gas,gas (CC CCS),2015,SO2_3,0.001
Africa_Northern,electricity,refined liquids,refined liquids (IGCC),2015,SO2_3,0.001
Africa_Northern,electricity,refined liquids,refined liquids (IGCC CCS),2015,SO2_3,0.001
Africa_Northern,electricity,biomass,biomass (IGCC),2015,SO2_3,0.001
Africa_Northern,electricity,biomass,biomass (IGCC CCS),2015,SO2_3,0.001
Africa_Northern,H2 central production,coal,coal chemical,2015,SO2_3,0.01
Africa_Northern,H2 central production,coal,coal chemical CCS,2015,SO2_3,0.01
Africa_Northern,H2 central production,biomass,biomass to H2,2015,SO2_3,0.01
Africa_Northern,H2 central production,biomass,biomass to H2 CCS,2015,SO2_3,0.01
Africa_Southern,refining,coal to liquids,coal to liquids,2015,SO2_3,0.01
Africa_Southern,refining,coal to liquids,coal to liquids CCS level 1,2015,SO2_3,0.01
Africa_Southern,refining,coal to liquids,coal to liquids CCS level 2,2015,SO2_3,0.01
Africa_Southern,refining,gas to liquids,gas to liquids,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,cellulosic ethanol,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,cellulosic ethanol CCS level 1,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,cellulosic ethanol CCS level 2,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,FT biofuels,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,FT biofuels CCS level 1,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,FT biofuels CCS level 2,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,corn ethanol,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,sugar cane ethanol,2015,SO2_3,0.01
Africa_Southern,refining,biomass liquids,biodiesel,2015,SO2_3,0.01
Africa_Southern,electricity,coal,coal (IGCC),2015,SO2_3,0.001
Africa_Southern,electricity,coal,coal (IGCC CCS),2015,SO2_3,0.001
Africa_Southern,electricity,gas,gas (CC),2015,SO2_3,0.001
Africa_Southern,electricity,gas,gas (CC CCS),2015,SO2_3,0.001
Africa_Southern,electricity,refined liquids,refined liquids (IGCC),2015,SO2_3,0.001
Africa_Southern,electricity,refined liquids,refined liquids (IGCC CCS),2015,SO2_3,0.001
Africa_Southern,electricity,biomass,biomass (IGCC),2015,SO2_3,0.001
Africa_Southern,electricity,biomass,biomass (IGCC CCS),2015,SO2_3,0.001
Africa_Southern,H2 central production,coal,coal chemical,2015,SO2_3,0.01
Africa_Southern,H2 central production,coal,coal chemical CCS,2015,SO2_3,0.01
Africa_Southern,H2 central production,biomass,biomass to H2,2015,SO2_3,0.01
Africa_Southern,H2 central production,biomass,biomass to H2 CCS,2015,SO2_3,0.01
Africa_Western,refining,coal to liquids,coal to liquids,2015,SO2_3,0.01
Africa_Western,refining,coal to liquids,coal to liquids CCS level 1,2015,SO2_3,0.01
Africa_Western,refining,coal to liquids,coal to liquids CCS level 2,2015,SO2_3,0.01
Africa_Western,refining,gas to liquids,gas to liquids,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,cellulosic ethanol,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,cellulosic ethanol CCS level 1,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,cellulosic ethanol CCS level 2,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,FT biofuels,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,FT biofuels CCS level 1,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,FT biofuels CCS level 2,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,corn ethanol,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,sugar cane ethanol,2015,SO2_3,0.01
Africa_Western,refining,biomass liquids,biodiesel,2015,SO2_3,0.01
Africa_Western,electricity,coal,coal (IGCC),2015,SO2_3,0.001
Africa_Western,electricity,coal,coal (IGCC CCS),2015,SO2_3,0.001
Africa_Western,electricity,gas,gas (CC),2015,SO2_3,0.001
Africa_Western,electricity,gas,gas (CC CCS),2015,SO2_3,0.001
Africa_Western,electricity,refined liquids,refined liquids (IGCC),2015,SO2_3,0.001
Africa_Western,electricity,refined liquids,refined liquids (IGCC CCS),2015,SO2_3,0.001
Africa_Western,electricity,biomass,biomass (IGCC),2015,SO2_3,0.001
Africa_Western,electricity,biomass,biomass (IGCC CCS),2015,SO2_3,0.001
