INPUT_TABLE
Variable ID
StubTech

region,supplysector,subsector,stub.technology
USA,urban processes,landfills,landfills
USA,urban processes,wastewater treatment,wastewater treatment
USA,urban processes,aerosols,aerosols
USA,urban processes,fire_exting,fire_exting
USA,industrial processes,adipic acid,adipic acid
USA,industrial processes,nitric acid,nitric acid
USA,industrial processes,foams,foams
USA,industrial processes,solvents,solvents
USA,industrial processes,HCFC_22_Prod,HCFC_22_Prod
USA,industrial processes,semiconductors,semiconductors
USA,industrial processes,Al_Mg,Al_Mg
USA,industrial processes,other industrial processes,other industrial processes
Africa_Eastern,urban processes,landfills,landfills
Africa_Eastern,urban processes,wastewater treatment,wastewater treatment
Africa_Eastern,urban processes,aerosols,aerosols
Africa_Eastern,urban processes,fire_exting,fire_exting
Africa_Eastern,industrial processes,adipic acid,adipic acid
Africa_Eastern,industrial processes,nitric acid,nitric acid
Africa_Eastern,industrial processes,foams,foams
Africa_Eastern,industrial processes,solvents,solvents
Africa_Eastern,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Africa_Eastern,industrial processes,semiconductors,semiconductors
Africa_Eastern,industrial processes,Al_Mg,Al_Mg
Africa_Eastern,industrial processes,other industrial processes,other industrial processes
Africa_Northern,urban processes,landfills,landfills
Africa_Northern,urban processes,wastewater treatment,wastewater treatment
Africa_Northern,urban processes,aerosols,aerosols
Africa_Northern,urban processes,fire_exting,fire_exting
Africa_Northern,industrial processes,adipic acid,adipic acid
Africa_Northern,industrial processes,nitric acid,nitric acid
Africa_Northern,industrial processes,foams,foams
Africa_Northern,industrial processes,solvents,solvents
Africa_Northern,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Africa_Northern,industrial processes,semiconductors,semiconductors
Africa_Northern,industrial processes,Al_Mg,Al_Mg
Africa_Northern,industrial processes,other industrial processes,other industrial processes
Africa_Southern,urban processes,landfills,landfills
Africa_Southern,urban processes,wastewater treatment,wastewater treatment
Africa_Southern,urban processes,aerosols,aerosols
Africa_Southern,urban processes,fire_exting,fire_exting
Africa_Southern,industrial processes,adipic acid,adipic acid
Africa_Southern,industrial processes,nitric acid,nitric acid
Africa_Southern,industrial processes,foams,foams
Africa_Southern,industrial processes,solvents,solvents
Africa_Southern,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Africa_Southern,industrial processes,semiconductors,semiconductors
Africa_Southern,industrial processes,Al_Mg,Al_Mg
Africa_Southern,industrial processes,other industrial processes,other industrial processes
Africa_Western,urban processes,landfills,landfills
Africa_Western,urban processes,wastewater treatment,wastewater treatment
Africa_Western,urban processes,aerosols,aerosols
Africa_Western,urban processes,fire_exting,fire_exting
Africa_Western,industrial processes,adipic acid,adipic acid
Africa_Western,industrial processes,nitric acid,nitric acid
Africa_Western,industrial processes,foams,foams
Africa_Western,industrial processes,solvents,solvents
Africa_Western,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Africa_Western,industrial processes,semiconductors,semiconductors
Africa_Western,industrial processes,Al_Mg,Al_Mg
Africa_Western,industrial processes,other industrial processes,other industrial processes
Australia_NZ,urban processes,landfills,landfills
Australia_NZ,urban processes,wastewater treatment,wastewater treatment
Australia_NZ,urban processes,aerosols,aerosols
Australia_NZ,urban processes,fire_exting,fire_exting
Australia_NZ,industrial processes,adipic acid,adipic acid
Australia_NZ,industrial processes,nitric acid,nitric acid
Australia_NZ,industrial processes,foams,foams
Australia_NZ,industrial processes,solvents,solvents
Australia_NZ,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Australia_NZ,industrial processes,semiconductors,semiconductors
Australia_NZ,industrial processes,Al_Mg,Al_Mg
Australia_NZ,industrial processes,other industrial processes,other industrial processes
Brazil,urban processes,landfills,landfills
Brazil,urban processes,wastewater treatment,wastewater treatment
Brazil,urban processes,aerosols,aerosols
Brazil,urban processes,fire_exting,fire_exting
Brazil,industrial processes,adipic acid,adipic acid
Brazil,industrial processes,nitric acid,nitric acid
Brazil,industrial processes,foams,foams
Brazil,industrial processes,solvents,solvents
Brazil,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Brazil,industrial processes,semiconductors,semiconductors
Brazil,industrial processes,Al_Mg,Al_Mg
Brazil,industrial processes,other industrial processes,other industrial processes
Canada,urban processes,landfills,landfills
Canada,urban processes,wastewater treatment,wastewater treatment
Canada,urban processes,aerosols,aerosols
Canada,urban processes,fire_exting,fire_exting
Canada,industrial processes,adipic acid,adipic acid
Canada,industrial processes,nitric acid,nitric acid
Canada,industrial processes,foams,foams
Canada,industrial processes,solvents,solvents
Canada,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Canada,industrial processes,semiconductors,semiconductors
Canada,industrial processes,Al_Mg,Al_Mg
Canada,industrial processes,other industrial processes,other industrial processes
Central America and Caribbean,urban processes,landfills,landfills
Central America and Caribbean,urban processes,wastewater treatment,wastewater treatment
Central America and Caribbean,urban processes,aerosols,aerosols
Central America and Caribbean,urban processes,fire_exting,fire_exting
Central America and Caribbean,industrial processes,adipic acid,adipic acid
Central America and Caribbean,industrial processes,nitric acid,nitric acid
Central America and Caribbean,industrial processes,foams,foams
Central America and Caribbean,industrial processes,solvents,solvents
Central America and Caribbean,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Central America and Caribbean,industrial processes,semiconductors,semiconductors
Central America and Caribbean,industrial processes,Al_Mg,Al_Mg
Central America and Caribbean,industrial processes,other industrial processes,other industrial processes
Central Asia,urban processes,landfills,landfills
Central Asia,urban processes,wastewater treatment,wastewater treatment
Central Asia,urban processes,aerosols,aerosols
Central Asia,urban processes,fire_exting,fire_exting
Central Asia,industrial processes,adipic acid,adipic acid
Central Asia,industrial processes,nitric acid,nitric acid
Central Asia,industrial processes,foams,foams
Central Asia,industrial processes,solvents,solvents
Central Asia,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Central Asia,industrial processes,semiconductors,semiconductors
Central Asia,industrial processes,Al_Mg,Al_Mg
Central Asia,industrial processes,other industrial processes,other industrial processes
China,urban processes,landfills,landfills
China,urban processes,wastewater treatment,wastewater treatment
China,urban processes,aerosols,aerosols
China,urban processes,fire_exting,fire_exting
China,industrial processes,adipic acid,adipic acid
China,industrial processes,nitric acid,nitric acid
China,industrial processes,foams,foams
China,industrial processes,solvents,solvents
China,industrial processes,HCFC_22_Prod,HCFC_22_Prod
China,industrial processes,semiconductors,semiconductors
China,industrial processes,Al_Mg,Al_Mg
China,industrial processes,other industrial processes,other industrial processes
EU-12,urban processes,landfills,landfills
EU-12,urban processes,wastewater treatment,wastewater treatment
EU-12,urban processes,aerosols,aerosols
EU-12,urban processes,fire_exting,fire_exting
EU-12,industrial processes,adipic acid,adipic acid
EU-12,industrial processes,nitric acid,nitric acid
EU-12,industrial processes,foams,foams
EU-12,industrial processes,solvents,solvents
EU-12,industrial processes,HCFC_22_Prod,HCFC_22_Prod
EU-12,industrial processes,semiconductors,semiconductors
EU-12,industrial processes,Al_Mg,Al_Mg
EU-12,industrial processes,other industrial processes,other industrial processes
EU-15,urban processes,landfills,landfills
EU-15,urban processes,wastewater treatment,wastewater treatment
EU-15,urban processes,aerosols,aerosols
EU-15,urban processes,fire_exting,fire_exting
EU-15,industrial processes,adipic acid,adipic acid
EU-15,industrial processes,nitric acid,nitric acid
EU-15,industrial processes,foams,foams
EU-15,industrial processes,solvents,solvents
EU-15,industrial processes,HCFC_22_Prod,HCFC_22_Prod
EU-15,industrial processes,semiconductors,semiconductors
EU-15,industrial processes,Al_Mg,Al_Mg
EU-15,industrial processes,other industrial processes,other industrial processes
Europe_Eastern,urban processes,landfills,landfills
Europe_Eastern,urban processes,wastewater treatment,wastewater treatment
Europe_Eastern,urban processes,aerosols,aerosols
Europe_Eastern,urban processes,fire_exting,fire_exting
Europe_Eastern,industrial processes,adipic acid,adipic acid
Europe_Eastern,industrial processes,nitric acid,nitric acid
Europe_Eastern,industrial processes,foams,foams
Europe_Eastern,industrial processes,solvents,solvents
Europe_Eastern,industrial processes,HCFC_22_Prod,HCFC_22_Prod
Europe_Eastern,industrial processes,semiconductors,semiconductors
Europe_Eastern,industrial processes,Al_Mg,Al_Mg
