INPUT_TABLE
Variable ID
GDPCtrlMax

region,supplysector,subsector,stub.technology,year,Non.CO2,ctrl.name,max.reduction
USA,comm cooling,gas,gas,2010,SO2_1,GDP_control,50
USA,comm heating,biomass,biomass,2010,SO2_1,GDP_control,50
USA,comm heating,coal,coal,2010,SO2_1,GDP_control,85
USA,comm heating,gas,gas,2010,SO2_1,GDP_control,50
USA,comm heating,refined liquids,refined liquids,2010,SO2_1,GDP_control,90
USA,comm others,biomass,biomass,2010,SO2_1,GDP_control,50
USA,comm others,coal,coal,2010,SO2_1,GDP_control,85
USA,comm others,gas,gas,2010,SO2_1,GDP_control,50
USA,comm others,refined liquids,refined liquids,2010,SO2_1,GDP_control,90
USA,electricity,biomass,biomass (conv),2010,SO2_1,GDP_control,50
USA,electricity,coal,coal (conv pul),2010,SO2_1,GDP_control,98
USA,electricity,gas,gas (CC),2010,SO2_1,GDP_control,10
USA,electricity,gas,gas (steam/CT),2010,SO2_1,GDP_control,50
USA,electricity,refined liquids,refined liquids (steam/CT),2010,SO2_1,GDP_control,100
USA,industrial energy use,biomass,biomass,2010,SO2_1,GDP_control,70
USA,industrial energy use,coal,coal,2010,SO2_1,GDP_control,95
USA,industrial energy use,gas,gas,2010,SO2_1,GDP_control,70
USA,industrial energy use,refined liquids,refined liquids,2010,SO2_1,GDP_control,70
USA,N fertilizer,coal,coal,2010,SO2_1,GDP_control,10
USA,N fertilizer,refined liquids,refined liquids,2010,SO2_1,GDP_control,10
USA,resid cooling,gas,gas,2010,SO2_1,GDP_control,50
USA,resid heating,biomass,biomass,2010,SO2_1,GDP_control,50
USA,resid heating,coal,coal,2010,SO2_1,GDP_control,85
USA,resid heating,gas,gas,2010,SO2_1,GDP_control,50
USA,resid heating,refined liquids,refined liquids,2010,SO2_1,GDP_control,90
USA,resid others,biomass,biomass,2010,SO2_1,GDP_control,50
USA,resid others,coal,coal,2010,SO2_1,GDP_control,85
USA,resid others,gas,gas,2010,SO2_1,GDP_control,50
USA,resid others,refined liquids,refined liquids,2010,SO2_1,GDP_control,90
USA,transportation,coal,coal,2010,SO2_1,GDP_control,50
USA,transportation,gas,gas,2010,SO2_1,GDP_control,50
USA,transportation,refined liquids,refined liquids,2010,SO2_1,GDP_control,93
