INPUT_TABLE
Variable ID
ItemNameUnmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,itemName
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Middle East,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Pakistan,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
South Africa,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
South America_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
South America_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,ProtectedUnmanagedForestAEZ01
Africa_Eastern,UnmanagedLand,GrasslandFiresAEZ01,ProtectedGrasslandFiresAEZ01,1975,ProtectedGrasslandAEZ01
