INPUT_TABLE
Variable ID
UnlimitRsrcPrice

region,unlimited.resource,year,price
USA,misc emissions sources,1975,0
Africa_Eastern,misc emissions sources,1975,0
Africa_Northern,misc emissions sources,1975,0
Africa_Southern,misc emissions sources,1975,0
Africa_Western,misc emissions sources,1975,0
Australia_NZ,misc emissions sources,1975,0
Brazil,misc emissions sources,1975,0
Canada,misc emissions sources,1975,0
Central America and Caribbean,misc emissions sources,1975,0
Central Asia,misc emissions sources,1975,0
China,misc emissions sources,1975,0
EU-12,misc emissions sources,1975,0
EU-15,misc emissions sources,1975,0
Europe_Eastern,misc emissions sources,1975,0
Europe_Non_EU,misc emissions sources,1975,0
European Free Trade Association,misc emissions sources,1975,0
India,misc emissions sources,1975,0
Indonesia,misc emissions sources,1975,0
Japan,misc emissions sources,1975,0
Mexico,misc emissions sources,1975,0
Middle East,misc emissions sources,1975,0
Pakistan,misc emissions sources,1975,0
Russia,misc emissions sources,1975,0
South Africa,misc emissions sources,1975,0
South America_Northern,misc emissions sources,1975,0
South America_Southern,misc emissions sources,1975,0
South Asia,misc emissions sources,1975,0
South Korea,misc emissions sources,1975,0
Southeast Asia,misc emissions sources,1975,0
Taiwan,misc emissions sources,1975,0
Argentina,misc emissions sources,1975,0
Colombia,misc emissions sources,1975,0
USA,misc emissions sources,1990,0
Africa_Eastern,misc emissions sources,1990,0
Africa_Northern,misc emissions sources,1990,0
Africa_Southern,misc emissions sources,1990,0
Africa_Western,misc emissions sources,1990,0
Australia_NZ,misc emissions sources,1990,0
Brazil,misc emissions sources,1990,0
Canada,misc emissions sources,1990,0
Central America and Caribbean,misc emissions sources,1990,0
Central Asia,misc emissions sources,1990,0
China,misc emissions sources,1990,0
EU-12,misc emissions sources,1990,0
EU-15,misc emissions sources,1990,0
Europe_Eastern,misc emissions sources,1990,0
Europe_Non_EU,misc emissions sources,1990,0
European Free Trade Association,misc emissions sources,1990,0
India,misc emissions sources,1990,0
Indonesia,misc emissions sources,1990,0
Japan,misc emissions sources,1990,0
Mexico,misc emissions sources,1990,0
Middle East,misc emissions sources,1990,0
Pakistan,misc emissions sources,1990,0
Russia,misc emissions sources,1990,0
South Africa,misc emissions sources,1990,0
South America_Northern,misc emissions sources,1990,0
South America_Southern,misc emissions sources,1990,0
South Asia,misc emissions sources,1990,0
South Korea,misc emissions sources,1990,0
Southeast Asia,misc emissions sources,1990,0
Taiwan,misc emissions sources,1990,0
Argentina,misc emissions sources,1990,0
Colombia,misc emissions sources,1990,0
USA,misc emissions sources,2005,0
Africa_Eastern,misc emissions sources,2005,0
Africa_Northern,misc emissions sources,2005,0
Africa_Southern,misc emissions sources,2005,0
Africa_Western,misc emissions sources,2005,0
Australia_NZ,misc emissions sources,2005,0
Brazil,misc emissions sources,2005,0
Canada,misc emissions sources,2005,0
Central America and Caribbean,misc emissions sources,2005,0
Central Asia,misc emissions sources,2005,0
China,misc emissions sources,2005,0
EU-12,misc emissions sources,2005,0
EU-15,misc emissions sources,2005,0
Europe_Eastern,misc emissions sources,2005,0
Europe_Non_EU,misc emissions sources,2005,0
European Free Trade Association,misc emissions sources,2005,0
India,misc emissions sources,2005,0
Indonesia,misc emissions sources,2005,0
Japan,misc emissions sources,2005,0
Mexico,misc emissions sources,2005,0
Middle East,misc emissions sources,2005,0
Pakistan,misc emissions sources,2005,0
Russia,misc emissions sources,2005,0
South Africa,misc emissions sources,2005,0
South America_Northern,misc emissions sources,2005,0
South America_Southern,misc emissions sources,2005,0
South Asia,misc emissions sources,2005,0
South Korea,misc emissions sources,2005,0
Southeast Asia,misc emissions sources,2005,0
Taiwan,misc emissions sources,2005,0
Argentina,misc emissions sources,2005,0
Colombia,misc emissions sources,2005,0
USA,misc emissions sources,2010,0
Africa_Eastern,misc emissions sources,2010,0
Africa_Northern,misc emissions sources,2010,0
Africa_Southern,misc emissions sources,2010,0
Africa_Western,misc emissions sources,2010,0
Australia_NZ,misc emissions sources,2010,0
Brazil,misc emissions sources,2010,0
Canada,misc emissions sources,2010,0
Central America and Caribbean,misc emissions sources,2010,0
Central Asia,misc emissions sources,2010,0
China,misc emissions sources,2010,0
EU-12,misc emissions sources,2010,0
EU-15,misc emissions sources,2010,0
Europe_Eastern,misc emissions sources,2010,0
Europe_Non_EU,misc emissions sources,2010,0
European Free Trade Association,misc emissions sources,2010,0
India,misc emissions sources,2010,0
Indonesia,misc emissions sources,2010,0
Japan,misc emissions sources,2010,0
Mexico,misc emissions sources,2010,0
Middle East,misc emissions sources,2010,0
Pakistan,misc emissions sources,2010,0
Russia,misc emissions sources,2010,0
South Africa,misc emissions sources,2010,0
South America_Northern,misc emissions sources,2010,0
South America_Southern,misc emissions sources,2010,0
South Asia,misc emissions sources,2010,0
South Korea,misc emissions sources,2010,0
Southeast Asia,misc emissions sources,2010,0
Taiwan,misc emissions sources,2010,0
Argentina,misc emissions sources,2010,0
Colombia,misc emissions sources,2010,0
