INPUT_TABLE
Variable ID
OutputEmissCoeffAg

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,emiss.coef
Africa_Eastern,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,4e-07
Africa_Southern,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,8e-07
Africa_Western,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,3.54e-05
Brazil,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,5.8e-06
India,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,5.1e-06
Mexico,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,3.31e-05
Middle East,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,1.16e-05
Pakistan,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,5e-07
South Africa,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,biomass,biomassAEZ01,biomassAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,0.0001693
Brazil,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,2.79e-05
India,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,2.46e-05
Mexico,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,0.0001581
Middle East,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,5.54e-05
Pakistan,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,2.4e-06
South Africa,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,0.0001197
South America_Northern,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,0.0001547
South America_Southern,biomass,biomassAEZ01,biomassAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,4e-07
Africa_Southern,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,8e-07
Africa_Western,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,3.54e-05
Brazil,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,5.8e-06
India,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,5.1e-06
Mexico,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,3.31e-05
Middle East,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,1.16e-05
Pakistan,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,5e-07
South Africa,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,0.0001693
Brazil,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,2.79e-05
India,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,2.46e-05
Mexico,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,0.0001581
Middle East,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,5.54e-05
Pakistan,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,2.4e-06
South Africa,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,0.0001197
South America_Northern,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,0.0001547
South America_Southern,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,4e-07
Africa_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,8e-07
Africa_Western,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,3.54e-05
Brazil,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,5.8e-06
India,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,5.1e-06
Mexico,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,3.31e-05
Middle East,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,1.16e-05
Pakistan,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,5e-07
South Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,0.0001693
Brazil,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,2.79e-05
India,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,2.46e-05
Mexico,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,0.0001581
Middle East,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,5.54e-05
Pakistan,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,2.4e-06
South Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,0.0001197
South America_Northern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,0.0001547
South America_Southern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,4e-07
Africa_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,8e-07
Africa_Western,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,3.54e-05
Brazil,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,5.8e-06
India,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,5.1e-06
Mexico,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,3.31e-05
Middle East,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,1.16e-05
