INPUT_TABLE
Variable ID
InputEmFactUnmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,Non.CO2,emiss.coef
Africa_Eastern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,0.000170718257610337
Africa_Eastern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.00118760992850123
Africa_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,1.63798943388009e-05
Africa_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000113947080062769
Africa_Southern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,9.62266253916893e-05
Africa_Southern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000718134456406112
Africa_Western,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,9.38903508831646e-05
Africa_Western,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000653355669692079
Australia_NZ,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,9.52677344773469e-05
Australia_NZ,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000662828699201625
Brazil,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,7.97550571932228e-05
Brazil,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000554819286304257
India,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,2.80360017704832e-05
India,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000197279539966535
Mexico,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,6.33345461787933e-05
Mexico,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000440588139342314
Middle East,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,1.56079463252335e-10
Middle East,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,1.08577040639425e-09
Pakistan,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,6.15872293915376e-05
Pakistan,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000428432868533823
South Africa,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,0.000103927970752007
South Africa,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000722977165323252
South America_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,4.72196273131782e-05
South America_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,0.000400446034830856
South America_Southern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,BC,1.50583288674161e-06
South America_Southern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1975,OC,1.05050486083742e-05
Africa_Eastern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,0.000170718257610337
Africa_Eastern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.00118760992850123
Africa_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,1.63798943388009e-05
Africa_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000113947080062769
Africa_Southern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,9.62266253916893e-05
Africa_Southern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000718134456406112
Africa_Western,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,9.38903508831646e-05
Africa_Western,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000653355669692079
Australia_NZ,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,9.52677344773469e-05
Australia_NZ,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000662828699201625
Brazil,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,7.97550571932228e-05
Brazil,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000554819286304257
India,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,2.80360017704832e-05
India,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000197279539966535
Mexico,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,6.33345461787933e-05
Mexico,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000440588139342314
Middle East,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,1.56079463252335e-10
Middle East,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,1.08577040639425e-09
Pakistan,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,6.15872293915376e-05
Pakistan,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000428432868533823
South Africa,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,0.000103927970752007
South Africa,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,OC,0.000722977165323252
South America_Northern,UnmanagedLand,GrasslandFiresAEZ01,GrasslandFiresAEZ01,1990,BC,4.72196273131782e-05
