INPUT_TABLE
Variable ID
MAC

region,supplysector,subsector,stub.technology,year,Non.CO2,name,tax,mac.reduction
Africa_Eastern,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Africa_Northern,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Africa_Southern,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Africa_Western,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Argentina,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Australia_NZ,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Brazil,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Canada,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Central America and Caribbean,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Central Asia,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
China,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Colombia,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
EU-12,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
EU-15,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Europe_Eastern,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Europe_Non_EU,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
European Free Trade Association,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
India,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Indonesia,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Japan,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Mexico,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Middle East,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Pakistan,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
Russia,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
South Africa,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
South America_Northern,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
South America_Southern,industrial processes,nitric acid,nitric acid,2005,N2O,Nitric Acid,0,0
