INPUT_TABLE
Variable ID
ResEmissCoef

region,subsector,Non.CO2,input.emissions
USA,coal,CH4,0.1702779
USA,crude oil,CH4,0.1802146
USA,natural gas,CH4,0.1802146
USA,coal,N2O,3.9e-06
USA,crude oil,N2O,5.1e-06
USA,natural gas,N2O,5.1e-06
Africa_Eastern,coal,CH4,97.5180852
Africa_Eastern,crude oil,CH4,0.0358283
Africa_Eastern,natural gas,CH4,0.0358283
Africa_Eastern,coal,N2O,0.1320114
Africa_Eastern,crude oil,N2O,0
Africa_Eastern,natural gas,N2O,0
Africa_Northern,coal,CH4,224.602977
Africa_Northern,crude oil,CH4,0.2443704
Africa_Northern,natural gas,CH4,0.2443704
Africa_Northern,coal,N2O,0.2993185
Africa_Northern,crude oil,N2O,2.51e-05
Africa_Northern,natural gas,N2O,2.51e-05
Africa_Southern,coal,CH4,3.2980026
Africa_Southern,crude oil,CH4,0.1349992
Africa_Southern,natural gas,CH4,0.1349992
Africa_Southern,coal,N2O,0.0041135
Africa_Southern,crude oil,N2O,4.61e-05
Africa_Southern,natural gas,N2O,4.61e-05
Africa_Western,coal,CH4,59.0764411
Africa_Western,crude oil,CH4,0.2679421
Africa_Western,natural gas,CH4,0.2679421
Africa_Western,coal,N2O,0.0799226
Africa_Western,crude oil,N2O,8.53e-05
Africa_Western,natural gas,N2O,8.53e-05
Australia_NZ,coal,CH4,0.1743067
Australia_NZ,crude oil,CH4,0.1134371
Australia_NZ,natural gas,CH4,0.1134371
Australia_NZ,coal,N2O,3e-07
Australia_NZ,crude oil,N2O,6.8e-06
Australia_NZ,natural gas,N2O,6.8e-06
Brazil,coal,CH4,7.3288115
Brazil,crude oil,CH4,0.2089988
Brazil,natural gas,CH4,0.2089988
Brazil,coal,N2O,0.0092864
Brazil,crude oil,N2O,1.25e-05
Brazil,natural gas,N2O,1.25e-05
Canada,coal,CH4,0.0658244
Canada,crude oil,CH4,0.2078555
Canada,natural gas,CH4,0.2078555
Canada,coal,N2O,0
Canada,crude oil,N2O,4.6e-06
Canada,natural gas,N2O,4.6e-06
Central America and Caribbean,coal,CH4,0
Central America and Caribbean,crude oil,CH4,0.2806998
Central America and Caribbean,natural gas,CH4,0.2806998
Central America and Caribbean,coal,N2O,0
Central America and Caribbean,crude oil,N2O,4.4e-06
Central America and Caribbean,natural gas,N2O,4.4e-06
Central Asia,coal,CH4,0.3119882
Central Asia,crude oil,CH4,0.4124348
Central Asia,natural gas,CH4,0.4124348
Central Asia,coal,N2O,1.1e-06
Central Asia,crude oil,N2O,3.16e-05
Central Asia,natural gas,N2O,3.16e-05
China,coal,CH4,0.4663711
China,crude oil,CH4,0.2348222
China,natural gas,CH4,0.2348222
China,coal,N2O,4.4e-06
China,crude oil,N2O,5.84e-05
China,natural gas,N2O,5.84e-05
EU-12,coal,CH4,0.4493588
EU-12,crude oil,CH4,0.4257536
EU-12,natural gas,CH4,0.4257536
EU-12,coal,N2O,5.2e-06
EU-12,crude oil,N2O,5.1e-06
EU-12,natural gas,N2O,5.1e-06
EU-15,coal,CH4,0.1866967
EU-15,crude oil,CH4,0.2509674
EU-15,natural gas,CH4,0.2509674
EU-15,coal,N2O,8.5e-06
EU-15,crude oil,N2O,8.6e-06
EU-15,natural gas,N2O,8.6e-06
Europe_Eastern,coal,CH4,0.2792197
Europe_Eastern,crude oil,CH4,1.7460188
Europe_Eastern,natural gas,CH4,1.7460188
Europe_Eastern,coal,N2O,9.6e-06
Europe_Eastern,crude oil,N2O,1.1e-06
Europe_Eastern,natural gas,N2O,1.1e-06
Europe_Non_EU,coal,CH4,0.2333715
Europe_Non_EU,crude oil,CH4,1.3820169
Europe_Non_EU,natural gas,CH4,1.3820169
Europe_Non_EU,coal,N2O,1.22e-05
Europe_Non_EU,crude oil,N2O,1.3e-06
Europe_Non_EU,natural gas,N2O,1.3e-06
European Free Trade Association,coal,CH4,0.5932386
European Free Trade Association,crude oil,CH4,0.0681231
European Free Trade Association,natural gas,CH4,0.0681231
European Free Trade Association,coal,N2O,3.07e-05
European Free Trade Association,crude oil,N2O,2.8e-06
European Free Trade Association,natural gas,N2O,2.8e-06
India,coal,CH4,0.2333636
India,crude oil,CH4,0.2772034
India,natural gas,CH4,0.2772034
India,coal,N2O,2.73e-05
India,crude oil,N2O,9.56e-05
India,natural gas,N2O,9.56e-05
Indonesia,coal,CH4,0.1694076
Indonesia,crude oil,CH4,0.2593444
Indonesia,natural gas,CH4,0.2593444
Indonesia,coal,N2O,2.06e-05
Indonesia,crude oil,N2O,1.81e-05
Indonesia,natural gas,N2O,1.81e-05
Japan,coal,CH4,0
Japan,crude oil,CH4,0.2921748
Japan,natural gas,CH4,0.2921748
Japan,coal,N2O,0
Japan,crude oil,N2O,4.2e-06
Japan,natural gas,N2O,4.2e-06
Mexico,coal,CH4,0.2728541
Mexico,crude oil,CH4,0.1662567
