INPUT_TABLE
Variable ID
MAC

region,supplysector,subsector,stub.technology,year,Non.CO2,name,tax,mac.reduction
Africa_Eastern,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Africa_Northern,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Africa_Southern,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Africa_Western,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Argentina,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Australia_NZ,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Brazil,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Canada,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Central America and Caribbean,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Central Asia,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
China,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Colombia,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
EU-12,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
EU-15,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Europe_Eastern,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Europe_Non_EU,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
European Free Trade Association,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
India,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Indonesia,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Japan,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Mexico,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Middle East,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Pakistan,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
Russia,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
South Africa,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
South America_Northern,industrial processes,adipic acid,adipic acid,2005,N2O,Adipic Acid,0,0
