INPUT_TABLE
Variable ID
SubsectorLogit

region,supplysector,subsector,logit.year.fillout,logit.exponent
USA,urban processes,landfills,1975,-6
USA,urban processes,wastewater treatment,1975,-6
USA,urban processes,aerosols,1975,-6
USA,urban processes,fire_exting,1975,-6
USA,industrial processes,nitric acid,1975,-6
USA,industrial processes,foams,1975,-6
USA,industrial processes,solvents,1975,-6
USA,industrial processes,HCFC_22_Prod,1975,-6
USA,industrial processes,semiconductors,1975,-6
USA,industrial processes,Al_Mg,1975,-6
USA,industrial processes,other industrial processes,1975,-6
Africa_Eastern,urban processes,landfills,1975,-6
Africa_Eastern,urban processes,wastewater treatment,1975,-6
Africa_Eastern,urban processes,aerosols,1975,-6
Africa_Eastern,urban processes,fire_exting,1975,-6
Africa_Eastern,industrial processes,nitric acid,1975,-6
Africa_Eastern,industrial processes,foams,1975,-6
Africa_Eastern,industrial processes,solvents,1975,-6
Africa_Eastern,industrial processes,HCFC_22_Prod,1975,-6
Africa_Eastern,industrial processes,semiconductors,1975,-6
Africa_Eastern,industrial processes,Al_Mg,1975,-6
Africa_Eastern,industrial processes,other industrial processes,1975,-6
Africa_Northern,urban processes,landfills,1975,-6
Africa_Northern,urban processes,wastewater treatment,1975,-6
Africa_Northern,urban processes,aerosols,1975,-6
Africa_Northern,urban processes,fire_exting,1975,-6
Africa_Northern,industrial processes,nitric acid,1975,-6
Africa_Northern,industrial processes,foams,1975,-6
Africa_Northern,industrial processes,solvents,1975,-6
Africa_Northern,industrial processes,HCFC_22_Prod,1975,-6
Africa_Northern,industrial processes,semiconductors,1975,-6
Africa_Northern,industrial processes,Al_Mg,1975,-6
Africa_Northern,industrial processes,other industrial processes,1975,-6
Africa_Southern,urban processes,landfills,1975,-6
Africa_Southern,urban processes,wastewater treatment,1975,-6
Africa_Southern,urban processes,aerosols,1975,-6
Africa_Southern,urban processes,fire_exting,1975,-6
Africa_Southern,industrial processes,nitric acid,1975,-6
Africa_Southern,industrial processes,foams,1975,-6
