INPUT_TABLE
Variable ID
InputEmFactUnmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,Non.CO2,emiss.coef
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,0
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,0
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,3.91369434855381e-06
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,3.23035093152346e-05
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,2.57683990639585e-05
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0.000214764908151856
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,9.10188463005713e-05
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0.000751738755981661
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,5.15543274831664e-05
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0.000428035680805916
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,2.69442558086237e-05
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0.000256821949462256
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,6.76050826482478e-05
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0.000641736550006663
Middle East,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,0
Middle East,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0
Pakistan,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,0
Pakistan,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,0
South Africa,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,8.33270923161181e-07
South Africa,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,6.87779226920934e-06
South America_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,9.90236286796494e-06
South America_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,8.44149454572653e-05
South America_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,BC,1.09057822039815e-06
South America_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1975,OC,1.0735719112433e-05
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,0
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,0
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,3.91369434855381e-06
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,3.23035093152346e-05
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,2.57683990639585e-05
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0.000214764908151856
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,9.10188463005713e-05
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0.000751738755981661
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,5.15543274831664e-05
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0.000428035680805916
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,2.69442558086237e-05
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0.000256821949462256
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,6.76050826482478e-05
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0.000641736550006663
Middle East,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,0
Middle East,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0
Pakistan,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,0
Pakistan,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,0
South Africa,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,8.33270923161181e-07
South Africa,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,6.87779226920934e-06
South America_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,9.90236286796494e-06
South America_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,8.44149454572653e-05
South America_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,BC,1.09057822039815e-06
South America_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,1990,OC,1.0735719112433e-05
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,0
Africa_Eastern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,0
Africa_Northern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,3.91369434855381e-06
Africa_Southern,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,3.23035093152346e-05
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,2.57683990639585e-05
Africa_Western,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0.000214764908151856
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,9.10188463005713e-05
Australia_NZ,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0.000751738755981661
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,5.15543274831664e-05
Brazil,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0.000428035680805916
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,2.69442558086237e-05
India,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0.000256821949462256
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,6.76050826482478e-05
Mexico,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,OC,0.000641736550006663
Middle East,UnmanagedLand,ForestFiresAEZ01,ProtectedForestFiresAEZ01,2005,BC,0
