INPUT_TABLE
Variable ID
StubTechCoefIndUrb

region,supplysector,subsector,technology,year,minicam.energy.input,coefficient
USA,industry,industry,industry,1975,industrial processes,0.000462981323405168
Africa_Eastern,industry,industry,industry,1975,industrial processes,0.0319099201266884
Africa_Northern,industry,industry,industry,1975,industrial processes,0.0216808426378315
Africa_Southern,industry,industry,industry,1975,industrial processes,0.0275082009217247
Africa_Western,industry,industry,industry,1975,industrial processes,0.0174477979311768
Australia_NZ,industry,industry,industry,1975,industrial processes,0.00865332743621571
Brazil,industry,industry,industry,1975,industrial processes,0.0059619739248868
Canada,industry,industry,industry,1975,industrial processes,0.00373721426696212
Central America and Caribbean,industry,industry,industry,1975,industrial processes,0.0174237668916871
Central Asia,industry,industry,industry,1975,industrial processes,0.00286954133356165
China,industry,industry,industry,1975,industrial processes,0.00127149730347619
EU-12,industry,industry,industry,1975,industrial processes,0.00205842322750894
EU-15,industry,industry,industry,1975,industrial processes,0.000573066395678319
Europe_Eastern,industry,industry,industry,1975,industrial processes,0.00190584775879985
Europe_Non_EU,industry,industry,industry,1975,industrial processes,0.0200042821418281
European Free Trade Association,industry,industry,industry,1975,industrial processes,0.0176544002012297
India,industry,industry,industry,1975,industrial processes,0.00496418165278809
Indonesia,industry,industry,industry,1975,industrial processes,0.0495795316058136
Japan,industry,industry,industry,1975,industrial processes,0.00148189202808842
Mexico,industry,industry,industry,1975,industrial processes,0.0101976738389103
Middle East,industry,industry,industry,1975,industrial processes,0.0102366307904216
Pakistan,industry,industry,industry,1975,industrial processes,0.050352675152324
Russia,industry,industry,industry,1975,industrial processes,0.000899853688950695
South Africa,industry,industry,industry,1975,industrial processes,0.0106204407347241
South America_Northern,industry,industry,industry,1975,industrial processes,0.0229238142478011
South America_Southern,industry,industry,industry,1975,industrial processes,0.0276240124925308
South Asia,industry,industry,industry,1975,industrial processes,0.101099390414127
South Korea,industry,industry,industry,1975,industrial processes,0.0253132466142203
Southeast Asia,industry,industry,industry,1975,industrial processes,0.00708555851382672
Taiwan,industry,industry,industry,1975,industrial processes,0.0323794067533647
Argentina,industry,industry,industry,1975,industrial processes,0.0181574300862687
Colombia,industry,industry,industry,1975,industrial processes,0.0475692405607857
USA,industry,industry,industry,1990,industrial processes,0.000483003729564232
Africa_Eastern,industry,industry,industry,1990,industrial processes,0.0199371037422064
Africa_Northern,industry,industry,industry,1990,industrial processes,0.00733209955046034
Africa_Southern,industry,industry,industry,1990,industrial processes,0.0208547550032327
Africa_Western,industry,industry,industry,1990,industrial processes,0.0122558268105866
Australia_NZ,industry,industry,industry,1990,industrial processes,0.00639499694255628
Brazil,industry,industry,industry,1990,industrial processes,0.00314328041337117
Canada,industry,industry,industry,1990,industrial processes,0.00302436831236512
Central America and Caribbean,industry,industry,industry,1990,industrial processes,0.0126688110401844
Central Asia,industry,industry,industry,1990,industrial processes,0.003626288578104
China,industry,industry,industry,1990,industrial processes,0.000682650535584276
EU-12,industry,industry,industry,1990,industrial processes,0.0019179569155769
EU-15,industry,industry,industry,1990,industrial processes,0.000586436204435467
Europe_Eastern,industry,industry,industry,1990,industrial processes,0.00194244048035543
Europe_Non_EU,industry,industry,industry,1990,industrial processes,0.00781738727170496
European Free Trade Association,industry,industry,industry,1990,industrial processes,0.0135924847687074
India,industry,industry,industry,1990,industrial processes,0.00268112075600122
Indonesia,industry,industry,industry,1990,industrial processes,0.00681993004913505
Japan,industry,industry,industry,1990,industrial processes,0.00127724908604933
Mexico,industry,industry,industry,1990,industrial processes,0.00532246439757514
Middle East,industry,industry,industry,1990,industrial processes,0.00310048871423096
Pakistan,industry,industry,industry,1990,industrial processes,0.0221652447553306
Russia,industry,industry,industry,1990,industrial processes,0.000914766318881576
South Africa,industry,industry,industry,1990,industrial processes,0.00577773967417556
South America_Northern,industry,industry,industry,1990,industrial processes,0.0112728135245754
South America_Southern,industry,industry,industry,1990,industrial processes,0.0173513562978772
South Asia,industry,industry,industry,1990,industrial processes,0.0591147208758771
South Korea,industry,industry,industry,1990,industrial processes,0.00641129921252794
Southeast Asia,industry,industry,industry,1990,industrial processes,0.00372858571260121
Taiwan,industry,industry,industry,1990,industrial processes,0.0122299528624567
Argentina,industry,industry,industry,1990,industrial processes,0.0141888649126113
Colombia,industry,industry,industry,1990,industrial processes,0.0308617755950752
USA,industry,industry,industry,2005,industrial processes,0.000445642306439068
Africa_Eastern,industry,industry,industry,2005,industrial processes,0.0139208484027082
Africa_Northern,industry,industry,industry,2005,industrial processes,0.00471549446702925
Africa_Southern,industry,industry,industry,2005,industrial processes,0.0140042890258143
Africa_Western,industry,industry,industry,2005,industrial processes,0.00673388265315751
Australia_NZ,industry,industry,industry,2005,industrial processes,0.00469567041217566
Brazil,industry,industry,industry,2005,industrial processes,0.00206920218731714
Canada,industry,industry,industry,2005,industrial processes,0.00219631067526876
Central America and Caribbean,industry,industry,industry,2005,industrial processes,0.00808156789988814
Central Asia,industry,industry,industry,2005,industrial processes,0.00414703636103209
China,industry,industry,industry,2005,industrial processes,0.000313825412569819
EU-12,industry,industry,industry,2005,industrial processes,0.00300843708537028
EU-15,industry,industry,industry,2005,industrial processes,0.000560878629770306
Europe_Eastern,industry,industry,industry,2005,industrial processes,0.00397488659990332
Europe_Non_EU,industry,industry,industry,2005,industrial processes,0.0061147187370425
European Free Trade Association,industry,industry,industry,2005,industrial processes,0.0106032036390009
India,industry,industry,industry,2005,industrial processes,0.0014549644301875
Indonesia,industry,industry,industry,2005,industrial processes,0.00382730379457652
Japan,industry,industry,industry,2005,industrial processes,0.00124807642300875
Mexico,industry,industry,industry,2005,industrial processes,0.00453765739268725
Middle East,industry,industry,industry,2005,industrial processes,0.00143604385682316
Pakistan,industry,industry,industry,2005,industrial processes,0.0113940153561665
Russia,industry,industry,industry,2005,industrial processes,0.00111907043162553
South Africa,industry,industry,industry,2005,industrial processes,0.00492254848944403
South America_Northern,industry,industry,industry,2005,industrial processes,0.00775765682808435
South America_Southern,industry,industry,industry,2005,industrial processes,0.00947019954408686
South Asia,industry,industry,industry,2005,industrial processes,0.0232967839858711
South Korea,industry,industry,industry,2005,industrial processes,0.00273976383913445
Southeast Asia,industry,industry,industry,2005,industrial processes,0.00180025575351548
Taiwan,industry,industry,industry,2005,industrial processes,0.0057674919377885
Argentina,industry,industry,industry,2005,industrial processes,0.00756517211740814
Colombia,industry,industry,industry,2005,industrial processes,0.0212245277540191
USA,industry,industry,industry,2010,industrial processes,0.000494502954981963
Africa_Eastern,industry,industry,industry,2010,industrial processes,0.0117976850744184
Africa_Northern,industry,industry,industry,2010,industrial processes,0.00453074603173284
