INPUT_TABLE
Variable ID
AgMAC

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,name,tax,mac.reduction
Africa_Eastern,biomass,biomassAEZ01,biomassAEZ01,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ02,biomassAEZ02,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ03,biomassAEZ03,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ04,biomassAEZ04,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ05,biomassAEZ05,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ06,biomassAEZ06,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ07,biomassAEZ07,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ08,biomassAEZ08,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ09,biomassAEZ09,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ10,biomassAEZ10,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ11,biomassAEZ11,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,biomass,biomassAEZ12,biomassAEZ12,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ01,CornAEZ01,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ02,CornAEZ02,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ03,CornAEZ03,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ04,CornAEZ04,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ05,CornAEZ05,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ06,CornAEZ06,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ07,CornAEZ07,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ08,CornAEZ08,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ09,CornAEZ09,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ10,CornAEZ10,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ11,CornAEZ11,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,Corn,CornAEZ12,CornAEZ12,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ03,FiberCropAEZ03,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ04,FiberCropAEZ04,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ05,FiberCropAEZ05,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ07,FiberCropAEZ07,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ08,FiberCropAEZ08,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ09,FiberCropAEZ09,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ10,FiberCropAEZ10,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ11,FiberCropAEZ11,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FiberCrop,FiberCropAEZ12,FiberCropAEZ12,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ03,FodderGrassAEZ03,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ04,FodderGrassAEZ04,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ05,FodderGrassAEZ05,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ07,FodderGrassAEZ07,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ08,FodderGrassAEZ08,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ09,FodderGrassAEZ09,2005,N2O_AGR,N2O,-30,0.03
Africa_Eastern,FodderGrass,FodderGrassAEZ10,FodderGrassAEZ10,2005,N2O_AGR,N2O,-30,0.03
