# File: en_construction.csv
# Title: construction energy use by region
# Units: Thousand tonnes
# Description: Regional construction production
# Source: IEA
# Column types: ciccnic
# ----------
region,GCAM_region_ID,flow,fuel,value,year,unit
USA,1,CONSTRUC,electricity,5233,2015,ktoe
USA,1,CONSTRUC,gas,306,2015,ktoe
USA,1,CONSTRUC,refined biofuels_FT,155,2015,ktoe
USA,1,CONSTRUC,refined liquids,7266,2015,ktoe
Africa_Eastern,2,CONSTRUC,refined liquids,46,2015,ktoe
Africa_Northern,3,CONSTRUC,biomass_tradbio,1,2015,ktoe
Africa_Northern,3,CONSTRUC,electricity,154,2015,ktoe
Africa_Northern,3,CONSTRUC,gas,1003,2015,ktoe
Africa_Northern,3,CONSTRUC,refined liquids,449,2015,ktoe
Africa_Southern,4,CONSTRUC,coal,0,2015,ktoe
Africa_Southern,4,CONSTRUC,electricity,2,2015,ktoe
Africa_Southern,4,CONSTRUC,refined liquids,316,2015,ktoe
Africa_Western,5,CONSTRUC,electricity,15,2015,ktoe
Africa_Western,5,CONSTRUC,refined liquids,16,2015,ktoe
Australia_NZ,6,CONSTRUC,coal,2,2015,ktoe
Australia_NZ,6,CONSTRUC,electricity,47,2015,ktoe
Australia_NZ,6,CONSTRUC,gas,81,2015,ktoe
Australia_NZ,6,CONSTRUC,refined liquids,571,2015,ktoe
Canada,8,CONSTRUC,gas,377,2015,ktoe
Canada,8,CONSTRUC,heat,1,2015,ktoe
Canada,8,CONSTRUC,refined liquids,1757,2015,ktoe
Central America and Caribbean,9,CONSTRUC,biomass_tradbio,0,2015,ktoe
Central America and Caribbean,9,CONSTRUC,electricity,17,2015,ktoe
Central America and Caribbean,9,CONSTRUC,refined liquids,281.6925717,2015,ktoe
Central Asia,10,CONSTRUC,coal,36,2015,ktoe
Central Asia,10,CONSTRUC,electricity,174,2015,ktoe
Central Asia,10,CONSTRUC,gas,91,2015,ktoe
Central Asia,10,CONSTRUC,heat,38,2015,ktoe
Central Asia,10,CONSTRUC,refined liquids,1909,2015,ktoe
China,11,CONSTRUC,coal,4554,2015,ktoe
China,11,CONSTRUC,electricity,6007,2015,ktoe
China,11,CONSTRUC,gas,181,2015,ktoe
China,11,CONSTRUC,heat,216,2015,ktoe
China,11,CONSTRUC,refined liquids,7247,2015,ktoe
EU-12,12,CONSTRUC,biomass,0,2015,ktoe
EU-12,12,CONSTRUC,biomass_tradbio,13,2015,ktoe
EU-12,12,CONSTRUC,coal,21,2015,ktoe
EU-12,12,CONSTRUC,elec_geothermal,0,2015,ktoe
EU-12,12,CONSTRUC,electricity,235,2015,ktoe
EU-12,12,CONSTRUC,gas,299,2015,ktoe
EU-12,12,CONSTRUC,heat,32,2015,ktoe
EU-12,12,CONSTRUC,refined biofuels_FT,0,2015,ktoe
EU-12,12,CONSTRUC,refined liquids,611,2015,ktoe
EU-15,13,CONSTRUC,biomass,1,2015,ktoe
EU-15,13,CONSTRUC,biomass_tradbio,109,2015,ktoe
EU-15,13,CONSTRUC,coal,10,2015,ktoe
EU-15,13,CONSTRUC,electricity,1415,2015,ktoe
EU-15,13,CONSTRUC,gas,1448,2015,ktoe
EU-15,13,CONSTRUC,gasified biomass,0,2015,ktoe
EU-15,13,CONSTRUC,heat,23,2015,ktoe
EU-15,13,CONSTRUC,refined biofuels_FT,42,2015,ktoe
EU-15,13,CONSTRUC,refined liquids,2812.019058,2015,ktoe
Europe_Eastern,14,CONSTRUC,biomass_tradbio,5,2015,ktoe
Europe_Eastern,14,CONSTRUC,coal,3,2015,ktoe
