# File: en_chemical.csv
# Title: chemical energy use by region
# Units: ktoe
# Description: Regional chemical energy consumption
# Source: IEA
# Column types: ccicnic
# ----------
region,flow,GCAM_region_ID,fuel,value,year,unit
USA,CHEMICAL,1,biomass,1433,1999,ktoe
USA,CHEMICAL,1,biomass,1406,2000,ktoe
USA,CHEMICAL,1,biomass,1171,2001,ktoe
USA,CHEMICAL,1,biomass,1068,2002,ktoe
USA,CHEMICAL,1,biomass,1168,2003,ktoe
USA,CHEMICAL,1,biomass,579,2004,ktoe
USA,CHEMICAL,1,biomass,711,2005,ktoe
USA,CHEMICAL,1,biomass,894,2006,ktoe
USA,CHEMICAL,1,biomass,874,2007,ktoe
USA,CHEMICAL,1,biomass,136,2008,ktoe
USA,CHEMICAL,1,biomass,114,2009,ktoe
USA,CHEMICAL,1,biomass,147,2010,ktoe
USA,CHEMICAL,1,biomass,155,2011,ktoe
USA,CHEMICAL,1,biomass,141,2012,ktoe
USA,CHEMICAL,1,biomass,270,2013,ktoe
USA,CHEMICAL,1,biomass,231,2014,ktoe
USA,CHEMICAL,1,biomass,142,2015,ktoe
USA,CHEMICAL,1,biomass_tradbio,870,1999,ktoe
USA,CHEMICAL,1,biomass_tradbio,877,2000,ktoe
USA,CHEMICAL,1,biomass_tradbio,881,2001,ktoe
USA,CHEMICAL,1,biomass_tradbio,30,2002,ktoe
USA,CHEMICAL,1,biomass_tradbio,33,2003,ktoe
USA,CHEMICAL,1,biomass_tradbio,25,2004,ktoe
USA,CHEMICAL,1,biomass_tradbio,36,2005,ktoe
USA,CHEMICAL,1,biomass_tradbio,70,2006,ktoe
USA,CHEMICAL,1,biomass_tradbio,39,2007,ktoe
USA,CHEMICAL,1,biomass_tradbio,92,2008,ktoe
USA,CHEMICAL,1,biomass_tradbio,60,2009,ktoe
USA,CHEMICAL,1,biomass_tradbio,51,2010,ktoe
USA,CHEMICAL,1,biomass_tradbio,53,2011,ktoe
USA,CHEMICAL,1,biomass_tradbio,50,2012,ktoe
USA,CHEMICAL,1,biomass_tradbio,51,2013,ktoe
USA,CHEMICAL,1,biomass_tradbio,41,2014,ktoe
USA,CHEMICAL,1,biomass_tradbio,53,2015,ktoe
USA,CHEMICAL,1,coal,9283,1971,ktoe
USA,CHEMICAL,1,coal,8948,1972,ktoe
USA,CHEMICAL,1,coal,8358,1973,ktoe
USA,CHEMICAL,1,coal,7663,1974,ktoe
USA,CHEMICAL,1,coal,7144,1975,ktoe
USA,CHEMICAL,1,coal,7306,1976,ktoe
USA,CHEMICAL,1,coal,6726,1977,ktoe
USA,CHEMICAL,1,coal,6165,1978,ktoe
USA,CHEMICAL,1,coal,6804,1979,ktoe
USA,CHEMICAL,1,coal,7820,1980,ktoe
USA,CHEMICAL,1,coal,8437,1981,ktoe
USA,CHEMICAL,1,coal,8329,1982,ktoe
USA,CHEMICAL,1,coal,8333,1983,ktoe
USA,CHEMICAL,1,coal,9279,1984,ktoe
USA,CHEMICAL,1,coal,9514,1985,ktoe
USA,CHEMICAL,1,coal,9109,1986,ktoe
USA,CHEMICAL,1,coal,8700,1987,ktoe
USA,CHEMICAL,1,coal,9062,1988,ktoe
USA,CHEMICAL,1,coal,8623,1989,ktoe
USA,CHEMICAL,1,coal,8757,1990,ktoe
USA,CHEMICAL,1,coal,10193,1991,ktoe
USA,CHEMICAL,1,coal,6231,1992,ktoe
USA,CHEMICAL,1,coal,4789,1993,ktoe
USA,CHEMICAL,1,coal,4712,1994,ktoe
USA,CHEMICAL,1,coal,4162,1995,ktoe
USA,CHEMICAL,1,coal,4149,1996,ktoe
USA,CHEMICAL,1,coal,4219,1997,ktoe
USA,CHEMICAL,1,coal,4472,1998,ktoe
USA,CHEMICAL,1,coal,6621,1999,ktoe
USA,CHEMICAL,1,coal,6695,2000,ktoe
USA,CHEMICAL,1,coal,7402,2001,ktoe
USA,CHEMICAL,1,coal,5403,2002,ktoe
USA,CHEMICAL,1,coal,5527,2003,ktoe
USA,CHEMICAL,1,coal,5285,2004,ktoe
USA,CHEMICAL,1,coal,4941,2005,ktoe
USA,CHEMICAL,1,coal,5222,2006,ktoe
USA,CHEMICAL,1,coal,5147,2007,ktoe
USA,CHEMICAL,1,coal,5033,2008,ktoe
USA,CHEMICAL,1,coal,4191,2009,ktoe
USA,CHEMICAL,1,coal,4276,2010,ktoe
USA,CHEMICAL,1,coal,3964,2011,ktoe
USA,CHEMICAL,1,coal,3989,2012,ktoe
USA,CHEMICAL,1,coal,3915,2013,ktoe
USA,CHEMICAL,1,coal,3661,2014,ktoe
USA,CHEMICAL,1,coal,3203,2015,ktoe
USA,CHEMICAL,1,electricity,9601,1971,ktoe
USA,CHEMICAL,1,electricity,10784,1972,ktoe
USA,CHEMICAL,1,electricity,11940,1973,ktoe
USA,CHEMICAL,1,electricity,12762,1974,ktoe
USA,CHEMICAL,1,electricity,12527,1975,ktoe
USA,CHEMICAL,1,electricity,14426,1976,ktoe
USA,CHEMICAL,1,electricity,14907,1977,ktoe
USA,CHEMICAL,1,electricity,14639,1978,ktoe
USA,CHEMICAL,1,electricity,14128,1979,ktoe
USA,CHEMICAL,1,electricity,12993,1980,ktoe
USA,CHEMICAL,1,electricity,13019,1981,ktoe
USA,CHEMICAL,1,electricity,13293,1982,ktoe
USA,CHEMICAL,1,electricity,14117,1983,ktoe
USA,CHEMICAL,1,electricity,15222,1984,ktoe
USA,CHEMICAL,1,electricity,14694,1985,ktoe
USA,CHEMICAL,1,electricity,14359,1986,ktoe
USA,CHEMICAL,1,electricity,15092,1987,ktoe
USA,CHEMICAL,1,electricity,15238,1988,ktoe
USA,CHEMICAL,1,electricity,16440,1989,ktoe
USA,CHEMICAL,1,electricity,17621,1990,ktoe
USA,CHEMICAL,1,electricity,18569,1991,ktoe
USA,CHEMICAL,1,electricity,18628,1992,ktoe
USA,CHEMICAL,1,electricity,18369,1993,ktoe
USA,CHEMICAL,1,electricity,19466,1994,ktoe
USA,CHEMICAL,1,electricity,21148,1995,ktoe
USA,CHEMICAL,1,electricity,21321,1996,ktoe
USA,CHEMICAL,1,electricity,21490,1997,ktoe
USA,CHEMICAL,1,electricity,20440,1998,ktoe
USA,CHEMICAL,1,electricity,20525,1999,ktoe
USA,CHEMICAL,1,electricity,22625,2000,ktoe
USA,CHEMICAL,1,electricity,22144,2001,ktoe
USA,CHEMICAL,1,electricity,11874,2002,ktoe
USA,CHEMICAL,1,electricity,11517,2003,ktoe
USA,CHEMICAL,1,electricity,12456,2004,ktoe
USA,CHEMICAL,1,electricity,12395,2005,ktoe
USA,CHEMICAL,1,electricity,11100,2006,ktoe
USA,CHEMICAL,1,electricity,12087,2007,ktoe
USA,CHEMICAL,1,electricity,11472,2008,ktoe
USA,CHEMICAL,1,electricity,10817,2009,ktoe
USA,CHEMICAL,1,electricity,10835,2010,ktoe
USA,CHEMICAL,1,electricity,10618,2011,ktoe
USA,CHEMICAL,1,electricity,10318,2012,ktoe
USA,CHEMICAL,1,electricity,9596,2013,ktoe
USA,CHEMICAL,1,electricity,9547,2014,ktoe
USA,CHEMICAL,1,electricity,9805,2015,ktoe
USA,CHEMICAL,1,gas,41425,1990,ktoe
USA,CHEMICAL,1,gas,38837,1991,ktoe
USA,CHEMICAL,1,gas,38450,1992,ktoe
USA,CHEMICAL,1,gas,40638,1993,ktoe
USA,CHEMICAL,1,gas,41239,1994,ktoe
USA,CHEMICAL,1,gas,42252,1995,ktoe
USA,CHEMICAL,1,gas,43008,1996,ktoe
USA,CHEMICAL,1,gas,30959,1997,ktoe
USA,CHEMICAL,1,gas,28942,1998,ktoe
USA,CHEMICAL,1,gas,28951,1999,ktoe
USA,CHEMICAL,1,gas,51978,2000,ktoe
USA,CHEMICAL,1,gas,46448,2001,ktoe
USA,CHEMICAL,1,gas,27807,2002,ktoe
USA,CHEMICAL,1,gas,26518,2003,ktoe
USA,CHEMICAL,1,gas,29794,2004,ktoe
USA,CHEMICAL,1,gas,28404,2005,ktoe
USA,CHEMICAL,1,gas,20894,2006,ktoe
USA,CHEMICAL,1,gas,23269,2007,ktoe
USA,CHEMICAL,1,gas,25294,2008,ktoe
USA,CHEMICAL,1,gas,26308,2009,ktoe
USA,CHEMICAL,1,gas,41871,2010,ktoe
USA,CHEMICAL,1,gas,40434,2011,ktoe
USA,CHEMICAL,1,gas,41697,2012,ktoe
USA,CHEMICAL,1,gas,38422,2013,ktoe
USA,CHEMICAL,1,gas,40939,2014,ktoe
USA,CHEMICAL,1,gas,49876,2015,ktoe
USA,CHEMICAL,1,gasified biomass,4,1999,ktoe
USA,CHEMICAL,1,gasified biomass,5,2000,ktoe
USA,CHEMICAL,1,gasified biomass,4,2001,ktoe
USA,CHEMICAL,1,gasified biomass,4,2003,ktoe
USA,CHEMICAL,1,gasified biomass,2,2004,ktoe
USA,CHEMICAL,1,gasified biomass,2,2005,ktoe
USA,CHEMICAL,1,gasified biomass,3,2006,ktoe
USA,CHEMICAL,1,gasified biomass,3,2007,ktoe
USA,CHEMICAL,1,gasified biomass,1,2011,ktoe
USA,CHEMICAL,1,gasified biomass,1,2013,ktoe
USA,CHEMICAL,1,gasified biomass,2,2014,ktoe
USA,CHEMICAL,1,gasified biomass,1,2015,ktoe
USA,CHEMICAL,1,heat,2943,1992,ktoe
USA,CHEMICAL,1,heat,2867,1993,ktoe
USA,CHEMICAL,1,heat,3113,1994,ktoe
USA,CHEMICAL,1,heat,3070,1995,ktoe
