# File: en_mining.csv
# Title: mining energy use by region
# Units: Thousand tonnes
# Description: Regional mining production
# Source: IEA
# Column types: ciccnic
# ----------
region,GCAM_region_ID,flow,fuel,value,year,unit
USA,1,MINING,coal,201,1971,ktoe
USA,1,MINING,coal,194,1972,ktoe
USA,1,MINING,coal,181,1973,ktoe
USA,1,MINING,coal,174,1974,ktoe
USA,1,MINING,coal,162,1975,ktoe
USA,1,MINING,coal,132,1976,ktoe
USA,1,MINING,coal,103,1977,ktoe
USA,1,MINING,coal,124,1978,ktoe
USA,1,MINING,coal,161,1979,ktoe
USA,1,MINING,electricity,1577,1971,ktoe
USA,1,MINING,electricity,1754,1972,ktoe
USA,1,MINING,electricity,1967,1973,ktoe
USA,1,MINING,electricity,2267,1974,ktoe
USA,1,MINING,electricity,2060,1975,ktoe
USA,1,MINING,electricity,2102,1976,ktoe
USA,1,MINING,electricity,2259,1977,ktoe
USA,1,MINING,electricity,2121,1978,ktoe
USA,1,MINING,electricity,2011,1979,ktoe
USA,1,MINING,electricity,1855,1980,ktoe
USA,1,MINING,electricity,1752,1981,ktoe
USA,1,MINING,electricity,1685,1982,ktoe
USA,1,MINING,electricity,1779,1983,ktoe
USA,1,MINING,electricity,2469,1984,ktoe
USA,1,MINING,electricity,2418,1985,ktoe
USA,1,MINING,electricity,2080,1986,ktoe
USA,1,MINING,electricity,2232,1987,ktoe
USA,1,MINING,electricity,2511,1988,ktoe
USA,1,MINING,electricity,2652,1989,ktoe
USA,1,MINING,electricity,2887,1990,ktoe
USA,1,MINING,electricity,2821,1991,ktoe
USA,1,MINING,electricity,2871,1992,ktoe
USA,1,MINING,electricity,2774,1993,ktoe
USA,1,MINING,electricity,2907,1994,ktoe
USA,1,MINING,electricity,3077,1995,ktoe
USA,1,MINING,electricity,3263,1996,ktoe
USA,1,MINING,electricity,3237,1997,ktoe
USA,1,MINING,electricity,3309,1998,ktoe
USA,1,MINING,electricity,3249,1999,ktoe
USA,1,MINING,electricity,3178,2000,ktoe
USA,1,MINING,electricity,2734,2001,ktoe
USA,1,MINING,electricity,2341,2002,ktoe
USA,1,MINING,electricity,2403,2003,ktoe
USA,1,MINING,electricity,2367,2004,ktoe
USA,1,MINING,electricity,2381,2005,ktoe
USA,1,MINING,electricity,3160,2006,ktoe
USA,1,MINING,electricity,2960,2007,ktoe
USA,1,MINING,electricity,2722,2008,ktoe
USA,1,MINING,electricity,2323,2009,ktoe
USA,1,MINING,electricity,2904,2010,ktoe
USA,1,MINING,electricity,2900,2011,ktoe
USA,1,MINING,electricity,2789,2012,ktoe
USA,1,MINING,electricity,2737,2013,ktoe
USA,1,MINING,electricity,2772,2014,ktoe
USA,1,MINING,electricity,3365,2015,ktoe
USA,1,MINING,gas,1746,2002,ktoe
USA,1,MINING,gas,1740,2003,ktoe
USA,1,MINING,gas,1738,2004,ktoe
USA,1,MINING,gas,1541,2005,ktoe
USA,1,MINING,gas,4092,2006,ktoe
USA,1,MINING,gas,3932,2007,ktoe
USA,1,MINING,gas,3666,2008,ktoe
USA,1,MINING,gas,2865,2009,ktoe
USA,1,MINING,gas,1841,2010,ktoe
USA,1,MINING,gas,1778,2011,ktoe
USA,1,MINING,gas,1873,2012,ktoe
USA,1,MINING,gas,1916,2013,ktoe
USA,1,MINING,gas,1833,2014,ktoe
USA,1,MINING,gas,2449,2015,ktoe
USA,1,MINING,refined biofuels_FT,71,2011,ktoe
USA,1,MINING,refined biofuels_FT,47,2012,ktoe
USA,1,MINING,refined biofuels_FT,49,2013,ktoe
USA,1,MINING,refined biofuels_FT,43,2014,ktoe
USA,1,MINING,refined biofuels_FT,58,2015,ktoe
USA,1,MINING,refined liquids,2492,2011,ktoe
USA,1,MINING,refined liquids,2926,2012,ktoe
USA,1,MINING,refined liquids,2821,2013,ktoe
USA,1,MINING,refined liquids,2685,2014,ktoe
USA,1,MINING,refined liquids,2573,2015,ktoe
Africa_Eastern,2,MINING,electricity,0.481865828,2014,ktoe
Africa_Eastern,2,MINING,electricity,0.48272695,2015,ktoe
Africa_Eastern,2,MINING,refined liquids,30.21208279,2010,ktoe
Africa_Eastern,2,MINING,refined liquids,31.20147327,2011,ktoe
Africa_Eastern,2,MINING,refined liquids,32.67665231,2012,ktoe
Africa_Eastern,2,MINING,refined liquids,32.23638514,2013,ktoe
Africa_Eastern,2,MINING,refined liquids,31.80314465,2014,ktoe
Africa_Eastern,2,MINING,refined liquids,29.92907088,2015,ktoe
Africa_Northern,3,MINING,electricity,31,1971,ktoe
Africa_Northern,3,MINING,electricity,36,1972,ktoe
Africa_Northern,3,MINING,electricity,49,1973,ktoe
Africa_Northern,3,MINING,electricity,53,1974,ktoe
Africa_Northern,3,MINING,electricity,53,1975,ktoe
Africa_Northern,3,MINING,electricity,53,1976,ktoe
Africa_Northern,3,MINING,electricity,58,1977,ktoe
Africa_Northern,3,MINING,electricity,58,1978,ktoe
Africa_Northern,3,MINING,electricity,65,1979,ktoe
Africa_Northern,3,MINING,electricity,67,1980,ktoe
Africa_Northern,3,MINING,electricity,72,1981,ktoe
Africa_Northern,3,MINING,electricity,63,1982,ktoe
Africa_Northern,3,MINING,electricity,66,1983,ktoe
Africa_Northern,3,MINING,electricity,68,1984,ktoe
Africa_Northern,3,MINING,electricity,67,1985,ktoe
Africa_Northern,3,MINING,electricity,67,1986,ktoe
Africa_Northern,3,MINING,electricity,70,1987,ktoe
Africa_Northern,3,MINING,electricity,71,1988,ktoe
Africa_Northern,3,MINING,electricity,77,1989,ktoe
Africa_Northern,3,MINING,electricity,80,1990,ktoe
Africa_Northern,3,MINING,electricity,81,1991,ktoe
Africa_Northern,3,MINING,electricity,81,1992,ktoe
Africa_Northern,3,MINING,electricity,73,1993,ktoe
Africa_Northern,3,MINING,electricity,79,1994,ktoe
Africa_Northern,3,MINING,electricity,81,1995,ktoe
Africa_Northern,3,MINING,electricity,83,1996,ktoe
Africa_Northern,3,MINING,electricity,85,1997,ktoe
Africa_Northern,3,MINING,electricity,92,1998,ktoe
Africa_Northern,3,MINING,electricity,74,1999,ktoe
Africa_Northern,3,MINING,electricity,78,2000,ktoe
Africa_Northern,3,MINING,electricity,139,2001,ktoe
Africa_Northern,3,MINING,electricity,143,2002,ktoe
Africa_Northern,3,MINING,electricity,143,2003,ktoe
Africa_Northern,3,MINING,electricity,152,2004,ktoe
Africa_Northern,3,MINING,electricity,160,2005,ktoe
Africa_Northern,3,MINING,electricity,168,2006,ktoe
Africa_Northern,3,MINING,electricity,175,2007,ktoe
Africa_Northern,3,MINING,electricity,173,2008,ktoe
Africa_Northern,3,MINING,electricity,162,2009,ktoe
Africa_Northern,3,MINING,electricity,173,2010,ktoe
Africa_Northern,3,MINING,electricity,178,2011,ktoe
Africa_Northern,3,MINING,electricity,190,2012,ktoe
Africa_Northern,3,MINING,electricity,239,2013,ktoe
Africa_Northern,3,MINING,electricity,247.0025487,2014,ktoe
Africa_Northern,3,MINING,electricity,249.0025316,2015,ktoe
Africa_Northern,3,MINING,gas,43,1971,ktoe
Africa_Northern,3,MINING,gas,47,1972,ktoe
Africa_Northern,3,MINING,gas,58,1973,ktoe
Africa_Northern,3,MINING,gas,67,1974,ktoe
Africa_Northern,3,MINING,gas,59,1975,ktoe
Africa_Northern,3,MINING,gas,66,1976,ktoe
Africa_Northern,3,MINING,gas,72,1977,ktoe
Africa_Northern,3,MINING,gas,68,1978,ktoe
Africa_Northern,3,MINING,gas,63,1979,ktoe
Africa_Northern,3,MINING,gas,56,1980,ktoe
Africa_Northern,3,MINING,gas,71,1981,ktoe
Africa_Northern,3,MINING,gas,66,1982,ktoe
Africa_Northern,3,MINING,gas,70,1983,ktoe
Africa_Northern,3,MINING,gas,70,1984,ktoe
Africa_Northern,3,MINING,gas,79,1985,ktoe
Africa_Northern,3,MINING,gas,76,1986,ktoe
Africa_Northern,3,MINING,gas,62,1987,ktoe
Africa_Northern,3,MINING,gas,63,1988,ktoe
Africa_Northern,3,MINING,gas,47,1989,ktoe
Africa_Northern,3,MINING,gas,43,1990,ktoe
Africa_Northern,3,MINING,gas,28,1991,ktoe
Africa_Northern,3,MINING,gas,18,1992,ktoe
Africa_Northern,3,MINING,gas,18,1993,ktoe
Africa_Northern,3,MINING,gas,17,1994,ktoe
Africa_Northern,3,MINING,gas,11,1995,ktoe
Africa_Northern,3,MINING,gas,14,1996,ktoe
Africa_Northern,3,MINING,gas,26,1997,ktoe
Africa_Northern,3,MINING,gas,28,1998,ktoe
Africa_Northern,3,MINING,gas,33,1999,ktoe
Africa_Northern,3,MINING,gas,38,2000,ktoe
Africa_Northern,3,MINING,gas,38,2001,ktoe
Africa_Northern,3,MINING,gas,36,2002,ktoe
Africa_Northern,3,MINING,gas,35,2003,ktoe
Africa_Northern,3,MINING,gas,37,2004,ktoe
Africa_Northern,3,MINING,gas,24,2005,ktoe
Africa_Northern,3,MINING,gas,46,2006,ktoe
Africa_Northern,3,MINING,gas,52,2007,ktoe
Africa_Northern,3,MINING,gas,45,2008,ktoe
Africa_Northern,3,MINING,gas,37,2009,ktoe
Africa_Northern,3,MINING,gas,44,2010,ktoe
Africa_Northern,3,MINING,gas,40,2011,ktoe
Africa_Northern,3,MINING,gas,50,2012,ktoe
Africa_Northern,3,MINING,gas,36,2013,ktoe
Africa_Northern,3,MINING,gas,58,2014,ktoe
Africa_Northern,3,MINING,gas,30,2015,ktoe
Africa_Northern,3,MINING,refined liquids,237,1979,ktoe
Africa_Northern,3,MINING,refined liquids,211,1980,ktoe
Africa_Northern,3,MINING,refined liquids,196,1981,ktoe
Africa_Northern,3,MINING,refined liquids,171,1982,ktoe
Africa_Northern,3,MINING,refined liquids,228,1983,ktoe
Africa_Northern,3,MINING,refined liquids,222,1984,ktoe
Africa_Northern,3,MINING,refined liquids,225,1985,ktoe
Africa_Northern,3,MINING,refined liquids,61,2008,ktoe
Africa_Northern,3,MINING,refined liquids,32,2009,ktoe
Africa_Northern,3,MINING,refined liquids,32.16736146,2010,ktoe
Africa_Northern,3,MINING,refined liquids,0.170487618,2011,ktoe
Africa_Northern,3,MINING,refined liquids,0.176371912,2012,ktoe
Africa_Northern,3,MINING,refined liquids,401.1721352,2013,ktoe
Africa_Northern,3,MINING,refined liquids,358.168212,2014,ktoe
Africa_Northern,3,MINING,refined liquids,349.1569569,2015,ktoe
Africa_Southern,4,MINING,biomass,1,1972,ktoe
Africa_Southern,4,MINING,biomass,1,1973,ktoe
Africa_Southern,4,MINING,biomass,1,1974,ktoe
Africa_Southern,4,MINING,biomass,1,1975,ktoe
Africa_Southern,4,MINING,biomass,1,1976,ktoe
Africa_Southern,4,MINING,biomass,1,1977,ktoe
Africa_Southern,4,MINING,biomass,1,1978,ktoe
Africa_Southern,4,MINING,biomass,1,1979,ktoe
Africa_Southern,4,MINING,biomass,1,1980,ktoe
Africa_Southern,4,MINING,biomass,1,1981,ktoe
Africa_Southern,4,MINING,biomass,1,1982,ktoe
Africa_Southern,4,MINING,biomass,1,1983,ktoe
Africa_Southern,4,MINING,biomass,1,1984,ktoe
Africa_Southern,4,MINING,biomass,1,1985,ktoe
Africa_Southern,4,MINING,biomass,1,1986,ktoe
Africa_Southern,4,MINING,biomass,1,1987,ktoe
Africa_Southern,4,MINING,biomass,1,1988,ktoe
Africa_Southern,4,MINING,biomass,1,1989,ktoe
Africa_Southern,4,MINING,biomass,1,1990,ktoe
Africa_Southern,4,MINING,biomass,1,1991,ktoe
Africa_Southern,4,MINING,biomass,1,1992,ktoe
Africa_Southern,4,MINING,biomass,1,1993,ktoe
Africa_Southern,4,MINING,biomass,1,1994,ktoe
Africa_Southern,4,MINING,biomass,1,1995,ktoe
Africa_Southern,4,MINING,biomass,1,1996,ktoe
Africa_Southern,4,MINING,biomass,1,1997,ktoe
Africa_Southern,4,MINING,biomass,1,1998,ktoe
Africa_Southern,4,MINING,biomass,1,1999,ktoe
Africa_Southern,4,MINING,biomass,1,2000,ktoe
Africa_Southern,4,MINING,biomass,1,2001,ktoe
Africa_Southern,4,MINING,biomass,1,2002,ktoe
Africa_Southern,4,MINING,biomass,1,2003,ktoe
Africa_Southern,4,MINING,biomass,1,2004,ktoe
Africa_Southern,4,MINING,biomass,1,2005,ktoe
Africa_Southern,4,MINING,biomass,1,2006,ktoe
Africa_Southern,4,MINING,biomass,2,2007,ktoe
Africa_Southern,4,MINING,biomass,2,2008,ktoe
Africa_Southern,4,MINING,biomass,2,2009,ktoe
Africa_Southern,4,MINING,biomass,2,2010,ktoe
Africa_Southern,4,MINING,biomass,2,2011,ktoe
Africa_Southern,4,MINING,biomass,2,2012,ktoe
Africa_Southern,4,MINING,biomass,2,2013,ktoe
Africa_Southern,4,MINING,biomass,2,2014,ktoe
Africa_Southern,4,MINING,biomass,2,2015,ktoe
Africa_Southern,4,MINING,coal,78,1971,ktoe
Africa_Southern,4,MINING,coal,63,1972,ktoe
Africa_Southern,4,MINING,coal,84,1973,ktoe
Africa_Southern,4,MINING,coal,80,1974,ktoe
Africa_Southern,4,MINING,coal,79,1975,ktoe
Africa_Southern,4,MINING,coal,108,1976,ktoe
Africa_Southern,4,MINING,coal,77,1977,ktoe
Africa_Southern,4,MINING,coal,105,1978,ktoe
Africa_Southern,4,MINING,coal,118,1979,ktoe
Africa_Southern,4,MINING,coal,130,1980,ktoe
Africa_Southern,4,MINING,coal,72,1981,ktoe
Africa_Southern,4,MINING,coal,113,1982,ktoe
Africa_Southern,4,MINING,coal,48,1983,ktoe
Africa_Southern,4,MINING,coal,52,1984,ktoe
Africa_Southern,4,MINING,coal,52,1985,ktoe
Africa_Southern,4,MINING,coal,143,1998,ktoe
Africa_Southern,4,MINING,coal,199,1999,ktoe
Africa_Southern,4,MINING,coal,181,2000,ktoe
Africa_Southern,4,MINING,coal,160,2001,ktoe
Africa_Southern,4,MINING,coal,153,2002,ktoe
Africa_Southern,4,MINING,coal,124,2003,ktoe
Africa_Southern,4,MINING,coal,83,2004,ktoe
Africa_Southern,4,MINING,coal,157,2005,ktoe
Africa_Southern,4,MINING,coal,191,2006,ktoe
Africa_Southern,4,MINING,coal,118,2007,ktoe
Africa_Southern,4,MINING,coal,191,2008,ktoe
Africa_Southern,4,MINING,coal,143,2009,ktoe
Africa_Southern,4,MINING,coal,38,2010,ktoe
Africa_Southern,4,MINING,coal,49,2011,ktoe
Africa_Southern,4,MINING,coal,59,2012,ktoe
Africa_Southern,4,MINING,coal,54,2013,ktoe
Africa_Southern,4,MINING,coal,56,2014,ktoe
Africa_Southern,4,MINING,coal,43,2015,ktoe
Africa_Southern,4,MINING,electricity,66,1971,ktoe
Africa_Southern,4,MINING,electricity,74,1972,ktoe
Africa_Southern,4,MINING,electricity,81,1973,ktoe
Africa_Southern,4,MINING,electricity,86,1974,ktoe
Africa_Southern,4,MINING,electricity,90,1975,ktoe
Africa_Southern,4,MINING,electricity,105,1976,ktoe
Africa_Southern,4,MINING,electricity,111,1977,ktoe
Africa_Southern,4,MINING,electricity,106,1978,ktoe
Africa_Southern,4,MINING,electricity,105,1979,ktoe
Africa_Southern,4,MINING,electricity,112,1980,ktoe
Africa_Southern,4,MINING,electricity,117,1981,ktoe
Africa_Southern,4,MINING,electricity,114,1982,ktoe
Africa_Southern,4,MINING,electricity,109,1983,ktoe
Africa_Southern,4,MINING,electricity,109,1984,ktoe
Africa_Southern,4,MINING,electricity,114,1985,ktoe
Africa_Southern,4,MINING,electricity,121,1986,ktoe
Africa_Southern,4,MINING,electricity,124,1987,ktoe
Africa_Southern,4,MINING,electricity,129,1988,ktoe
Africa_Southern,4,MINING,electricity,128,1989,ktoe
Africa_Southern,4,MINING,electricity,130,1990,ktoe
Africa_Southern,4,MINING,electricity,131,1991,ktoe
Africa_Southern,4,MINING,electricity,127,1992,ktoe
Africa_Southern,4,MINING,electricity,123,1993,ktoe
