# File: A322.globaltech_shrwt.csv
# Title: ammonia / traded ammonia / regional ammonia / N fertilizer default technology shareweights
# Units: Unitless
# Column types: cccinnnnn
# ----------
supplysector,subsector,technology,traded,1971,final-calibration-year,initial-future-year,2050,2100
ammonia,coal,coal,0,1,1,1,1,1
ammonia,coal,coal CCS,0,0,0,0,1,1
ammonia,gas,gas,0,1,1,1,1,1
ammonia,gas,gas CCS,0,0,0,0,1,1
ammonia,refined liquids,refined liquids,0,1,1,1,1,1
ammonia,hydrogen,hydrogen,0,0,0,0,1,1
traded ammonia,traded ammonia,traded ammonia,1,1,1,1,1,1
regional ammonia,domestic ammonia,domestic ammonia,0,1,1,1,1,1
regional ammonia,imported ammonia,imported ammonia,0,1,1,1,1,1
N fertilizer,N fertilizer,N fertilizer,0,1,1,1,1,1
