# File: alumina_energy_region_IAI.csv
# Title: Alumina energy by IAI region
# Units: TJ
# Description: Regional alumina energy consumption
# Source: International Aluminum Institute: Metallurgical Alumina Refining Fuel Consumption 1st Jan 1985 to 1st Jan 2022 (all); https://international-aluminium.org/statistics/metallurgical-alumina-refining-fuel-consumption/
# Column types: cicnnnnnnnc
# ----------
flow,year,fuel,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,World Reported,unit
Alumina,1985,Coal,7339,0,1205,34435,2775,0,45754,TJ
Alumina,1985,Oil,11097,1533,30895,31296,25082,0,99903,TJ
Alumina,1985,Gas,0,43329,1,51922,11502,0,106754,TJ
Alumina,1985,Electricity,1943,4933,3772,5409,8830,0,24887,TJ
Alumina,1985,Other,1578,544,0,2122,0,0,0,TJ
Alumina,1986,Coal,6854,0,1382,38775,2404,0,49415,TJ
Alumina,1986,Oil,11414,653,39067,26985,27658,0,105777,TJ
Alumina,1986,Gas,0,39292,10503,55000,11405,0,116200,TJ
Alumina,1986,Electricity,1529,4268,3430,1282,8955,0,19464,TJ
Alumina,1986,Other,0,451,0,28,522,0,1001,TJ
Alumina,1987,Coal,8106,0,2384,33414,1801,0,45705,TJ
Alumina,1987,Oil,12137,1434,40786,30128,30627,0,115112,TJ
Alumina,1987,Gas,0,54804,11365,59014,10616,0,135799,TJ
Alumina,1987,Electricity,1503,2142,3416,6232,9040,0,22333,TJ
Alumina,1987,Other,0,458,0,458,0,0,0,TJ
Alumina,1988,Coal,11911,0,2584,33801,669,0,48965,TJ
Alumina,1988,Oil,15342,2992,39476,29979,31967,0,119756,TJ
Alumina,1988,Gas,0,58466,11988,62067,9547,0,142068,TJ
Alumina,1988,Electricity,2343,391,4358,6517,9123,0,22732,TJ
Alumina,1988,Other,0,469,0,469,0,0,0,TJ
Alumina,1989,Coal,12804,0,2941,34340,1341,0,51426,TJ
Alumina,1989,Oil,17323,3402,56140,31461,32523,0,140849,TJ
Alumina,1989,Gas,0,69258,12628,63656,7182,0,152724,TJ
Alumina,1989,Electricity,2227,174,4779,6942,7870,0,21992,TJ
Alumina,1989,Other,0,597,0,597,0,0,0,TJ
Alumina,1990,Coal,14956,0,3130,3652654612,0,0,0,TJ
Alumina,1990,Oil,13896,3354,65827,26742,34099,0,143918,TJ
Alumina,1990,Gas,0,67629,14044,73029,5074,0,159776,TJ
Alumina,1990,Electricity,2094,1053,6410,8017,7262,0,24836,TJ
Alumina,1990,Other,2070,630,0,2700,0,0,0,TJ
Alumina,1991,Coal,15928,0,3318,36303,1776,0,57325,TJ
Alumina,1991,Oil,15461,3027,70877,19133,36943,0,145441,TJ
Alumina,1991,Gas,15,67816,14961,83355,6304,0,172451,TJ
Alumina,1991,Electricity,2085,1293,6390,8276,7925,0,25969,TJ
Alumina,1991,Other,0,312,0,312,0,0,0,TJ
Alumina,1992,Coal,15377,0,3319,3841057106,0,0,0,TJ
Alumina,1992,Oil,15981,3426,72385,18475,38701,0,148968,TJ
Alumina,1992,Gas,0,64018,13125,82964,7024,0,167131,TJ
Alumina,1992,Electricity,1980,1323,6697,7664,8060,0,25724,TJ
Alumina,1992,Other,0,2757,0,2757,0,0,0,TJ
Alumina,1993,Coal,17206,0,3304,3732357833,0,0,0,TJ
