# File: comtrade_ff_trade.csv
# Title: Comtrade trade of fossil fuels
# Source: UN Comtrade
# Units: NA
# Column types: iiiiciinnni 
# ----------
Year,Reporter_Code,Trade_Flow_Code,Partner_Code,Classification,Commodity_Code,Quantity_Unit_Code,Supplementary_Quantity,Netweight_(kg),Value,Estimation_Code
2017,12,1,0,HS,2701,8,88767216,88767216,20198622,6
2017,12,1,156,HS,2701,8,211200,211200,78516,0
2017,12,1,251,HS,2701,8,1500,1500,3269,0
2017,12,1,276,HS,2701,8,8154,8154,6863,6
2017,12,1,381,HS,2701,8,332,332,4023,0
2017,12,1,616,HS,2701,8,10,10,135,0
2017,12,1,643,HS,2701,8,86831270,86831270,19631030,0
2017,12,1,710,HS,2701,8,2000,2000,5900,0
2017,12,1,724,HS,2701,8,1681450,1681450,456624,0
2017,12,1,792,HS,2701,8,24800,24800,6765,0
2017,12,1,826,HS,2701,8,6500,6500,5492,0
2017,20,1,0,HS,2701,8,63,63,407,0
2017,20,1,724,HS,2701,8,63,63,407,0
2017,36,1,0,HS,2701,8,251118800,251118800,50178504,0
2017,36,2,0,HS,2701,8,3.72205E+11,3.72205E+11,43298320776,0
2017,36,2,32,HS,2701,8,383450000,383450000,65516492,0
2017,36,1,36,HS,2701,8,75500,75500,25220,0
2017,36,2,40,HS,2701,8,76750000,76750000,12936246,0
2017,36,2,56,HS,2701,8,918098000,918098000,155006893,0
2017,36,2,76,HS,2701,8,5759068000,5759068000,947092629,0
2017,36,2,104,HS,2701,8,83502670,83502670,5603867,0
2017,36,2,152,HS,2701,8,2200613000,2200613000,211168762,0
2017,36,1,156,HS,2701,8,8930900,8930900,3134066,0
2017,36,2,156,HS,2701,8,83044413070,83044413070,8870044504,0
2017,36,1,170,HS,2701,8,45014300,45014300,9507195,0
2017,36,2,251,HS,2701,8,2749418900,2749418900,501456967,0
2017,36,1,276,HS,2701,8,157600,157600,80562,0
2017,36,2,276,HS,2701,8,404544000,404544000,70962464,0
2017,36,1,300,HS,2701,8,80,80,3001,0
2017,36,1,344,HS,2701,8,56640,56640,22221,0
2017,36,2,344,HS,2701,8,292492000,292492000,24696710,0
2017,36,1,360,HS,2701,8,64310,64310,33759,0
2017,36,2,360,HS,2701,8,3096014900,3096014900,333587351,0
2017,36,2,364,HS,2701,8,177846000,177846000,28538305,0
2017,36,2,381,HS,2701,8,328872000,328872000,79167138,0
2017,36,1,392,HS,2701,8,100,100,1758,0
2017,36,2,392,HS,2701,8,1.17334E+11,1.17334E+11,12579484422,0
2017,36,2,398,HS,2701,8,10,10,192,0
2017,36,1,410,HS,2701,8,62300,62300,94527,0
2017,36,2,410,HS,2701,8,48830281000,48830281000,5233584247,0
2017,36,2,458,HS,2701,8,6288515000,6288515000,547958394,0
2017,36,2,490,HS,2701,8,31696260000,31696260000,3214173307,0
2017,36,2,496,HS,2701,8,4000,4000,653,0
2017,36,1,508,HS,2701,8,119788050,119788050,21644176,0
2017,36,2,520,HS,2701,8,1600,1600,1932,0
2017,36,2,528,HS,2701,8,7006259000,7006259000,1303666845,0
2017,36,2,540,HS,2701,8,1047186000,1047186000,93690835,0
2017,36,2,554,HS,2701,8,112895570,112895570,8780474,0
2017,36,2,586,HS,2701,8,51425000,51425000,3527237,0
2017,36,2,598,HS,2701,8,5940,5940,7517,0
2017,36,2,608,HS,2701,8,1665540000,1665540000,144769215,0
2017,36,2,616,HS,2701,8,1157937000,1157937000,215960822,0
2017,36,1,620,HS,2701,8,3860,3860,6047,0
2017,36,2,626,HS,2701,8,14314000,14314000,1646255,0
2017,36,2,642,HS,2701,8,153505000,153505000,22790772,0
2017,36,1,643,HS,2701,8,17221800,17221800,2618272,0
2017,36,2,699,HS,2701,8,44169780000,44169780000,6936907859,0
2017,36,2,702,HS,2701,8,23000,23000,11107,0
2017,36,1,704,HS,2701,8,16500000,16500000,3214466,0
2017,36,2,704,HS,2701,8,4021848000,4021848000,468442135,0
