# File: UCD_trn_data_CORE_highEV.csv
# Title: Core UCD transportation database
# Units: Various
# Description: UC Davis core transportation database
# Source: Mishra et al. UCD Research Report UCD-ITS-RR-13-05 (2013).
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnn
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Freight,Rail,All,Coal,Coal,energy,PJ/yr,1,,,,,,,,,,,,,,,,,,,
Africa,Freight,Rail,All,Coal,Coal,intensity,MJ/vkm,2528.0424,2524.887867,2521.733333,2518.5788,2515.436067,2512.293333,2509.1506,2506.019667,2502.888733,2499.7578,2496.638567,2493.519333,2490.4001,2487.292533,2484.184967,2481.0774,2477.981467,2474.885533,2471.7896,2471.7896
Africa,Freight,Rail,All,Coal,Coal,load factor,tonnes/veh,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95,2108.95
Africa,Freight,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,15.7874,15.78786667,15.78833333,15.7888,15.78926667,15.78973333,15.7902,15.79066667,15.79113333,15.7916,15.79206667,15.79253333,15.793,15.79346667,15.79393333,15.7944,15.79483333,15.79526667,15.7957,15.7957
Africa,Freight,Rail,All,Electric,Electricity,energy,PJ/yr,11.6658,,,,,,,,,,,,,,,,,,,
Africa,Freight,Rail,All,Electric,Electricity,intensity,MJ/vkm,186.0839,185.8517,185.6195,185.3873,185.1559667,184.9246333,184.6933,184.4628333,184.2323667,184.0019,183.7723,183.5427,183.3131,183.0843667,182.8556333,182.6269,182.3990333,182.1711667,181.9433,181.9433
Africa,Freight,Rail,All,Electric,Electricity,load factor,tonnes/veh,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082,1518.082
Africa,Freight,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,21.3822,21.38913333,21.39606667,21.403,21.4099,21.4168,21.4237,21.43056667,21.43743333,21.4443,21.45116667,21.45803333,21.4649,21.4717,21.4785,21.4853,21.4921,21.4989,21.5057,21.5057
Africa,Freight,Rail,All,Liquids,Liquids,energy,PJ/yr,12.1825,,,,,,,,,,,,,,,,,,,
Africa,Freight,Rail,All,Liquids,Liquids,intensity,MJ/vkm,558.2517,557.5551,556.8585,556.1619,555.4679333,554.7739667,554.08,553.3886,552.6972,552.0058,551.317,550.6282,549.9394,549.2531667,548.5669333,547.8807,547.1970667,546.5134333,545.8298,545.8298
