# File: percentReduction2050.csv
# Title: Crude steel production by region
# Units: Mt
# Description: Crude steel production 2020 for deep dive regions
# Source: GCAM
# Column types: cn
# ----------,
region,demandReduction
USA,0.5
Africa_Eastern,0.2
Africa_Northern,0.2
Africa_Southern,0.2
Africa_Western,0.2
Australia_NZ,0.2
Brazil,0.2
Canada,0.4
Central America and Caribbean,0.2
Central Asia,0.8
China,0.2
EU-12,0.2
EU-15,0.2
Europe_Eastern,0.2
Europe_Non_EU,0.2
European Free Trade Association,0.2
India,0.2
Indonesia,0.2
Japan,0.2
Mexico,0.2
Middle East,0.2
Pakistan,0.2
Russia,0.2
South Africa,0.2
South America_Northern,0.2
South America_Southern,0.2
South Asia,0.2
South Korea,0.2
Southeast Asia,0.2
Taiwan,0.2
Argentina,0.2
Colombia,0.2
