# File: A10.rsrc_info_fossils.csv
# Title: Information about fossil resource prices in select marker regions
# Units: Nominal $/tonne for coal; Nominal $/millBtu for natural gas; and Nominal $/barrel for crude oil
# Source: Prices from BP bp-stats-review-2022-all-data: https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy.html. 
# Comments: To get the resource price data in this file from BP stats review file; copy German import price column in "Gas: Prices" sheet for natural gas; copy Northwest Europe marker price and Japan steam coal import CIF price for coal from "Coal: Prices" sheet; and copy Brent column from "Spot crude pricew" sheet for crude oil.  Note that resource with multiple markers will use straight mean of those regions.
# Column types: ccccccin
# ----------
source,resource,resource_type,market,output-unit,price-unit,year,price
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1976,12.8
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1977,13.92
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1978,14.02
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1979,31.61
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1980,36.83
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1981,35.93
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1982,32.97
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1983,29.55
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1984,28.78
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1985,27.56
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1986,14.43
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1987,18.44
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1988,14.92
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1989,18.23
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1990,23.73
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1991,20
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1992,19.32
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1993,16.97
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1994,15.82
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1995,17.02
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1996,20.67
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1997,19.09
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1998,12.72
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,1999,17.97
Brent spot price,crude oil,resource,regional,EJ,Nominal $/barrel,2000,28.5
