# File: A25.globaltech_keyword.csv
# Title: Hydrogen technology keywords
# Units: Unitless
# Column types: cccci 
# ----------
supplysector,subsector,technology,primary.renewable,average.fossil.efficiency
H2 central production,coal,coal chemical,,1
H2 central production,coal,coal chemical CCS,,1
H2 central production,gas,natural gas steam reforming,,1
H2 central production,gas,natural gas steam reforming CCS,,1
H2 central production,biomass,biomass to H2,,1
H2 central production,biomass,biomass to H2 CCS,,1
H2 central production,nuclear,thermal splitting,nuclear-H2,
H2 central production,wind,electrolysis,wind-H2,
H2 central production,solar,electrolysis,solar-H2,
